New Terminal Output:

Dense region: 2818 points, x=[1648.72, 4997.39]
Y range in dense region: [40.09, 12920.88]

Peaks found in dense region (prominence > 500):
  x=3745.05, y=12920.88, prominence=11204.01
  x=1660.07, y=6474.28, prominence=737.10
  x=1656.08, y=6410.16, prominence=637.03
  x=1666.80, y=6228.42, prominence=648.38
  x=1673.36, y=6135.36, prominence=762.51
  x=1683.65, y=5942.17, prominence=618.89
  x=1703.74, y=5587.30, prominence=636.61
  x=1727.16, y=5331.08, prominence=649.84
  x=1745.96, y=4850.70, prominence=530.92
  x=1754.97, y=4816.16, prominence=520.79
  x=1760.20, y=4799.31, prominence=750.33
  x=1764.81, y=4669.48, prominence=578.75
  x=1783.69, y=4503.99, prominence=635.44
  x=1806.13, y=4406.46, prominence=756.81
  x=1787.83, y=4331.43, prominence=556.99
  x=1819.90, y=4063.23, prominence=502.95
  x=1831.40, y=3886.86, prominence=502.34
  x=1848.92, y=3705.37, prominence=554.46
  x=1900.68, y=3222.97, prominence=543.59
  x=1912.63, y=3005.04, prominence=618.87

--- G peak region (1550-1620 cm-1) ---
Data starts at x=1648.72

--- 2D peak region (2600-2800 cm-1) ---
Points: 171
Max at x=2716.33, y=601.85
  x=2601.0057, y=388.42
  x=2602.0626, y=519.21
  x=2603.1207, y=276.90
  x=2604.1800, y=458.72
  x=2605.2404, y=595.58
  x=2606.3020, y=436.09
  x=2607.3648, y=445.49
  x=2608.4287, y=428.83
  x=2609.4939, y=290.55
  x=2610.5602, y=388.16
  x=2611.6276, y=487.45
  x=2612.6963, y=560.83
  x=2613.7661, y=460.44
  x=2614.8371, y=360.17
  x=2615.9093, y=461.21
  x=2616.9827, y=442.70
  x=2618.0573, y=218.03
  x=2619.1331, y=299.31
  x=2620.2100, y=406.31
  x=2621.2882, y=431.79
  x=2622.3675, y=453.92
  x=2623.4481, y=480.59
  x=2624.5298, y=318.19
  x=2625.6128, y=269.26
  x=2626.6969, y=497.85
  x=2627.7823, y=487.98
  x=2628.8689, y=445.80
  x=2629.9567, y=596.55
  x=2631.0457, y=312.99
  x=2632.1359, y=336.66
  x=2633.2273, y=428.10
  x=2634.3200, y=322.43
  x=2635.4138, y=479.60
  x=2636.5089, y=210.17
  x=2637.6053, y=415.09
  x=2638.7028, y=571.55
  x=2639.8016, y=482.01
  x=2640.9016, y=539.85
