New Terminal Output:

=== Full spectrum structure ===
  x=1648.72, y=5950.92
  x=1667.62, y=5845.36
  x=1687.31, y=5512.89
  x=1707.86, y=5304.22
  x=1729.32, y=4766.71
  x=1751.74, y=4730.60
  x=1775.18, y=4157.22
  x=1799.72, y=3739.18
  x=1825.44, y=3627.08
  x=1852.41, y=3277.98
  x=1880.72, y=2865.96
  x=1910.48, y=2796.74
  x=1941.80, y=2479.92
  x=1974.79, y=2282.54
  x=2009.59, y=1973.13
  x=2046.35, y=1920.67
  x=2085.24, y=1574.88
  x=2126.44, y=1500.73
  x=2170.16, y=1332.39
  x=2216.63, y=863.61
  x=2266.12, y=934.19
  x=2318.93, y=777.34
  x=2375.39, y=740.82
  x=2435.89, y=508.89
  x=2500.87, y=386.84
  x=2570.85, y=488.57
  x=2646.42, y=262.93
  x=2728.27, y=504.64
  x=2817.20, y=408.59
  x=2914.17, y=185.33
  x=3020.32, y=391.22
  x=3136.99, y=886.24
  x=3265.83, y=788.69
  x=3408.82, y=960.99
  x=3568.44, y=1404.72
  x=3747.73, y=12904.65
  x=3950.56, y=1996.92
  x=4181.87, y=2358.18
  x=4448.10, y=2749.83
  x=4757.76, y=3459.44
  x=5122.41, y=3965.84
  x=5558.07, y=4718.57
  x=6087.71, y=5382.67
  x=6745.34, y=6297.49
  x=7583.67, y=7382.62
  x=8688.96, y=8550.37
  x=10212.75, y=18448.73
  x=12448.07, y=12468.53
  x=16044.75, y=17319.64
  x=22790.41, y=14129.64
  x=40038.43, y=19495.73

=== Peak around x=3745 ===
  x=3501.0564, y=1109.32
  x=3503.3279, y=1106.94
  x=3505.6031, y=1204.81
  x=3507.8819, y=1076.42
  x=3510.1643, y=1188.11
  x=3512.4505, y=1154.15
  x=3514.7402, y=1201.90
  x=3517.0337, y=1287.72
  x=3519.3309, y=1353.85
  x=3521.6317, y=1220.89
  x=3523.9363, y=1252.30
  x=3526.2445, y=1329.68
  x=3528.5565, y=1222.50
  x=3530.8723, y=1234.64
  x=3533.1917, y=1243.31
  x=3535.5150, y=1350.75
  x=3537.8420, y=1246.03
  x=3540.1727, y=1147.60
  x=3542.5072, y=1130.66
  x=3544.8456, y=1421.99
  x=3547.1877, y=1038.21
  x=3549.5336, y=1417.77
  x=3551.8833, y=1377.35
  x=3554.2369, y=1111.73
  x=3556.5943, y=1282.93
  x=3558.9555, y=1512.51
  x=3561.3206, y=1189.90
  x=3563.6896, y=1338.89
  x=3566.0624, y=1286.26
  x=3568.4391, y=1404.72
  x=3570.8197, y=1446.16
  x=3573.2042, y=1519.40
  x=3575.5926, y=1377.88
  x=3577.9849, y=1263.72
  x=3580.3812, y=1455.76
  x=3582.7814, y=1502.83
  x=3585.1855, y=1347.61
  x=3587.5936, y=1360.19
  x=3590.0057, y=1242.54
  x=3592.4217, y=1344.65
  x=3594.8418, y=1447.48
  x=3597.2658, y=1551.14
  x=3599.6938, y=1505.18
  x=3602.1259, y=1557.91
  x=3604.5620, y=1552.18
  x=3607.0021, y=1600.80
  x=3609.4462, y=1445.58
  x=3611.8945, y=1298.87
  x=3614.3467, y=1537.04
  x=3616.8031, y=1473.11
  x=3619.2636, y=1429.67
  x=3621.7281, y=1394.81
  x=3624.1968, y=1586.66
  x=3626.6695, y=1396.83
  x=3629.1464, y=1668.53
  x=3631.6275, y=1572.75
  x=3634.1126, y=1512.27
  x=3636.6020, y=1590.38
  x=3639.0955, y=1669.64
  x=3641.5932, y=1730.54
  x=3644.0951, y=1585.11
  x=3646.6012, y=1472.30
  x=3649.1115, y=1735.26
  x=3651.6260, y=1454.98
  x=3654.1447, y=1713.45
  x=3656.6677, y=1753.81
  x=3659.1950, y=1681.28
  x=3661.7265, y=1822.42
  x=3664.2623, y=1983.40
  x=3666.8023, y=1998.27
  x=3669.3467, y=1904.27
  x=3671.8954, y=2136.10
  x=3674.4484, y=2239.18
  x=3677.0057, y=2349.53
  x=3679.5674, y=2166.34
  x=3682.1334, y=2655.58
  x=3684.7038, y=2848.30
  x=3687.2785, y=2659.03
  x=3689.8577, y=2545.41
  x=3692.4412, y=2912.48
  x=3695.0291, y=3242.75
  x=3697.6215, y=3313.95
  x=3700.2183, y=3552.32
  x=3702.8195, y=3988.67
  x=3705.4252, y=4189.52
  x=3708.0354, y=4642.79
  x=3710.6500, y=5152.97
  x=3713.2691, y=5542.47
  x=3715.8927, y=6493.05
  x=3718.5208, y=7199.15
  x=3721.1535, y=8201.33
  x=3723.7906, y=9042.14
  x=3726.4324, y=9756.24
  x=3729.0786, y=10483.00
  x=3731.7295, y=11117.17
  x=3734.3849, y=11790.75
  x=3737.0449, y=12282.06
  x=3739.7096, y=12569.08
  x=3742.3788, y=12783.15
  x=3745.0527, y=12920.88
  x=3747.7312, y=12904.65
  x=3750.4143, y=12637.68
  x=3753.1021, y=12506.22
  x=3755.7946, y=11956.24
  x=3758.4918, y=11243.99
  x=3761.1937, y=10360.22
  x=3763.9003, y=9501.25
  x=3766.6116, y=8541.95
  x=3769.3277, y=8186.58
  x=3772.0485, y=7003.69
  x=3774.7741, y=6305.22
  x=3777.5044, y=5860.33
  x=3780.2396, y=5260.90
  x=3782.9795, y=4852.10
  x=3785.7243, y=4408.05
  x=3788.4738, y=3986.00
  x=3791.2282, y=3692.43
  x=3793.9875, y=3535.65
  x=3796.7516, y=3182.96
  x=3799.5206, y=3133.92
