New Terminal Output:

Peaks in smoothed resampled data:
  x=3912.03, y_smooth=3520.98
  x=6475.90, y_smooth=7628.90
  x=10424.16, y_smooth=18603.24
  x=16189.45, y_smooth=17663.15
  x=19245.14, y_smooth=78668.97
  x=33234.84, y_smooth=21175.84

=== Data around x=19139 ===
  x=17028.99, y=17167.58
  x=17104.13, y=17686.76
  x=17179.96, y=17693.50
  x=17256.49, y=18199.37
  x=17333.73, y=18560.41
  x=17411.69, y=19004.15
  x=17490.38, y=19327.43
  x=17569.82, y=19755.67
  x=17650.01, y=20340.78
  x=17730.96, y=20814.98
  x=17812.68, y=21422.02
  x=17895.19, y=22176.00
  x=17978.50, y=23027.69
  x=18062.61, y=24222.52
  x=18147.54, y=25202.87
  x=18233.31, y=26464.24
  x=18319.92, y=28061.59
  x=18407.38, y=30376.53
  x=18495.72, y=32580.49
  x=18584.94, y=35830.54
  x=18675.05, y=40100.87
  x=18766.08, y=46110.70
  x=18858.02, y=54280.85
  x=18950.91, y=65451.69
  x=19044.74, y=78843.44
  x=19139.54, y=79400.10
  x=19235.33, y=78815.24
  x=19332.11, y=79083.27
  x=19429.90, y=78849.11
  x=19528.72, y=67902.85
  x=19628.59, y=46667.60
  x=19729.51, y=32649.63
  x=19831.52, y=24480.44
  x=19934.62, y=19658.82
  x=20038.83, y=17059.35
  x=20144.18, y=15190.00
  x=20250.67, y=14352.19
  x=20358.34, y=13783.70
  x=20467.19, y=13238.31
  x=20577.25, y=12982.82
  x=20688.54, y=12812.78
  x=20801.08, y=12670.75
  x=20914.89, y=12557.29

=== Data around x=10289 ===
  x=9007.89, y=9002.45
  x=9027.44, y=8972.22
  x=9047.08, y=8710.50
  x=9066.81, y=8875.18
  x=9086.64, y=9040.09
  x=9106.56, y=8982.98
  x=9126.57, y=9072.44
  x=9146.68, y=9253.18
  x=9166.89, y=8965.14
  x=9187.19, y=9076.43
  x=9207.59, y=9168.74
  x=9228.08, y=9198.52
  x=9248.67, y=9005.56
  x=9269.37, y=9177.88
  x=9290.16, y=9216.32
  x=9311.05, y=9191.40
  x=9332.04, y=9231.88
  x=9353.14, y=9328.88
  x=9374.34, y=9405.79
  x=9395.64, y=9278.14
  x=9417.04, y=9248.82
  x=9438.56, y=9149.66
  x=9460.17, y=9438.34
  x=9481.89, y=9418.59
  x=9503.72, y=9365.77
  x=9525.66, y=9519.69
  x=9547.71, y=9753.78
  x=9569.87, y=9480.16
  x=9592.13, y=9536.97
  x=9614.51, y=9726.41
  x=9637.00, y=9726.83
  x=9659.60, y=9741.29
  x=9682.32, y=9820.37
  x=9705.15, y=9951.24
  x=9728.10, y=10103.29
  x=9751.17, y=10158.65
  x=9774.35, y=10409.67
  x=9797.65, y=10571.02
  x=9821.07, y=10849.73
  x=9844.60, y=11127.14
  x=9868.26, y=11177.42
  x=9892.05, y=11298.06
  x=9915.95, y=11505.98
  x=9939.98, y=12012.63
  x=9964.13, y=11938.88
  x=9988.41, y=12517.65
  x=10012.82, y=12743.19
  x=10037.35, y=13283.17
  x=10062.01, y=13822.41
  x=10086.81, y=14573.19
  x=10111.73, y=15672.20
  x=10136.78, y=16821.37
  x=10161.97, y=17259.42
  x=10187.29, y=17986.11
  x=10212.75, y=18448.73
  x=10238.34, y=18649.56
  x=10264.07, y=18619.36
  x=10289.94, y=18805.24
  x=10315.95, y=18515.54
  x=10342.10, y=18758.66
  x=10368.39, y=18487.28
  x=10394.82, y=18633.11
  x=10421.39, y=18596.18
  x=10448.12, y=18666.11
  x=10474.98, y=18673.11
  x=10502.00, y=18717.43
  x=10529.17, y=18588.90
  x=10556.48, y=18602.12
  x=10583.95, y=18580.17
  x=10611.56, y=18754.71
  x=10639.34, y=18320.72
  x=10667.26, y=17667.33
  x=10695.35, y=16839.60
