New Terminal Output:

Data in file order (first=high x, last=low x):
  x[0]=47183.55, x[-1]=1648.72
  y[0]=19261.55, y[-1]=5950.92

Spectrum overview (every 100th point):
  i=   0, x=   1648.72, y=   5950.92
  i= 100, x=   1675.56, y=   5684.69
  i= 200, x=   1704.03, y=   5240.45
  i= 300, x=   1734.28, y=   4664.53
  i= 400, x=   1766.47, y=   4420.72
  i= 500, x=   1800.79, y=   4135.35
  i= 600, x=   1837.43, y=   3339.74
  i= 700, x=   1876.65, y=   3241.80
  i= 800, x=   1918.70, y=   2550.26
  i= 900, x=   1963.91, y=   2497.35
  i=1000, x=   2012.62, y=   2224.35
  i=1100, x=   2065.25, y=   1685.49
  i=1200, x=   2122.27, y=   1576.84
  i=1300, x=   2184.25, y=   1265.09
  i=1400, x=   2251.86, y=    821.05
  i=1500, x=   2325.88, y=    986.76
  i=1600, x=   2407.24, y=    528.60
  i=1700, x=   2497.08, y=    314.95
  i=1800, x=   2596.79, y=    432.72
  i=1900, x=   2708.06, y=    333.56
  i=2000, x=   2833.00, y=    410.38
  i=2100, x=   2974.27, y=    414.80
  i=2200, x=   3135.27, y=    456.31
  i=2300, x=   3320.40, y=    735.29
  i=2400, x=   3535.51, y=   1350.75
  i=2500, x=   3788.47, y=   3986.00
  i=2600, x=   4090.18, y=   2845.20
  i=2700, x=   4456.18, y=   2829.54
  i=2800, x=   4909.39, y=   3679.59
  i=2900, x=   5485.11, y=   4443.91
  i=3000, x=   6240.64, y=   6433.98
  i=3100, x=   7275.66, y=   7033.67
  i=3200, x=   8780.21, y=   8588.99
  i=3300, x=  11167.08, y=  11676.73
  i=3400, x=  15533.63, y=  15941.28
  i=3500, x=  26085.56, y=  15668.55

Significant peaks (prominence > 2000):
  x=3745.05, y=12920.88, prominence=11204.01
  x=6329.37, y=13777.74, prominence=7697.55
  x=10289.94, y=18805.24, prominence=7256.55
  x=19139.54, y=79400.10, prominence=67189.46
  x=33244.97, y=21252.73, prominence=2174.73
root@modal:/app#
