New Terminal Output:

Region x=1500-1700 (potential G if x=Raman shift):
  187 points
  x=1648.72, y=5950.92
  x=1648.99, y=5911.45
  x=1649.25, y=6009.43
  x=1649.51, y=6005.07
  x=1649.77, y=6062.73
  x=1650.03, y=6090.51
  x=1650.29, y=6157.27
  x=1650.55, y=6150.19
  x=1650.81, y=6154.49
  x=1651.08, y=6302.95
  x=1651.34, y=6193.45
  x=1651.60, y=6161.65
  x=1651.86, y=6150.10
  x=1652.13, y=6004.10
  x=1652.39, y=6285.42
  x=1652.65, y=6034.85
  x=1652.91, y=6214.28
  x=1653.18, y=5895.45
  x=1653.44, y=5773.13
  x=1653.70, y=5869.94
  x=1653.97, y=6061.00
  x=1654.23, y=6149.48
  x=1654.50, y=6169.36
  x=1654.76, y=6356.87
  x=1655.02, y=6169.06
  x=1655.29, y=6325.17
  x=1655.55, y=6274.23
  x=1655.82, y=6225.89
  x=1656.08, y=6410.16
  x=1656.35, y=6344.91
  x=1656.61, y=6249.56
  x=1656.88, y=6188.14
  x=1657.14, y=5802.03
  x=1657.41, y=6050.92
  x=1657.67, y=6086.87
  x=1657.94, y=6081.94
  x=1658.21, y=5737.18
  x=1658.47, y=6013.73
  x=1658.74, y=5996.54
  x=1659.01, y=5886.47
  x=1659.27, y=6066.72
  x=1659.54, y=6274.79
  x=1659.81, y=6230.74
  x=1660.07, y=6474.28
  x=1660.34, y=6045.35
  x=1660.61, y=6124.39
  x=1660.88, y=6152.58
  x=1661.14, y=5927.25
  x=1661.41, y=6017.72
  x=1661.68, y=5771.90
  x=1661.95, y=6015.21
  x=1662.22, y=5827.55
  x=1662.49, y=5857.61
  x=1662.75, y=5872.93
  x=1663.02, y=5990.27
  x=1663.29, y=5999.78
  x=1663.56, y=6042.32
  x=1663.83, y=6043.79
  x=1664.10, y=5878.55
  x=1664.37, y=5836.32
  x=1664.64, y=5580.04
  x=1664.91, y=5796.14
  x=1665.18, y=6020.07
  x=1665.45, y=5973.91
  x=1665.72, y=5899.02
  x=1665.99, y=5872.84
  x=1666.26, y=5903.44
  x=1666.53, y=6077.44
  x=1666.80, y=6228.42
  x=1667.07, y=6188.08
  x=1667.35, y=5991.90
  x=1667.62, y=5845.36
  x=1667.89, y=5529.28
  x=1668.16, y=5588.60
  x=1668.43, y=5756.21
  x=1668.71, y=5458.52
  x=1668.98, y=5614.96
  x=1669.25, y=5372.85
  x=1669.52, y=5543.75
  x=1669.80, y=5541.86
  x=1670.07, y=5813.43
