New Terminal Output:

Line 60/100: found 350 gradient changes so far
Line 80/100: found 492 gradient changes so far
Line 100/100: found 621 gradient changes so far
Total gradient changes collected: 621
Found 42 clusters
Cluster 0: size=38, min_norm=0.036775, max_norm=0.036775
Cluster 1: size=35, min_norm=0.005292, max_norm=0.005292
Cluster 2: size=34, min_norm=0.021877, max_norm=0.022537
Cluster 3: size=34, min_norm=0.051756, max_norm=0.051768
Cluster 4: size=34, min_norm=0.046150, max_norm=0.046150
Cluster 5: size=33, min_norm=0.063190, max_norm=0.063190
Cluster 6: size=33, min_norm=0.016775, max_norm=0.016775
Cluster 7: size=32, min_norm=0.022871, max_norm=0.022871
Cluster 8: size=32, min_norm=0.020761, max_norm=0.020761
Cluster 9: size=31, min_norm=0.015288, max_norm=0.015288
Cluster 10: size=30, min_norm=0.057648, max_norm=0.059907
Cluster 11: size=28, min_norm=0.022605, max_norm=0.022605
Cluster 12: size=28, min_norm=0.016221, max_norm=0.016221
Cluster 13: size=28, min_norm=0.013809, max_norm=0.013809
Cluster 14: size=27, min_norm=0.008573, max_norm=0.008573
Cluster 15: size=26, min_norm=0.001170, max_norm=0.001170
Cluster 16: size=25, min_norm=0.006134, max_norm=0.006134
Cluster 17: size=24, min_norm=0.004458, max_norm=0.004458
Cluster 18: size=24, min_norm=0.008246, max_norm=0.008246
Cluster 19: size=22, min_norm=0.042014, max_norm=0.042394
Cluster 20: size=2, min_norm=0.047362, max_norm=0.047362
Cluster 21: size=1, min_norm=0.015271, max_norm=0.015271
Cluster 22: size=1, min_norm=0.057335, max_norm=0.057335
Cluster 23: size=1, min_norm=0.073808, max_norm=0.073808
Cluster 24: size=1, min_norm=0.020198, max_norm=0.020198
Cluster 25: size=1, min_norm=0.054737, max_norm=0.054737
Cluster 26: size=1, min_norm=0.058016, max_norm=0.058016
Cluster 27: size=1, min_norm=0.038031, max_norm=0.038031
Cluster 28: size=1, min_norm=0.019885, max_norm=0.019885
Cluster 29: size=1, min_norm=0.023095, max_norm=0.023095
Cluster 30: size=1, min_norm=0.020691, max_norm=0.020691
Cluster 31: size=1, min_norm=0.093419, max_norm=0.093419
Cluster 32: size=1, min_norm=0.021733, max_norm=0.021733
Cluster 33: size=1, min_norm=0.022456, max_norm=0.022456
Cluster 34: size=1, min_norm=0.059071, max_norm=0.059071
Cluster 35: size=1, min_norm=0.014079, max_norm=0.014079
Cluster 36: size=1, min_norm=0.044432, max_norm=0.044432
Cluster 37: size=1, min_norm=0.045908, max_norm=0.045908
Cluster 38: size=1, min_norm=0.020867, max_norm=0.020867
Cluster 39: size=1, min_norm=0.034632, max_norm=0.034632
Cluster 40: size=1, min_norm=0.015994, max_norm=0.015994
Cluster 41: size=1, min_norm=0.061533, max_norm=0.061533
Recovered A1 shape: (42, 10)
Saved stolen A1 to /app/stolen_A1.npy
root@modal:/app#
