New Terminal Output:

root@modal:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
>
> # Read first frame as background
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>
> # For each frame, find the bounding box of the athlete
> top_positions = []  # top of bounding box (min y of athlete)
> bottom_positions = []  # bottom of bounding box (max y - feet)
> center_y_positions = []  # center y
> center_x_positions = []  # center x
> areas = []  # area of detected region
>
> for frame_num in range(1, 120):
>     ret, frame = cap.read()
>     if not ret:
>         break
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>     diff = np.abs(gray - bg_gray)
>     mask = (diff > 30).astype(np.uint8) * 255
>
>     # Apply morphological operations to clean up
>     kernel = np.ones((5,5), np.uint8)
>     mask = cv2.morphologyEx(mask, cv2.MORPH_CLOSE, kernel)
>     mask = cv2.morphologyEx(mask, cv2.MORPH_OPEN, kernel)
>
>     # Find contours
>     contours, _ = cv2.findContours(mask, cv2.RETR_EXTERNAL, cv2.CHAIN_APPROX_SIMPLE)
>
>     if contours:
>         # Get the largest contour (the athlete)
>         largest = max(contours, key=cv2.contourArea)
>         x, y, w, h = cv2.boundingRect(largest)
>         area = cv2.contourArea(largest)
>         top_positions.append(y)
>         bottom_positions.append(y + h)
>         center_y_positions.append(y + h/2)
>         center_x_positions.append(x + w/2)
>         areas.append(area)
>     else:
>         top_positions.append(540)
>         bottom_positions.append(540)
>         center_y_positions.append(540)
>         center_x_positions.append(0)
>         areas.append(0)
>
> # Print the data
> for i in range(len(top_positions)):
>     frame_num = i + 1
>     print(f'Frame {frame_num}: top={top_positions[i]}, bottom={bottom_positions[i]}, center_y={center_y_positions[i]:.0f}, center_x={center_x_positions[i]:.0f
}, area={areas[i]}')
>
> cap.release()
> PYEOF
Frame 1: top=65, bottom=71, center_y=68, center_x=576, area=28.5
Frame 2: top=74, bottom=80, center_y=77, center_x=506, area=30.0
Frame 3: top=74, bottom=80, center_y=77, center_x=506, area=25.0
Frame 4: top=66, bottom=81, center_y=74, center_x=484, area=56.0
Frame 5: top=48, bottom=149, center_y=98, center_x=300, area=3782.5
Frame 6: top=68, bottom=149, center_y=108, center_x=312, area=2656.5
Frame 7: top=65, bottom=149, center_y=107, center_x=312, area=3121.0
Frame 8: top=65, bottom=149, center_y=107, center_x=312, area=2970.0
Frame 9: top=68, bottom=149, center_y=108, center_x=312, area=2891.0
Frame 10: top=65, bottom=149, center_y=107, center_x=312, area=2970.0
Frame 11: top=66, bottom=149, center_y=108, center_x=312, area=2965.0
Frame 12: top=66, bottom=149, center_y=108, center_x=312, area=2953.5
Frame 13: top=66, bottom=149, center_y=108, center_x=312, area=2965.0
Frame 14: top=66, bottom=149, center_y=108, center_x=312, area=2965.0
Frame 15: top=66, bottom=149, center_y=108, center_x=312, area=2858.0
Frame 16: top=66, bottom=149, center_y=108, center_x=312, area=2808.0
Frame 17: top=66, bottom=149, center_y=108, center_x=312, area=2808.0
Frame 18: top=66, bottom=149, center_y=108, center_x=312, area=2808.0
Frame 19: top=68, bottom=149, center_y=108, center_x=313, area=2811.0
Frame 20: top=68, bottom=149, center_y=108, center_x=313, area=2838.0
Frame 21: top=68, bottom=149, center_y=108, center_x=313, area=2838.0
Frame 22: top=68, bottom=149, center_y=108, center_x=313, area=2838.0
Frame 23: top=68, bottom=149, center_y=108, center_x=312, area=3178.0
Frame 24: top=68, bottom=149, center_y=108, center_x=312, area=3178.0
Frame 25: top=68, bottom=149, center_y=108, center_x=312, area=3178.0
Frame 26: top=68, bottom=152, center_y=110, center_x=312, area=3142.0
Frame 27: top=68, bottom=152, center_y=110, center_x=312, area=3142.0
Frame 28: top=68, bottom=152, center_y=110, center_x=312, area=3142.0
Frame 29: top=68, bottom=152, center_y=110, center_x=312, area=3142.0
Frame 30: top=83, bottom=154, center_y=118, center_x=320, area=2891.0
Frame 31: top=83, bottom=154, center_y=118, center_x=320, area=2891.0
Frame 32: top=83, bottom=154, center_y=118, center_x=320, area=2891.0
Frame 33: top=99, bottom=153, center_y=126, center_x=62, area=2900.5
Frame 34: top=55, bottom=153, center_y=104, center_x=78, area=5570.0
Frame 35: top=49, bottom=153, center_y=101, center_x=78, area=6413.5
Frame 36: top=49, bottom=153, center_y=101, center_x=78, area=6610.5
Frame 37: top=49, bottom=153, center_y=101, center_x=78, area=6721.5
Frame 38: top=49, bottom=153, center_y=101, center_x=78, area=6352.5
Frame 39: top=49, bottom=153, center_y=101, center_x=78, area=6175.0
Frame 40: top=100, bottom=153, center_y=126, center_x=78, area=4358.5
Frame 41: top=99, bottom=153, center_y=126, center_x=78, area=4810.0
Frame 42: top=97, bottom=153, center_y=125, center_x=78, area=5352.0
Frame 43: top=97, bottom=153, center_y=125, center_x=78, area=5352.0
Frame 44: top=97, bottom=153, center_y=125, center_x=78, area=5352.0
Frame 45: top=97, bottom=153, center_y=125, center_x=78, area=5299.0
Frame 46: top=97, bottom=153, center_y=125, center_x=78, area=5299.0
Frame 47: top=97, bottom=153, center_y=125, center_x=78, area=5298.0
Frame 48: top=97, bottom=153, center_y=125, center_x=78, area=5298.0
Frame 49: top=45, bottom=153, center_y=99, center_x=78, area=8861.5
Frame 50: top=45, bottom=153, center_y=99, center_x=78, area=11205.0
Frame 51: top=45, bottom=153, center_y=99, center_x=78, area=11183.0
Frame 52: top=58, bottom=331, center_y=194, center_x=815, area=12709.5
Frame 53: top=42, bottom=153, center_y=98, center_x=78, area=11308.0
Frame 54: top=12, bottom=214, center_y=113, center_x=424, area=15509.0
Frame 55: top=12, bottom=214, center_y=113, center_x=424, area=15509.0
Frame 56: top=12, bottom=214, center_y=113, center_x=478, area=30250.5
Frame 57: top=12, bottom=228, center_y=120, center_x=472, area=31659.5
Frame 58: top=12, bottom=214, center_y=113, center_x=419, area=17570.0
Frame 59: top=12, bottom=271, center_y=142, center_x=419, area=27517.5
Frame 60: top=12, bottom=214, center_y=113, center_x=419, area=22893.0
Frame 61: top=12, bottom=214, center_y=113, center_x=440, area=27036.0
Frame 62: top=11, bottom=375, center_y=193, center_x=452, area=31541.5
Frame 63: top=11, bottom=375, center_y=193, center_x=459, area=30270.5
Frame 64: top=11, bottom=283, center_y=147, center_x=509, area=35240.0
Frame 65: top=0, bottom=328, center_y=164, center_x=390, area=52177.5
Frame 66: top=11, bottom=215, center_y=113, center_x=505, area=29955.5
Frame 67: top=11, bottom=215, center_y=113, center_x=505, area=28800.0
Frame 68: top=11, bottom=215, center_y=113, center_x=505, area=28768.5
Frame 69: top=11, bottom=215, center_y=113, center_x=505, area=28810.0
Frame 70: top=11, bottom=215, center_y=113, center_x=505, area=28698.5
Frame 71: top=11, bottom=214, center_y=112, center_x=452, area=22466.0
Frame 72: top=0, bottom=156, center_y=78, center_x=116, area=17439.0
Frame 73: top=0, bottom=156, center_y=78, center_x=116, area=17534.0
Frame 74: top=0, bottom=155, center_y=78, center_x=116, area=17667.0
Frame 75: top=0, bottom=155, center_y=78, center_x=116, area=17660.5
Frame 76: top=0, bottom=155, center_y=78, center_x=116, area=17649.5
Frame 77: top=0, bottom=155, center_y=78, center_x=116, area=10275.0
Frame 78: top=41, bottom=211, center_y=126, center_x=296, area=8718.5
Frame 79: top=12, bottom=144, center_y=78, center_x=624, area=10078.5
Frame 80: top=11, bottom=144, center_y=78, center_x=624, area=10797.5
Frame 81: top=11, bottom=144, center_y=78, center_x=624, area=11140.5
Frame 82: top=11, bottom=144, center_y=78, center_x=610, area=11926.5
Frame 83: top=11, bottom=144, center_y=78, center_x=610, area=12664.0
Frame 84: top=11, bottom=214, center_y=112, center_x=505, area=29253.5
Frame 85: top=11, bottom=214, center_y=112, center_x=595, area=40548.5
Frame 86: top=12, bottom=215, center_y=114, center_x=595, area=42623.0
Frame 87: top=12, bottom=216, center_y=114, center_x=595, area=45119.5
Frame 88: top=0, bottom=230, center_y=115, center_x=595, area=59996.0
Frame 89: top=0, bottom=230, center_y=115, center_x=595, area=60043.5
Frame 90: top=0, bottom=229, center_y=114, center_x=595, area=71660.0
Frame 91: top=0, bottom=238, center_y=119, center_x=480, area=91610.0
Frame 92: top=0, bottom=238, center_y=119, center_x=480, area=91097.5
Frame 93: top=0, bottom=238, center_y=119, center_x=480, area=91337.5
Frame 94: top=0, bottom=238, center_y=119, center_x=480, area=91296.0
Frame 95: top=0, bottom=238, center_y=119, center_x=480, area=91569.0
Frame 96: top=0, bottom=240, center_y=120, center_x=595, area=80670.5
Frame 97: top=0, bottom=240, center_y=120, center_x=595, area=81361.5
Frame 98: top=0, bottom=240, center_y=120, center_x=595, area=81341.5
Frame 99: top=0, bottom=240, center_y=120, center_x=595, area=81363.5
Frame 100: top=0, bottom=240, center_y=120, center_x=595, area=81447.5
