Current Terminal Screen:
syscall at offset 0x1067b0, vaddr 0x5067b0
syscall at offset 0x1067bc, vaddr 0x5067bc
syscall at offset 0x1067c0, vaddr 0x5067c0
syscall at offset 0x1067d0, vaddr 0x5067d0
syscall at offset 0x1067e0, vaddr 0x5067e0
syscall at offset 0x1067f0, vaddr 0x5067f0
syscall at offset 0x106800, vaddr 0x506800
syscall at offset 0x106810, vaddr 0x506810
syscall at offset 0x106820, vaddr 0x506820
syscall at offset 0x106830, vaddr 0x506830
syscall at offset 0x106840, vaddr 0x506840
syscall at offset 0x106850, vaddr 0x506850
syscall at offset 0x106860, vaddr 0x506860
syscall at offset 0x106870, vaddr 0x506870
syscall at offset 0x106880, vaddr 0x506880
syscall at offset 0x11e71c, vaddr 0x51e71c
syscall at offset 0x12a6e8, vaddr 0x52a6e8
syscall at offset 0x12f9f4, vaddr 0x52f9f4
syscall at offset 0x16b518, vaddr 0x56b518
syscall at offset 0x16b528, vaddr 0x56b528
syscall at offset 0x16bb78, vaddr 0x56bb78
syscall at offset 0x16bee8, vaddr 0x56bee8
syscall at offset 0x16c508, vaddr 0x56c508
syscall at offset 0x16ca48, vaddr 0x56ca48
syscall at offset 0x16cae8, vaddr 0x56cae8
syscall at offset 0x16d048, vaddr 0x56d048
syscall at offset 0x16fbe8, vaddr 0x56fbe8
syscall at offset 0x1705f8, vaddr 0x5705f8
syscall at offset 0x1708c8, vaddr 0x5708c8
syscall at offset 0x1709c8, vaddr 0x5709c8
syscall at offset 0x170c48, vaddr 0x570c48
syscall at offset 0x170e58, vaddr 0x570e58
syscall at offset 0x171738, vaddr 0x571738
syscall at offset 0x171798, vaddr 0x571798
syscall at offset 0x171c58, vaddr 0x571c58
syscall at offset 0x171d38, vaddr 0x571d38
Total aligned: 470 syscall instructions
root@modal:/app#
