Current Terminal Screen:
1281: .text          0x00429cc0      0xf50 build/r_main.o
1454: .text          0x00437880      0x100 build/w_main.o
1518:                0x00439888                main
1521:                0x00439938                printf
1522:                0x00439970                malloc
1524:                0x00439ae8                basic_malloc
1550:                0x0043a624                fopen
1551:                0x0043a808                fclose
1553:                0x0043a950                fwrite
1555:                0x0043a9ec                fwrite_unlocked
1563:                0x0043d180                fprintf
1564:                0x0043d1bc                snprintf
1565:                0x0043d1f8                vfprintf
1566:                0x0043d224                vsnprintf
1614: .rodata        0x0043e3a8      0x180 build/d_main.o
1616:                0x0043e528      0x95a build/d_main.o
1724:                0x00444e12        0x2 build/r_main.o
1766:                0x00455d6a        0x6 build/w_main.o
1845:                [!provide]                        PROVIDE (__tdata_start = .)
1853:                [!provide]                        PROVIDE (__preinit_array_start = .)
1858:                [!provide]                        PROVIDE (__init_array_start = .)
1864:                [!provide]                        PROVIDE (__fini_array_start = .)
1916: .data          0x00466890       0x10 build/d_main.o
2142: .data          0x00472e80       0x10 build/r_main.o
2175: .data          0x00475030        0x0 build/w_main.o
2212:                0x004750a0                        __bss_start = .
2243: .bss           0x0047a9c0      0x8e0 build/d_main.o
2244:                0x0047a9c0                main_loop_started
2389:                0x0047cbe8                main_e
2595: .bss           0x00483b50     0x7240 build/r_main.o
2727: .bss           0x004b05c0        0x0 build/w_main.o
2732:                0x004b05d0                mainzone
2787: .comment       0x0000001c       0x1d build/d_main.o
2835: .comment       0x0000001c       0x1d build/r_main.o
2851: .comment       0x0000001c       0x1d build/w_main.o
2871: .pdr           0x000006c0      0x220 build/d_main.o
2919: .pdr           0x00005160      0x220 build/r_main.o
root@modal:/app#
