New Terminal Output:

root@modal:/app# pip install matplotlib > /dev/null 2>&1 &
[1] 595
root@modal:/app# python3 -c "
> import numpy as np
> from scipy.ndimage import uniform_filter1d
>
> wavenumbers = []
> intensities = []
> with open('/app/graphene.dat', 'r') as f:
>     for line in f:
>         line = line.strip()
>         if not line: continue
>         parts = line.split()
>         x = float(parts[0].replace(',', '.'))
>         y = float(parts[1].replace(',', '.'))
>         wavenumbers.append(x)
>         intensities.append(y)
> w = np.array(wavenumbers)
> i = np.array(intensities)
> sort_idx = np.argsort(w)
> w = w[sort_idx]
> i = i[sort_idx]
>
> # Smooth heavily to see the real peak structure
> smoothed = uniform_filter1d(i, size=100)
>
> # Print smoothed data at fine intervals in the low-x region
> print('Smoothed spectrum (x < 5000):')
> mask = w < 5000
> ww = w[mask]
> ss = smoothed[mask]
> for j in range(0, len(ww), 20):
>     print(f'  x={ww[j]:.1f}, y_smooth={ss[j]:.1f}')
>
> print()
> print('Looking for the 2D peak region (2500-3000):')
> mask2 = (w >= 2500) & (w <= 3000)
> ww2 = w[mask2]
> ss2 = smoothed[mask2]
> for j in range(0, len(ww2), 10):
>     print(f'  x={ww2[j]:.1f}, y_smooth={ss2[j]:.1f}')
> "
Smoothed spectrum (x < 5000):
  x=1648.7, y_smooth=6100.9
  x=1654.0, y_smooth=6078.1
  x=1659.3, y_smooth=5998.8
  x=1664.6, y_smooth=5925.3
  x=1670.1, y_smooth=5828.0
  x=1675.6, y_smooth=5745.9
  x=1681.1, y_smooth=5638.0
  x=1686.7, y_smooth=5561.0
  x=1692.4, y_smooth=5477.2
  x=1698.2, y_smooth=5377.3
  x=1704.0, y_smooth=5256.4
  x=1709.9, y_smooth=5170.8
  x=1715.9, y_smooth=5083.0
  x=1722.0, y_smooth=4998.8
  x=1728.1, y_smooth=4911.9
  x=1734.3, y_smooth=4830.6
  x=1740.6, y_smooth=4741.1
  x=1746.9, y_smooth=4648.1
  x=1753.4, y_smooth=4546.8
  x=1759.9, y_smooth=4454.2
  x=1766.5, y_smooth=4359.0
  x=1773.2, y_smooth=4266.4
  x=1779.9, y_smooth=4166.0
  x=1786.8, y_smooth=4078.6
  x=1793.7, y_smooth=4004.8
  x=1800.8, y_smooth=3923.4
  x=1807.9, y_smooth=3844.3
  x=1815.2, y_smooth=3781.8
  x=1822.5, y_smooth=3697.7
  x=1829.9, y_smooth=3603.7
  x=1837.4, y_smooth=3529.8
  x=1845.1, y_smooth=3450.1
  x=1852.8, y_smooth=3358.4
  x=1860.6, y_smooth=3293.2
  x=1868.6, y_smooth=3217.4
  x=1876.6, y_smooth=3128.7
  x=1884.8, y_smooth=3048.8
  x=1893.1, y_smooth=2968.4
  x=1901.5, y_smooth=2874.5
  x=1910.1, y_smooth=2794.3
  x=1918.7, y_smooth=2712.5
  x=1927.5, y_smooth=2638.8
  x=1936.4, y_smooth=2563.5
  x=1945.4, y_smooth=2490.2
  x=1954.6, y_smooth=2411.7
  x=1963.9, y_smooth=2343.7
  x=1973.4, y_smooth=2278.5
  x=1983.0, y_smooth=2202.5
  x=1992.7, y_smooth=2144.9
  x=2002.6, y_smooth=2082.9
  x=2012.6, y_smooth=2026.4
  x=2022.8, y_smooth=1951.4
  x=2033.2, y_smooth=1889.4
  x=2043.7, y_smooth=1817.3
  x=2054.4, y_smooth=1756.3
  x=2065.2, y_smooth=1693.2
  x=2076.3, y_smooth=1635.1
  x=2087.5, y_smooth=1582.5
  x=2098.9, y_smooth=1515.6
  x=2110.5, y_smooth=1463.7
  x=2122.3, y_smooth=1414.7
  x=2134.3, y_smooth=1363.2
  x=2146.4, y_smooth=1308.5
  x=2158.8, y_smooth=1253.7
  x=2171.4, y_smooth=1197.3
  x=2184.3, y_smooth=1143.5
  x=2197.3, y_smooth=1084.6
  x=2210.6, y_smooth=1046.0
  x=2224.1, y_smooth=1007.0
  x=2237.9, y_smooth=966.2
  x=2251.9, y_smooth=921.1
  x=2266.1, y_smooth=902.4
  x=2280.6, y_smooth=859.6
  x=2295.4, y_smooth=835.1
  x=2310.5, y_smooth=822.5
  x=2325.9, y_smooth=828.7
  x=2341.5, y_smooth=802.7
  x=2357.5, y_smooth=774.5
  x=2373.7, y_smooth=731.5
  x=2390.3, y_smooth=681.4
  x=2407.2, y_smooth=609.7
  x=2424.5, y_smooth=565.7
  x=2442.1, y_smooth=537.4
  x=2460.0, y_smooth=512.2
  x=2478.4, y_smooth=485.0
  x=2497.1, y_smooth=464.7
  x=2516.2, y_smooth=436.3
  x=2535.7, y_smooth=423.8
  x=2555.6, y_smooth=425.7
  x=2576.0, y_smooth=418.0
  x=2596.8, y_smooth=413.4
  x=2618.1, y_smooth=420.7
  x=2639.8, y_smooth=408.2
  x=2662.0, y_smooth=392.7
  x=2684.8, y_smooth=383.1
  x=2708.1, y_smooth=366.3
  x=2731.9, y_smooth=354.1
  x=2756.3, y_smooth=347.5
  x=2781.2, y_smooth=350.2
  x=2806.8, y_smooth=361.2
  x=2833.0, y_smooth=375.1
  x=2859.8, y_smooth=385.4
  x=2887.4, y_smooth=405.4
  x=2915.6, y_smooth=416.4
  x=2944.6, y_smooth=432.2
  x=2974.3, y_smooth=458.8
  x=3004.8, y_smooth=513.2
  x=3036.1, y_smooth=587.6
  x=3068.2, y_smooth=643.7
  x=3101.3, y_smooth=683.2
  x=3135.3, y_smooth=724.8
  x=3170.2, y_smooth=748.4
  x=3206.1, y_smooth=751.5
  x=3243.1, y_smooth=775.7
  x=3281.2, y_smooth=822.1
  x=3320.4, y_smooth=883.2
  x=3360.8, y_smooth=932.3
  x=3402.5, y_smooth=989.5
  x=3445.4, y_smooth=1073.4
  x=3489.8, y_smooth=1170.4
  x=3535.5, y_smooth=1272.0
  x=3582.8, y_smooth=1583.8
  x=3631.6, y_smooth=3372.7
  x=3682.1, y_smooth=4132.4
  x=3734.4, y_smooth=4264.4
  x=3788.5, y_smooth=4342.5
  x=3844.5, y_smooth=4240.0
  x=3902.6, y_smooth=2683.1
  x=3962.8, y_smooth=2187.3
  x=4025.3, y_smooth=2241.2
  x=4090.2, y_smooth=2330.7
  x=4157.6, y_smooth=2408.7
  x=4227.8, y_smooth=2476.2
  x=4300.8, y_smooth=2522.8
  x=4376.9, y_smooth=2635.5
  x=4456.2, y_smooth=2762.8
  x=4538.9, y_smooth=2910.7
  x=4625.4, y_smooth=3061.1
  x=4715.7, y_smooth=3231.2
  x=4810.3, y_smooth=3407.1
  x=4909.4, y_smooth=3594.6

Looking for the 2D peak region (2500-3000):
  x=2500.9, y_smooth=458.3
  x=2510.4, y_smooth=441.0
  x=2520.1, y_smooth=432.1
  x=2529.8, y_smooth=432.2
  x=2539.6, y_smooth=420.2
  x=2549.6, y_smooth=420.3
  x=2559.7, y_smooth=425.7
  x=2569.8, y_smooth=419.7
  x=2580.1, y_smooth=421.1
  x=2590.5, y_smooth=420.1
  x=2601.0, y_smooth=418.5
  x=2611.6, y_smooth=422.9
