New Terminal Output:

Peaks found in smoothed data:
  x=2344.69, y_smooth=857.09, y_raw=789.33
  x=3108.01, y_smooth=774.03, y_raw=665.55
  x=3747.73, y_smooth=6682.69, y_raw=12904.65
  x=4123.58, y_smooth=2437.16, y_raw=2402.23
  x=6467.88, y_smooth=7646.20, y_raw=6467.41
  x=10611.56, y_smooth=15114.55, y_raw=18754.71
  x=17812.68, y_smooth=30486.32, y_raw=21422.02
  x=40475.25, y_smooth=19712.79, y_raw=19704.07

Smoothed spectrum overview (every 200 points):
  x=1648.72, y_smooth=6091.33
  x=1704.03, y_smooth=5279.60
  x=1766.47, y_smooth=4375.05
  x=1837.43, y_smooth=3528.98
  x=1918.70, y_smooth=2732.64
  x=2012.62, y_smooth=2012.32
  x=2122.27, y_smooth=1401.06
  x=2251.86, y_smooth=928.63
  x=2407.24, y_smooth=582.92
  x=2596.79, y_smooth=431.57
  x=2833.00, y_smooth=381.58
  x=3135.27, y_smooth=701.14
  x=3535.51, y_smooth=1255.19
  x=4090.18, y_smooth=2416.81
  x=4909.39, y_smooth=3603.09
  x=6240.64, y_smooth=7331.62
  x=8780.21, y_smooth=8619.88
  x=15533.63, y_smooth=15819.99
root@modal:/app#
