New Terminal Output:

Frame  47: top=241, bottom=330, left=915, right=960, area=  1549, w= 45, h= 89
Frame  48: top=210, bottom=337, left=859, right=960, area=  3149, w=101, h=127
Frame  49: top= 50, bottom=358, left=831, right=960, area= 13274, w=129, h=308
Frame  50: top= 57, bottom=363, left=825, right=960, area= 17023, w=135, h=306
Frame  51: top= 54, bottom=365, left=810, right=919, area= 13076, w=109, h=311
Frame  52: top= 55, bottom=365, left=739, right=873, area= 16842, w=134, h=310
Frame  53: top= 53, bottom=362, left=694, right=856, area= 20394, w=162, h=309
Frame  54: top= 44, bottom=343, left=631, right=830, area= 17934, w=199, h=299
Frame  55: top= 38, bottom=311, left=531, right=806, area= 16168, w=275, h=273
Frame  56: top= 38, bottom=212, left=480, right=695, area= 14070, w=215, h=174
Frame  57: top= 39, bottom=235, left=431, right=731, area= 15349, w=300, h=196
Frame  58: top= 40, bottom=233, left=391, right=673, area= 15840, w=282, h=193
Frame  59: top= 40, bottom=273, left=376, right=614, area= 13802, w=238, h=233
Frame  60: top= 40, bottom=308, left=357, right=553, area= 12811, w=196, h=268
Frame  61: top= 41, bottom=342, left=346, right=484, area= 13074, w=138, h=301
Frame  62: top= 43, bottom=370, left=294, right=433, area= 14546, w=139, h=327
Frame  63: top= 48, bottom=370, left=258, right=396, area= 15694, w=138, h=322
Frame  64: top= 52, bottom=369, left=224, right=380, area= 19708, w=156, h=317
Frame  65: top= 50, bottom=364, left=152, right=349, area= 16908, w=197, h=314
Frame  66: top= 42, bottom=337, left=105, right=313, area= 13270, w=208, h=295
Frame  67: top= 40, bottom=346, left= 84, right=274, area= 18673, w=190, h=306
Frame  68: top= 45, bottom=366, left= 78, right=207, area= 17766, w=129, h=321
Frame  69: top= 59, bottom=367, left= 27, right=143, area= 19204, w=116, h=308
Frame  70: top= 62, bottom=366, left=  0, right=123, area= 16783, w=123, h=304
Frame  71: top=122, bottom=366, left=  0, right=103, area=  6443, w=103, h=244
Frame  72: top=244, bottom=354, left=  0, right= 80, area=  1671, w= 80, h=110
Frame  73: top=283, bottom=323, left=  0, right= 61, area=   958, w= 61, h= 40
Frame  96: top=  0, bottom= 48, left=  0, right= 58, area=   502, w= 58, h= 48
Frame  97: top=  0, bottom= 61, left=  0, right= 89, area=   639, w= 89, h= 61
Frame  98: top=  0, bottom= 60, left=  0, right= 89, area=   634, w= 89, h= 60
Frame  99: top=  0, bottom= 60, left=  0, right= 89, area=   634, w= 89, h= 60
Frame 100: top=  0, bottom= 60, left=  0, right= 89, area=   634, w= 89, h= 60
Frame 101: top=  0, bottom= 76, left=  0, right= 99, area=   802, w= 99, h= 76
Frame 102: top=  0, bottom= 76, left=  0, right= 99, area=   783, w= 99, h= 76
Frame 103: top= 55, bottom=105, left=363, right=454, area=   988, w= 91, h= 50
Frame 104: top= 55, bottom=105, left=363, right=454, area=   988, w= 91, h= 50
Frame 105: top= 56, bottom=104, left=364, right=453, area=   800, w= 89, h= 48
Frame 106: top=  0, bottom= 62, left=  0, right= 91, area=   556, w= 91, h= 62
Frame 107: top= 55, bottom=105, left=352, right=453, area=  1348, w=101, h= 50
Frame 108: top=  0, bottom= 77, left=  0, right=101, area=  1578, w=101, h= 77
Frame 109: top=  0, bottom= 79, left=  0, right=102, area=  1424, w=102, h= 79
Frame 110: top=  0, bottom=203, left=  0, right=112, area=  5738, w=112, h=203
Frame 111: top=  0, bottom=211, left=  0, right=128, area=  7835, w=128, h=211
Frame 112: top=  0, bottom=156, left=  0, right=110, area=  4494, w=110, h=156
Frame 113: top=  0, bottom=155, left=  0, right=110, area=  4484, w=110, h=155
Frame 114: top=  0, bottom= 80, left=  0, right=104, area=  2452, w=104, h= 80
Frame 115: top=  0, bottom= 80, left=  0, right=102, area=  1547, w=102, h= 80
Frame 116: top= 35, bottom= 94, left=141, right=267, area=  2599, w=126, h= 59
Frame 117: top=  0, bottom= 80, left=  0, right=102, area=  1662, w=102, h= 80
Frame 118: top= 50, bottom= 83, left= 30, right= 81, area=   562, w= 51, h= 33
Frame 119: top=  0, bottom=154, left=  0, right=145, area=  6062, w=145, h=154
root@modal:/app#
