New Terminal Output:

root@modal:/app# grep -roh '\b\(printf\|fprintf\|sprintf\|snprintf\|sscanf\|fopen\|fclose\|fread\|fwrite\|fseek\|ftell\|fgets\|fputs\|fputc\|fgetc\|feof\|ferror
\|rewind\|remove\|rename\|malloc\|calloc\|realloc\|free\|memset\|memcpy\|memmove\|memcmp\|strlen\|strcpy\|strncpy\|strcat\|strncat\|strcmp\|strncmp\|strcasecmp\
|strdup\|strrchr\|strchr\|strstr\|strtol\|strtoul\|atoi\|atol\|toupper\|tolower\|isdigit\|isalpha\|isspace\|isprint\|isupper\|islower\|exit\|abort\|qsort\|abs\|
vsnprintf\|vfprintf\|putchar\|puts\|getenv\|read\|write\|open\|close\|lseek\|access\|unlink\|stat\|fstat\|mkdir\|ioctl\|srand\|rand\)\b' /app/doomgeneric/doomge
neric/*.c /app/doomgeneric/doomgeneric/*.h 2>/dev/null | sort | uniq -c | sort -rn
    250 free
    141 printf
     96 fprintf
     64 strlen
     49 read
     48 memset
     44 memcpy
     33 exit
     31 open
     30 abs
     23 malloc
     22 fclose
     21 remove
     21 fopen
     18 write
     17 fwrite
     16 strdup
     16 close
     14 strcmp
     14 fread
     14 atoi
     12 isspace
     11 toupper
     11 access
     10 strcasecmp
      8 sscanf
      8 memcmp
      7 strchr
      6 unlink
      6 tolower
      6 puts
      6 ioctl
      6 ftell
      5 vsnprintf
      5 strrchr
      5 strncmp
      5 fseek
      4 stat
      3 strstr
      3 strncpy
      3 rename
      3 realloc
      3 putchar
      3 memmove
      3 getenv
      3 abort
      2 snprintf
      2 mkdir
      2 feof
      2 calloc
      1 vfprintf
      1 isprint
      1 isalpha
      1 fgets
root@modal:/app#
