Current Terminal Screen:
0x0043d988: 0x00806025
0x0043d98c: 0x2d610002
0x0043d990: 0x10200010
0x0043d994: 0x00000000
0x0043d998: 0x240c0001
0x0043d99c: 0x240d0000
0x0043d9a0: 0x01801025
0x0043d9a4: 0x01602025
0x0043d9a8: 0x01402825
0x0043d9ac: 0x00603025
0x0043d9b0: 0x01a03825
0x0043d9b4: 0x01a04025
0x0043d9b8: 0x01a04825
0x0043d9bc: 0x0000000c
0x0043d9c0: 0x00401825
0x0043d9c4: 0x04610013
0x0043d9c8: 0x00000000
0x0043d9cc: 0x0810f681
0x0043d9d0: 0x00000000
0x0043d9d4: 0x240d0000
0x0043d9d8: 0x01801025
0x0043d9dc: 0x01602025
0x0043d9e0: 0x01402825
0x0043d9e4: 0x00603025
0x0043d9e8: 0x01a03825
0x0043d9ec: 0x01a04025
0x0043d9f0: 0x01a04825
0x0043d9f4: 0x0000000c
0x0043d9f8: 0x00401825
0x0043d9fc: 0x04610005
0x0043da00: 0x00000000
0x0043da04: 0x00030823
0x0043da08: 0x3c02004b
0x0043da0c: 0x2403ffff
0x0043da10: 0xac410a80
0x0043da14: 0x03e00008
0x0043da18: 0x00601025
root@modal:/app#
