New Terminal Output:

root@modal:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
>
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY)
> bg_gray = cv2.GaussianBlur(bg_gray, (21, 21), 0)
>
> frame_data = []
> frame_idx = 0
>
> cap.set(cv2.CAP_PROP_POS_FRAMES, 0)
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY)
>     gray = cv2.GaussianBlur(gray, (21, 21), 0)
>
>     diff = cv2.absdiff(bg_gray, gray)
>     _, thresh = cv2.threshold(diff, 30, 255, cv2.THRESH_BINARY)
>
>     # Find contours
>     contours, _ = cv2.findContours(thresh, cv2.RETR_EXTERNAL, cv2.CHAIN_APPROX_SIMPLE)
>
>     total_area = 0
>     centroid_y = 0
>     centroid_x = 0
>     min_y = 540
>     max_y = 0
>     bbox_bottom = 0
>
>     if contours:
>         # Get the largest contour or merge all
>         all_points = np.vstack(contours)
>         x, y, w, h = cv2.boundingRect(all_points)
>         total_area = cv2.countNonZero(thresh)
>         M = cv2.moments(thresh)
>         if M['m00'] > 0:
>             centroid_x = int(M['m10'] / M['m00'])
>             centroid_y = int(M['m01'] / M['m00'])
>         min_y = y
>         max_y = y + h
>         bbox_bottom = y + h
>
>     frame_data.append({
>         'frame': frame_idx,
>         'area': total_area,
>         'cx': centroid_x,
>         'cy': centroid_y,
>         'min_y': min_y,
>         'max_y': max_y,
>         'bbox_bottom': bbox_bottom
>     })
>     frame_idx += 1
>
> cap.release()
>
> print("Frame | Area | CX | CY | MinY | MaxY | BBoxBottom")
> for d in frame_data:
>     print(f"{d['frame']:4d} | {d['area']:6d} | {d['cx']:4d} | {d['cy']:4d} | {d['min_y']:4d} | {d['max_y']:4d} | {d['bbox_bottom']:4d}")
> PYEOF
Frame | Area | CX | CY | MinY | MaxY | BBoxBottom
   0 |      0 |    0 |    0 |  540 |    0 |    0
   1 |      0 |    0 |    0 |  540 |    0 |    0
   2 |      0 |    0 |    0 |  540 |    0 |    0
   3 |      0 |    0 |    0 |  540 |    0 |    0
   4 |      0 |    0 |    0 |  540 |    0 |    0
   5 |      0 |    0 |    0 |  540 |    0 |    0
   6 |      0 |    0 |    0 |  540 |    0 |    0
   7 |      0 |    0 |    0 |  540 |    0 |    0
   8 |      0 |    0 |    0 |  540 |    0 |    0
   9 |      0 |    0 |    0 |  540 |    0 |    0
  10 |      0 |    0 |    0 |  540 |    0 |    0
  11 |      0 |    0 |    0 |  540 |    0 |    0
  12 |      0 |    0 |    0 |  540 |    0 |    0
  13 |      0 |    0 |    0 |  540 |    0 |    0
  14 |      0 |    0 |    0 |  540 |    0 |    0
  15 |      0 |    0 |    0 |  540 |    0 |    0
  16 |      0 |    0 |    0 |  540 |    0 |    0
  17 |      0 |    0 |    0 |  540 |    0 |    0
  18 |      0 |    0 |    0 |  540 |    0 |    0
  19 |      0 |    0 |    0 |  540 |    0 |    0
  20 |      0 |    0 |    0 |  540 |    0 |    0
  21 |      0 |    0 |    0 |  540 |    0 |    0
  22 |      0 |    0 |    0 |  540 |    0 |    0
  23 |      0 |    0 |    0 |  540 |    0 |    0
  24 |      0 |    0 |    0 |  540 |    0 |    0
  25 |      0 |    0 |    0 |  540 |    0 |    0
  26 |      0 |    0 |    0 |  540 |    0 |    0
  27 |      0 |    0 |    0 |  540 |    0 |    0
  28 |      0 |    0 |    0 |  540 |    0 |    0
  29 |      0 |    0 |    0 |  540 |    0 |    0
  30 |      0 |    0 |    0 |  540 |    0 |    0
  31 |      0 |    0 |    0 |  540 |    0 |    0
  32 |      0 |    0 |    0 |  540 |    0 |    0
  33 |      0 |    0 |    0 |  540 |    0 |    0
  34 |      0 |    0 |    0 |  540 |    0 |    0
  35 |      0 |    0 |    0 |  540 |    0 |    0
  36 |      0 |    0 |    0 |  540 |    0 |    0
  37 |      0 |    0 |    0 |  540 |    0 |    0
  38 |      0 |    0 |    0 |  540 |    0 |    0
  39 |      0 |    0 |    0 |  540 |    0 |    0
  40 |      0 |    0 |    0 |  540 |    0 |    0
  41 |      0 |    0 |    0 |  540 |    0 |    0
  42 |      0 |    0 |    0 |  540 |    0 |    0
  43 |      0 |    0 |    0 |  540 |    0 |    0
  44 |      0 |    0 |    0 |  540 |    0 |    0
  45 |      0 |    0 |    0 |  540 |    0 |    0
  46 |      0 |    0 |    0 |  540 |    0 |    0
  47 |   1107 |  946 |  296 |  243 |  329 |  329
  48 |   1242 |  911 |  281 |  214 |  335 |  335
  49 |   6109 |  925 |  194 |   51 |  353 |  353
  50 |   8006 |  890 |  217 |   75 |  362 |  362
  51 |   6498 |  856 |  227 |   56 |  363 |  363
  52 |   8778 |  816 |  198 |   57 |  364 |  364
  53 |   9531 |  774 |  183 |   55 |  361 |  361
  54 |   8994 |  728 |  177 |   46 |  340 |  340
  55 |   6959 |  682 |  171 |   40 |  309 |  309
  56 |   8002 |  630 |  139 |   40 |  274 |  274
  57 |   7061 |  578 |  134 |   40 |  234 |  234
  58 |   5439 |  539 |  146 |   41 |  229 |  229
  59 |   7532 |  496 |  149 |   41 |  271 |  271
  60 |   8210 |  463 |  151 |   41 |  307 |  307
  61 |   7607 |  418 |  172 |   42 |  339 |  339
  62 |   8740 |  377 |  187 |   44 |  368 |  368
  63 |   9652 |  336 |  176 |   49 |  368 |  368
  64 |   8760 |  295 |  190 |   52 |  367 |  367
  65 |   6781 |  247 |  207 |   51 |  359 |  359
  66 |   8465 |  203 |  182 |   43 |  333 |  333
  67 |  11028 |  165 |  178 |   44 |  345 |  345
  68 |  13125 |  119 |  190 |   46 |  364 |  364
  69 |  13565 |   78 |  194 |   61 |  365 |  365
  70 |  10716 |   40 |  194 |   64 |  365 |  365
  71 |   2863 |   32 |  252 |  124 |  364 |  364
  72 |    735 |   50 |  312 |  273 |  350 |  350
  73 |    573 |   35 |  299 |  285 |  321 |  321
  74 |    173 |    8 |  276 |  267 |  285 |  285
  75 |      0 |    0 |    0 |  540 |    0 |    0
  76 |      0 |    0 |    0 |  540 |    0 |    0
  77 |      0 |    0 |    0 |  540 |    0 |    0
  78 |      0 |    0 |    0 |  540 |    0 |    0
  79 |      0 |    0 |    0 |  540 |    0 |    0
  80 |      0 |    0 |    0 |  540 |    0 |    0
  81 |      0 |    0 |    0 |  540 |    0 |    0
  82 |      0 |    0 |    0 |  540 |    0 |    0
  83 |      0 |    0 |    0 |  540 |    0 |    0
  84 |      0 |    0 |    0 |  540 |    0 |    0
  85 |      0 |    0 |    0 |  540 |    0 |    0
  86 |      0 |    0 |    0 |  540 |    0 |    0
  87 |      0 |    0 |    0 |  540 |    0 |    0
  88 |      0 |    0 |    0 |  540 |    0 |    0
  89 |      0 |    0 |    0 |  540 |    0 |    0
  90 |      0 |    0 |    0 |  540 |    0 |    0
  91 |      1 |  241 |   71 |   71 |   72 |   72
  92 |      4 |  241 |   72 |   71 |   74 |   74
