File Read Result for '/tmp/leaderboard_scandinavian.png':
# MTEB Scandinavian Leaderboard - Top 10 Models

Based on the table, the model ranked **#1** with the highest **Mean (Task)** score is **F2LLM-v2-14B** with a score of **69.71**.

Here are the top 10 models:

| Rank | Model | Mean (TaskType) Score |
|------|-------|-----------------------|
| 1 | F2LLM-v2-14B | 69.71 |
| 2 | F2LLM-v2-8B | 68.49 |
| 3 | F2LLM-v2-4B | 67.34 |
| 4 | F2LLM-v2-1.7B | 66.32 |
| 5 | SFR-Embedding-2_R | 65.67 |
| 6 | gemini-embedding-001 | — (not shown) |
| 7 | GritLM-7B | 65.35 |
| 8 | Qwen3-Embedding-4B | — (not shown) |
| 9 | e5-mistral-7b-instruct | 63.36 |
| 10 | Linq-Embed-Mistral | — (not shown) |

**Note:** The **Mean (T...)** column shows the overall Mean scores, where F2LLM-v2-14B leads with **71.10**, followed by F2LLM-v2-8B at **69.94**, F2LLM-v2-4B at **68.46**, F2LLM-v2-1.7B at **67.21**, SFR-Embedding-2_R at **65.56**, GritLM-7B at **64.08**, F2LLM-v2-0.6B at **64.32**, and e5-mistral-7b-instruct at **62.01**. Some models have missing values in certain columns.
