Current Terminal Screen:
> PYEOF
root@modal:/app# python3 /tmp/convert.py
Points near x=27000: 10
  y range: 15668.55 to 16763.43
  max at x=27818.23, y=16763.43
  peaks found: 2
    x=26638.04, y=16289.40
    x=27019.89, y=16360.99

Region 25000-30000: 25 points
  x=25048.16, y=15135.75
  x=25215.14, y=15313.23
  x=25384.43, y=15352.44
  x=25556.07, y=15587.09
  x=25730.10, y=15544.40
  x=25906.58, y=15792.47
  x=26085.56, y=15668.55
  x=26267.10, y=15819.45
  x=26451.24, y=16288.78
  x=26638.04, y=16289.40
  x=26827.57, y=16094.63
  x=27019.89, y=16360.99
  x=27215.04, y=16260.30
  x=27413.11, y=16505.46
  x=27614.15, y=16577.39
  x=27818.23, y=16763.43
  x=28025.42, y=16827.65
  x=28235.79, y=16993.81
  x=28449.42, y=17100.57
  x=28666.38, y=17163.61
  x=28886.75, y=17184.17
  x=29110.62, y=17434.46
  x=29338.06, y=17468.87
  x=29569.16, y=17541.07
  x=29804.02, y=17844.33
  MAX: x=29804.02, y=17844.33
root@modal:/app#
