New Terminal Output:

echo '__CMDEND__8__'
Frame    Area  BotY  TopY    CX     H     W  NC
   33     318   204   162   512    42    20   1
   34    1158   204   115   266    89   511   3
   35     850   152   115    83    37   145   2
   36     877   152   112    83    40   145   2
   37     864   152   112    83    40   145   2
   40     643   132   112    94    20   101   1
   41     834   149   112    79    37   132   1
   42    1242   149   104    68    45   137   1
   43    1242   149   104    68    45   137   1
   44    1242   149   104    68    45   137   1
   45    1237   149   104    68    45   137   1
   46    1203   152   112    75    40   124   1
   47    2160   328   112   486   216   947   3
   48    2368   336   112   486   224   947   4
   49    8848   359    51   486   308   947   4
   50   10838   360    73   486   287   947   5
   51   11281   362    56   466   306   906   5
   52   13050   363    57   440   306   861   4
   53   14960   360    54   427   306   854   5
   54   16561   341    47   416   294   832   9
   55   15882   310    39   405   271   811   3
   56   15686   275    39   388   236   776   5
   57   15941   240    41   367   199   734   8
   58   13861   238    42   317   196   634   7
   59   14688   271    42   317   229   634   6
   60   14504   307    43   317   264   634   7
   61   16229   346    44   317   302   634   9
   62   20723   367    48   321   319   642   9
   63   21720   365    51   321   314   642   9
   64   23797   367    51   321   316   642  12
   65   21696   364    51   321   313   642  13
   66   23222   338    45   321   293   642  10
   67   26116   349    46   321   303   642   6
   68   25750   364    47   321   317   642   5
   69   24546   364    45   321   319   642   7
   70   27096   364    51   420   313   840   7
   71   14737   365    51   420   314   840   9
   72   11974   352    66   420   286   840  10
   73   12730   323    66   422   257   835  10
   74   13894   288    65   420   223   840  10
   75   13660   237    65   420   172   840   9
   76   14732   237    63   480   174   960  12
   77   13663   237    66   477   171   945  11
   78   12786   237    65   422   172   834   9
   79   11780   237    67   422   170   834   7
   80   12259   237    64   422   173   834   8
   81   12144   237    63   422   174   834   7
   82   12500   237    63   422   174   834   8
   83   12411   237    63   422   174   834   8
   84   17480   237    57   482   180   955  16
   85   23954   237    57   482   180   955  15
   86   29412   237    57   482   180   955  13
   87   34574   237    42   480   195   960  17
   88   43294   237    41   480   196   960  17
   89   43279   237    41   480   196   960  17
   90   48882   353    36   480   317   960  14
   91   57926   391    36   480   355   960  13
   92   57604   353    35   480   318   960  11
   93   57595   353    35   480   318   960  12
   94   57233   353    35   480   318   960  13
   95   59684   354    35   480   319   960  12
   96   65980   354    39   480   315   960  13
   97   66221   354    41   480   313   960  14
   98   66197   354    36   480   318   960  14
   99   65974   354    36   480   318   960  13
  100   65688   354    36   480   318   960  12
  101   66014   354    36   480   318   960  12
  102   66933   354    36   480   318   960  11
  103   70390   519    35   480   484   960  20
  104   69532   369    35   480   334   960  17
  105   65698   357    35   480   322   960  12
  106   58377   354    35   480   319   960  14
  107   56434   402    35   480   367   960  12
  108   72025   522    14   480   508   960  20
  109   72420   238     0   480   238   960   9
  110  100097   403     0   480   403   960  17
  111   88170   525     0   480   525   960  18
  112   90768   354     0   480   354   960  18
  113   68207   241     0   480   241   960  10
  114   29076   239     0   480   239   960  22
  115   28348   239     0   480   239   960  22
  116   46461   239     0   473   239   947  19
  117   53268   239     0   473   239   947  15
  118   34868   345    34   426   311   852  14
  119   50960   488    28   480   460   960  19
root@modal:/app# echo '__CMDEND__8__'
__CMDEND__8__
root@modal:/app#
