New Terminal Output:

echo '__CMDEND__9__'
Total frames: 120

Consecutive frame diff approach:
Frame  Pixels  BotY  TopY    CX
    1       9     0     0     0.0
    2       0     0     0     0.0
    3       0     0     0     0.0
    4       0     0     0     0.0
    5    1788   344    56   271.1 bot95=176
    6      78     0     0     0.0
    7       0     0     0     0.0
    8       0     0     0     0.0
    9       0     0     0     0.0
   10       0     0     0     0.0
   11       0     0     0     0.0
   12       0     0     0     0.0
   13       0     0     0     0.0
   14       0     0     0     0.0
   15       0     0     0     0.0
   16       0     0     0     0.0
   17       0     0     0     0.0
   18       0     0     0     0.0
   19       0     0     0     0.0
   20       0     0     0     0.0
   21       0     0     0     0.0
   22       0     0     0     0.0
   23       0     0     0     0.0
   24       0     0     0     0.0
   25       0     0     0     0.0
   26       0     0     0     0.0
   27       0     0     0     0.0
   28       0     0     0     0.0
   29       0     0     0     0.0
   30       0     0     0     0.0
   31       0     0     0     0.0
   32       0     0     0     0.0
   33     278   344    63   262.8 bot95=315
   34       0     0     0     0.0
   35       0     0     0     0.0
   36       0     0     0     0.0
   37       0     0     0     0.0
   38       0     0     0     0.0
   39       0     0     0     0.0
   40       0     0     0     0.0
   41       0     0     0     0.0
   42       0     0     0     0.0
   43       0     0     0     0.0
   44       0     0     0     0.0
   45       0     0     0     0.0
   46       0     0     0     0.0
   47    1222   328   230   947.5 bot95=325
   48    3587   335    79   929.4 bot95=329
   49    9885   358    51   920.9 bot95=340
   50   14558   360    51   905.1 bot95=340
   51   15748   345    53   876.5 bot95=296
   52   16529   359    53   832.1 bot95=302
   53   18552   360    54   790.3 bot95=322
   54   19824   359    44   751.3 bot95=314
   55   17593   340    38   702.9 bot95=294
   56   17218   310    38   652.2 bot95=266
   57   16629   274    38   611.5 bot95=242
   58   13985   239    41   565.7 bot95=221
   59   13898   270    42   513.5 bot95=246
   60   13525   308    42   470.1 bot95=277
   61   15128   346    42   437.9 bot95=303
   62   15041   366    44   393.7 bot95=335
   63   16512   364    47   354.4 bot95=298
   64   17484   366    51   312.9 bot95=320
   65   17343   366    52   275.3 bot95=327
   66   17818   363    45   226.6 bot95=318
   67   19141   347    45   184.2 bot95=317
   68   21857   363    45   143.4 bot95=321
   69   22209   355    46   100.8 bot95=296
   70   19043   363    57    60.9 bot95=301
   71   12445   364    65    42.1 bot95=335
   72    4641   364   121    34.3 bot95=350
   73    1740   352   240    45.9 bot95=338
   74    1247   322   264    29.7 bot95=316
   75     396   288   264    10.7 bot95=285
   76       0     0     0     0.0
   77     110     0     0     0.0
   78       0     0     0     0.0
   79       0     0     0     0.0
   80       0     0     0     0.0
   81       0     0     0     0.0
   82       0     0     0     0.0
   83       0     0     0     0.0
   84      55     0     0     0.0
   85       0     0     0     0.0
   86       0     0     0     0.0
   87       0     0     0     0.0
   88       0     0     0     0.0
   89       0     0     0     0.0
   90    1259   348    66   318.4 bot95=314
   91      46     0     0     0.0
   92       0     0     0     0.0
   93       0     0     0     0.0
   94       0     0     0     0.0
   95       0     0     0     0.0
   96      24     0     0     0.0
   97       0     0     0     0.0
   98       0     0     0     0.0
   99       0     0     0     0.0
  100       0     0     0     0.0
  101       0     0     0     0.0
  102       0     0     0     0.0
  103    1662   382    43   384.1 bot95=344
  104       0     0     0     0.0
  105    1210   190    48   428.0 bot95=178
  106      15     0     0     0.0
  107    2450   269    27   319.2 bot95=169
  108    3441   349    33   347.3 bot95=233
  109   22266   391     0   472.3 bot95=344
  110   21718   391    43   457.3 bot95=343
  111    9277   238     0   452.7 bot95=222
  112    4941   382     0   241.2 bot95=293
  113    4455   398    12   416.7 bot95=314
  114   23406   503     0   475.4 bot95=344
  115   15383   388     0   492.5 bot95=275
  116    7066   380     0   399.9 bot95=193
  117     942   201    25   407.0 bot95=188
  118   30564   379     0   483.8 bot95=230
  119   41837   517     0   492.3 bot95=340
root@modal:/app# echo '__CMDEND__9__'
__CMDEND__9__
root@modal:/app#
