New Terminal Output:

echo '__CMDEND__10__'
Background subtraction - focused athlete tracking:
Frame    Area  BotY  TopY    CX     H     W  Bot90
   47     422   327   310   939    17    42    324
   49    1192   221   168   943    53    34    209
   50    2129   235   173   913    62    58    223
   51    1174   327   258   838    69    55    313
   52    1326   328   240   808    88    74    312
   53    1620   133    76   769    57    66    125
   54    1828   236   163   693    73    92    213
   55    1071   193   169   673    24    75    189
   56    2802   150    40   620   110    58    128
   57    2228   160    89   601    71    56    145
   58    1332   204   162   512    42   101    198
   59    1722   204   122   511    82    42    194
   60    2458   204    90   460   114    85    191
   61    1210   101    44   397    57    45     97
   62    1014   183   129   402    54    51    180
   63     770    90    51   323    39    40     82
   64    1136   210   162   263    48    38    201
   65    1138   227   182   214    45    45    210
   66    1648   129    45   192    84    48    115
   67    2563   174    48   143   126    39    150
   68    6049   209    49   116   160    77    183
   69    5382   210    79    79   131    87    188
   70    3192   179    79    34   100    68    152
  103     618   200   158   423    42    58    190
  104     618   200   158   423    42    58    190
  119     660   197   155   423    42    58    187
root@modal:/app# echo '__CMDEND__10__'
__CMDEND__10__
root@modal:/app#
