New Terminal Output:

echo '__CMDEND__2__'
Total frames analyzed: 120

Frame  Pixels      CX      CY  MinY  MaxY  MinX  MaxX    BH    BW
    0       0     0.0     0.0     0     0     0     0     0     0
    1     444   419.4    91.0    12   311    19   953   299   934
    2    1307   449.1   122.4    12   362     0   956   350   956
    3     700   435.0   106.2    25   362     0   956   337   956
    4    2167   409.0   123.4    12   362     0   956   350   956
    5   12935   468.2   121.4     0   520     0   959   520   959
    6   10124   537.7   123.7     0   511     0   959   511   959
    7   13128   509.7   128.3     0   511     0   959   511   959
    8   14294   535.4   128.7     0   513     0   959   513   959
    9   14034   536.9   129.5     0   513     0   959   513   959
   10   14388   534.0   128.7     0   513     0   959   513   959
   11   14660   540.5   128.8     0   513     0   959   513   959
   12   15050   554.1   130.1     0   513     0   959   513   959
   13   15297   547.2   129.6     0   513     0   959   513   959
   14   15825   556.3   129.8     0   513     0   959   513   959
   15   15113   554.0   131.4     0   513     0   959   513   959
   16   15033   552.7   131.4     0   513     0   959   513   959
   17   15356   558.5   130.7     0   513     0   959   513   959
   18   14817   549.9   131.9     0   513     0   959   513   959
   19   15553   544.9   132.9     0   513     0   959   513   959
   20   17076   543.0   134.8     0   513     0   959   513   959
   21   17129   542.3   134.8     0   513     0   959   513   959
   22   17249   541.7   134.4     0   513     0   959   513   959
   23   20671   550.7   136.5     0   520     0   959   520   959
   24   20743   550.8   136.6     0   516     0   959   516   959
   25   20774   552.6   136.6     0   520     0   959   520   959
   26   21277   555.3   137.5     0   520     0   959   520   959
   27   21387   555.8   137.7     0   520     0   959   520   959
   28   21392   553.9   137.8     0   520     0   959   520   959
   29   21762   558.6   137.9     0   520     0   959   520   959
   30   21849   557.4   137.9     0   520     0   959   520   959
   31   21843   557.1   137.9     0   520     0   959   520   959
   32   21868   557.2   137.8     0   520     0   959   520   959
   33   22006   460.6   141.0     0   475     0   959   475   959
   34   23807   411.6   139.3     0   475     0   959   475   959
   35   23930   413.4   138.8     0   475     0   959   475   959
   36   24281   418.4   138.3     0   475     0   959   475   959
   37   24395   420.7   138.1     0   475     0   959   475   959
   38   22761   442.4   138.0     0   509     0   959   509   959
   39   22829   446.6   137.7     0   509     0   959   509   959
   40   22173   433.6   138.6     0   509     0   959   509   959
   41   22407   392.0   141.4     0   487     0   959   487   959
   42   24493   358.6   140.8     0   487     0   959   487   959
   43   24565   358.5   140.6     0   487     0   959   487   959
   44   24666   358.0   140.7     0   487     0   959   487   959
   45   24439   358.4   140.6     0   487     0   959   487   959
   46   24408   358.8   140.7     0   487     0   959   487   959
   47   25528   385.3   147.3     0   487     0   959   487   959
   48   26411   402.4   148.7     0   487     0   959   487   959
   49   31534   481.7   151.6     0   487     0   959   487   959
   50   34018   492.0   157.0     0   487     0   959   487   959
   51   35030   478.6   155.5     0   487     0   959   487   959
   52   37314   481.7   152.6     0   487     0   959   487   959
   53   42575   476.4   150.6     0   515     0   959   515   959
   54   47034   465.3   147.7     0   515     0   959   515   959
   55   46139   451.5   146.2     0   515     0   959   515   959
   56   46407   444.7   143.4     0   515     0   959   515   959
   57   45565   427.0   142.5     0   515     0   959   515   959
