Current Terminal Screen:
0x402df0 NetUpdate
0x40ff78 M_BindChatControls
0x438ce0 W_StdC_Read
0x4278a0 R_GenerateLookup
0x415858 A_CPosRefire
0x41f080 A_ReFire
0x416284 A_StartFire
0x416c74 A_BossDeath
0x434634 WI_drawAnimatedBack
0x410350 M_QuitDOOM
0x43da1c mkdir
0x408c2c G_DoLoadGame
0x407180 wipe_ScreenWipe
0x42a260 R_InitTextureMapping
0x435050 WI_initShowNextLoc
0x410ddc M_SaveSelect
0x426f4c R_ClipPassWallSegment
0x410294 M_SaveGame
0x403274 TryRunTics
0x41d694 P_RespawnSpecials
0x4377f0 W_OpenFile
0x40ad88 HUlib_eraseSText
0x41041c M_DrawMainMenu
0x41fb48 A_BFGSpray
0x40e150 I_PlaySong
0x437fcc W_CacheLumpNum
0x4285ac R_FlatNumForName
0x43d1f8 vfprintf
0x437ec0 W_LumpLength
0x405410 D_ValidEpisodeMap
0x40e128 I_SetMusicVolume
0x439dd4 free
0x40a248 G_DeferedInitNew
0x4108bc M_DrawOptions
0x4132d4 M_StringDuplicate
0x414624 P_SpawnDoorCloseIn30
0x40bd10 I_ShutdownJoystick
root@modal:/app#
