Current Terminal Screen:
SPECIAL3: funct=0x0 shamt=0x10 rs=5 rt=1 rd=6 | instr context
SPECIAL3: funct=0x0 shamt=0x10 rs=6 rt=1 rd=6 | instr context
SPECIAL3: funct=0x0 shamt=0x10 rs=12 rt=14 rd=7 | instr context
SPECIAL3: funct=0x0 shamt=0x10 rs=16 rt=4 rd=7 | instr context
SPECIAL3: funct=0x0 shamt=0x10 rs=19 rt=4 rd=7 | instr context
SPECIAL3: funct=0x0 shamt=0x10 rs=23 rt=4 rd=7 | instr context
SPECIAL3: funct=0x0 shamt=0x11 rs=1 rt=6 rd=0 | instr context
SPECIAL3: funct=0x4 shamt=0xc rs=1 rt=3 rd=12 | instr context
SPECIAL3: funct=0x20 shamt=0x2 rs=0 rt=1 rd=1 | instr context
SPECIAL3: funct=0x20 shamt=0x2 rs=0 rt=2 rd=2 | instr context
SPECIAL3: funct=0x20 shamt=0x2 rs=0 rt=3 rd=3 | instr context
SPECIAL3: funct=0x20 shamt=0x2 rs=0 rt=4 rd=4 | instr context
SPECIAL3: funct=0x20 shamt=0x2 rs=0 rt=5 rd=1 | instr context
SPECIAL3: funct=0x20 shamt=0x2 rs=0 rt=5 rd=5 | instr context
SPECIAL3: funct=0x20 shamt=0x10 rs=0 rt=2 rd=4 | instr context
SPECIAL3: funct=0x20 shamt=0x10 rs=0 rt=2 rd=5 | instr context
SPECIAL3: funct=0x20 shamt=0x10 rs=0 rt=3 rd=1 | instr context
SPECIAL3: funct=0x20 shamt=0x10 rs=0 rt=3 rd=2 | instr context
SPECIAL3: funct=0x20 shamt=0x10 rs=0 rt=3 rd=5 | instr context
SPECIAL3: funct=0x20 shamt=0x10 rs=0 rt=3 rd=6 | instr context
SPECIAL3: funct=0x20 shamt=0x10 rs=0 rt=4 rd=2 | instr context
SPECIAL3: funct=0x20 shamt=0x10 rs=0 rt=5 rd=2 | instr context
SPECIAL3: funct=0x20 shamt=0x10 rs=0 rt=5 rd=3 | instr context
SPECIAL3: funct=0x20 shamt=0x10 rs=0 rt=17 rd=17 | instr context
SPECIAL3: funct=0x20 shamt=0x10 rs=0 rt=18 rd=2 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=1 rd=1 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=1 rd=4 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=2 rd=1 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=2 rd=2 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=2 rd=5 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=3 rd=1 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=4 rd=1 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=4 rd=4 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=5 rd=1 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=16 rd=1 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=17 rd=1 | instr context
SPECIAL3: funct=0x20 shamt=0x18 rs=0 rt=17 rd=5 | instr context
root@modal:/app#
