New Terminal Output:

[10M instrs, 23.1 MIPS, PC=0x43907c]
[15M instrs, 27.8 MIPS, PC=0x439088]
[20M instrs, 28.7 MIPS, PC=0x439070]
[25M instrs, 27.8 MIPS, PC=0x439000]
Saved: /tmp/frame.bmp (1024054 bytes)
[30M instrs, 29.6 MIPS, PC=0x43908c]
[35M instrs, 31.8 MIPS, PC=0x439074]
[40M instrs, 32.3 MIPS, PC=0x4390ac]
[45M instrs, 32.1 MIPS, PC=0x439034]
[50M instrs, 32.3 MIPS, PC=0x43908c]
[55M instrs, 32.5 MIPS, PC=0x439074]
[60M instrs, 32.3 MIPS, PC=0x439008]
[65M instrs, 32.5 MIPS, PC=0x439084]
[70M instrs, 32.3 MIPS, PC=0x439080]
[75M instrs, 31.4 MIPS, PC=0x439078]
[80M instrs, 32.3 MIPS, PC=0x4390b0]
[85M instrs, 32.1 MIPS, PC=0x43905c]
[90M instrs, 31.6 MIPS, PC=0x439088]
[95M instrs, 32.5 MIPS, PC=0x43903c]
[100M instrs, 32.5 MIPS, PC=0x439070]
[105M instrs, 32.5 MIPS, PC=0x43907c]
Saved: /tmp/frame.bmp (1024054 bytes)
[110M instrs, 30.3 MIPS, PC=0x439070]
[115M instrs, 31.8 MIPS, PC=0x43907c]
[120M instrs, 32.3 MIPS, PC=0x439088]
[125M instrs, 32.1 MIPS, PC=0x439080]
[130M instrs, 32.5 MIPS, PC=0x43908c]
[135M instrs, 32.3 MIPS, PC=0x43901c]
[140M instrs, 32.1 MIPS, PC=0x439074]
[145M instrs, 32.3 MIPS, PC=0x439080]
[150M instrs, 32.3 MIPS, PC=0x438fec]
[155M instrs, 31.6 MIPS, PC=0x439084]
[160M instrs, 32.3 MIPS, PC=0x439094]

