New Terminal Output:
root@b47b8696-56f3-4565-89a1-0c6cf4efd2bd:/app# export PAGER=cat GIT_PAGER=cat MANPAGER=cat LESS='-F -X'
root@b47b8696-56f3-4565-89a1-0c6cf4efd2bd:/app# python3 -c "
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
> print('FPS:', cap.get(cv2.CAP_PROP_FPS))
> print('Frame count:', int(cap.get(cv2.CAP_PROP_FRAME_COUNT)))
> print('Width:', int(cap.get(cv2.CAP_PROP_FRAME_WIDTH)))
> print('Height:', int(cap.get(cv2.CAP_PROP_FRAME_HEIGHT)))
>
> # Read first frame as background
> ret, bg_frame = cap.read()
> if ret:
>     bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY)
>     print('First frame shape:', bg_frame.shape)
>     cv2.imwrite('/app/frame_000.png', bg_frame)
>
> # Analyze all frames - compute difference from background
> cap.set(cv2.CAP_PROP_POS_FRAMES, 0)
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>
> frame_diffs = []
> frame_idx = 0
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>     diff = np.abs(gray - bg_gray)
>     frame_diffs.append(np.mean(diff))
>     frame_idx += 1
>
> print('Total frames analyzed:', len(frame_diffs))
> for i, d in enumerate(frame_diffs):
>     print(f'Frame {i+1}: diff={d:.2f}')
>
> cap.release()
> "
FPS: 30.0
Frame count: 120
Width: 960
Height: 540
First frame shape: (540, 960, 3)
Total frames analyzed: 119
Frame 1: diff=1.44
Frame 2: diff=1.95
Frame 3: diff=1.84
Frame 4: diff=2.10
Frame 5: diff=4.78
Frame 6: diff=4.32
Frame 7: diff=4.70
Frame 8: diff=4.82
Frame 9: diff=4.79
Frame 10: diff=4.82
Frame 11: diff=4.87
Frame 12: diff=4.92
Frame 13: diff=4.92
Frame 14: diff=4.98
Frame 15: diff=4.91
Frame 16: diff=4.89
Frame 17: diff=4.93
Frame 18: diff=4.87
Frame 19: diff=4.92
Frame 20: diff=5.12
Frame 21: diff=5.12
Frame 22: diff=5.13
Frame 23: diff=5.49
Frame 24: diff=5.50
Frame 25: diff=5.50
Frame 26: diff=5.56
Frame 27: diff=5.58
Frame 28: diff=5.60
Frame 29: diff=5.64
Frame 30: diff=5.65
Frame 31: diff=5.65
Frame 32: diff=5.66
Frame 33: diff=5.64
Frame 34: diff=5.80
Frame 35: diff=5.82
Frame 36: diff=5.87
Frame 37: diff=5.89
Frame 38: diff=5.75
Frame 39: diff=5.76
Frame 40: diff=5.69
Frame 41: diff=5.71
Frame 42: diff=5.98
Frame 43: diff=5.99
Frame 44: diff=6.01
Frame 45: diff=6.01
Frame 46: diff=6.03
Frame 47: diff=6.19
Frame 48: diff=6.34
Frame 49: diff=6.97
Frame 50: diff=7.27
Frame 51: diff=7.37
Frame 52: diff=7.76
Frame 53: diff=8.50
Frame 54: diff=9.12
Frame 55: diff=8.99
Frame 56: diff=9.18
Frame 57: diff=9.13
Frame 58: diff=8.94
Frame 59: diff=9.08
Frame 60: diff=9.20
Frame 61: diff=9.34
Frame 62: diff=9.67
Frame 63: diff=9.92
Frame 64: diff=10.37
Frame 65: diff=10.46
Frame 66: diff=10.79
Frame 67: diff=11.01
Frame 68: diff=11.30
Frame 69: diff=11.31
Frame 70: diff=11.01
Frame 71: diff=9.41
Frame 72: diff=8.70
Frame 73: diff=8.81
Frame 74: diff=8.96
Frame 75: diff=8.93
Frame 76: diff=8.89
Frame 77: diff=8.51
Frame 78: diff=8.68
Frame 79: diff=9.28
Frame 80: diff=9.39
Frame 81: diff=9.45
Frame 82: diff=9.48
Frame 83: diff=9.59
Frame 84: diff=10.71
Frame 85: diff=11.80
Frame 86: diff=12.40
Frame 87: diff=13.26
Frame 88: diff=13.96
Frame 89: diff=14.04
Frame 90: diff=15.29
Frame 91: diff=16.17
Frame 92: diff=16.15
Frame 93: diff=16.17
Frame 94: diff=16.24
Frame 95: diff=16.42
Frame 96: diff=16.79
Frame 97: diff=16.98
Frame 98: diff=17.02
Frame 99: diff=17.02
Frame 100: diff=17.03
Frame 101: diff=17.01
Frame 102: diff=17.06
Frame 103: diff=17.71
Frame 104: diff=17.56
Frame 105: diff=17.12
Frame 106: diff=16.37
Frame 107: diff=16.44
Frame 108: diff=17.76
Frame 109: diff=16.69
Frame 110: diff=19.40
Frame 111: diff=19.99
Frame 112: diff=19.02
Frame 113: diff=17.78
Frame 114: diff=13.45
Frame 115: diff=12.99
Frame 116: diff=14.87
Frame 117: diff=14.98
Frame 118: diff=13.55
Frame 119: diff=14.88
root@b47b8696-56f3-4565-89a1-0c6cf4efd2bd:/app#
