New Terminal Output:

Frame     X     Y     W     H  BotY    Area NCont
   47   923   242    37    87   329    1196     1
   48   913   212    47    56   268     987     2
   49   868    52    92   261   313    5498     3
   50   849   175    93   153   328    5772     4
   51   812   221    55   107   328    2825     5
   52   753    57   113   265   322    8856     2
   53   703    56   123   181   237    7924     4
   54   649    74   151   215   289    9066     4
   55   587    41   135   166   207    6048     4
   56   503    41   191   164   205    8323     3
   57   483    41   165   163   204    8556     2
   58   457   139   152    73   212    3832     2
   59   459    42   108   163   205    6672     3
   60   406    41   127   220   261    8638     2
   61   356   123   123   216   339    6262     2
   62   327   115   104   251   366    8009     3
   63   277    49    90   234   283    9008     2
   64   284   110    47   170   280    3924     6
   65   190   180    99   104   284    3466     5
   66   167    43    47   137   180    3630     4
   67   117    45   122   262   307   10906     3
   68    80    47    78   317   364   12960     1
   69    28    61    94   262   323   13268     2
   70     0    64    77   128   192    6172     3
   71     0   212    38    54   266    1546     3
   72    61   311    16    27   338     336     1
   73    32   288    19    24   312     331     1
root@b47b8696-56f3-4565-89a1-0c6cf4efd2bd:/app#
