New Terminal Output:

root@b47b8696-56f3-4565-89a1-0c6cf4efd2bd:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>
> # For each frame, find the foreground blob and track its bounding box
> data = []
> frame_num = 0
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>     frame_num += 1
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>     diff = np.abs(gray - bg_gray)
>
>     # Threshold to get foreground mask
>     mask = (diff > 25).astype(np.uint8) * 255
>
>     # Morphological operations to clean up
>     kernel = np.ones((5,5), np.uint8)
>     mask = cv2.morphologyEx(mask, cv2.MORPH_CLOSE, kernel)
>     mask = cv2.morphologyEx(mask, cv2.MORPH_OPEN, kernel)
>
>     # Find contours
>     contours, _ = cv2.findContours(mask, cv2.RETR_EXTERNAL, cv2.CHAIN_APPROX_SIMPLE)
>
>     if contours:
>         # Get the largest contour (the athlete)
>         largest = max(contours, key=cv2.contourArea)
>         area = cv2.contourArea(largest)
>         x, y, w, h = cv2.boundingRect(largest)
>
>         # Bottom of bounding box = feet position
>         bottom_y = y + h
>         top_y = y
>         center_y = y + h // 2
>         center_x = x + w // 2
>
>         data.append({
>             'frame': frame_num,
>             'x': x, 'y': y, 'w': w, 'h': h,
>             'bottom_y': bottom_y, 'top_y': top_y,
>             'center_x': center_x, 'center_y': center_y,
>             'area': area
>         })
>     else:
>         data.append({'frame': frame_num, 'area': 0})
>
> cap.release()
>
> # Print tracking data
> print(f"{'Frame':>5} {'X':>5} {'Y':>5} {'W':>5} {'H':>5} {'Bottom':>7} {'Top':>5} {'CtrX':>5} {'CtrY':>5} {'Area':>7}")
> for d in data:
>     if d['area'] > 0:
>         print(f"{d['frame']:>5} {d['x']:>5} {d['y']:>5} {d['w']:>5} {d['h']:>5} {d['bottom_y']:>7} {d['top_y']:>5} {d['center_x']:>5} {d['center_y']:>5} {d['a
rea']:>7}")
>     else:
>         print(f"{d['frame']:>5} -- no detection --")
> PYEOF
Frame     X     Y     W     H  Bottom   Top  CtrX  CtrY    Area
    1   538    58    11     7      65    58   543    61    54.5
    2   502    65     7    15      80    65   505    72    76.5
    3   538    58    11     7      65    58   543    61    54.5
    4   176   138    16    15     153   138   184   145   156.5
    5   240    36   121   113     149    36   300    92  5249.5
    6   240    46   121   103     149    46   300    97  4258.5
    7   240    46   121   103     149    46   300    97  4984.0
    8   240    46   121   103     149    46   300    97  4989.5
    9   240    46   121   103     149    46   300    97  4678.0
   10   240    46   121   103     149    46   300    97  4989.5
   11   240    46   121   103     149    46   300    97  4916.0
   12   492    36   282    64     100    36   633    68  5717.0
   13   240    46   121   103     149    46   300    97  4877.0
   14   482    36   292    64     100    36   628    68  6172.5
   15   492    36   282    64     100    36   633    68  5703.0
   16   492    36   282    64     100    36   633    68  5677.5
   17   492    36   282    64     100    36   633    68  5815.0
   18   240    46   121   103     149    46   300    97  4684.5
   19   482    36   292    64     100    36   628    68  6452.0
   20   482    36   292    64     100    36   628    68  6493.0
   21   482    36   292    64     100    36   628    68  6462.0
   22   482    36   298    64     100    36   631    68  6660.5
   23   482    27   298    73     100    27   631    63  7237.0
   24   482    27   298    73     100    27   631    63  7240.5
   25   482    27   298    73     100    27   631    63  7174.5
   26   482    27   298    73     100    27   631    63  7260.5
   27   482    27   298    73     100    27   631    63  7257.0
   28   482    27   298    73     100    27   631    63  7249.0
   29   482    27   298    73     100    27   631    63  7316.5
   30   482    27   298    73     100    27   631    63  7329.0
   31   482    27   298    73     100    27   631    63  7329.0
   32   482    27   298    73     100    27   631    63  7363.5
   33   264    66    98   140     206    66   313   136  5198.0
   34     0    49   157   104     153    49    78   101 10620.0
   35     0    49   157   104     153    49    78   101 10635.0
   36     0    49   157   104     153    49    78   101 10646.0
   37     0    37   157   116     153    37    78    95 11188.0
   38     0    49   157   105     154    49    78   101 10440.5
   39     0    49   157   105     154    49    78   101 10440.5
   40     0    49   157   105     154    49    78   101 10483.5
   41     0    45   157   108     153    45    78    99  9763.5
   42     0    37   156   117     154    37    78    95  9992.5
   43   238    34   187   180     214    34   331   124 10895.0
   44   238    34   187   180     214    34   331   124 10736.0
   45   238    34   187   180     214    34   331   124 10906.0
   46   238    34   187   180     214    34   331   124 10677.0
   47   238    34   187   180     214    34   331   124 10758.0
