New Terminal Output:
'
root@a1f3550d-ba97-422c-b650-ab53ace966e6:/app# readelf -s doomgeneric_mips | grep -i 'DG_\|ScreenBuffer\|writeBMP\|DrawFrame\|drawk\|frame'
    12: 00000000     0 SECTION LOCAL  DEFAULT   12 .debug_frame
    99: 0047a9a0     4 OBJECT  LOCAL  DEFAULT    6 frameon
   102: 0047a9a8    16 OBJECT  LOCAL  DEFAULT    6 frameskip
   595: 004395b0    52 FUNC    GLOBAL DEFAULT    3 DG_Init
   741: 0048ac9c     4 OBJECT  GLOBAL DEFAULT    6 framecount
   785: 00439848    20 FUNC    GLOBAL DEFAULT    3 DG_GetTicksMs
   835: 004397bc   140 FUNC    GLOBAL DEFAULT    3 DG_SleepMs
   861: 0043985c     8 FUNC    GLOBAL DEFAULT    3 DG_GetKey
  1085: 004b0a40     4 OBJECT  GLOBAL DEFAULT    6 DG_ScreenBuffer
  1107: 00439864    36 FUNC    GLOBAL DEFAULT    3 DG_SetWindowTitle
  1142: 004aba40     4 OBJECT  GLOBAL DEFAULT    6 maxframe
  1292: 004b0a50     4 OBJECT  GLOBAL DEFAULT    6 drawk
  1314: 004395e4   472 FUNC    GLOBAL DEFAULT    3 DG_DrawFrame
  1356: 004392a4     8 FUNC    GLOBAL DEFAULT    3 I_StartFrame
  1742: 0042aa78   276 FUNC    GLOBAL DEFAULT    3 R_SetupFrame
  1772: 0047b320     4 OBJECT  GLOBAL DEFAULT    6 castframes
root@a1f3550d-ba97-422c-b650-ab53ace966e6:/app# readelf -s doomgeneric_mips | grep -i 'main\|__start\|_start'
    62: 00466754     4 OBJECT  LOCAL  DEFAULT    5 AM_Start.lastlevel
    63: 00466758     4 OBJECT  LOCAL  DEFAULT    5 AM_Start.lastepisode
   103: 00000000     0 FILE    LOCAL  DEFAULT  ABS d_main.c
   124: 0047b334     4 OBJECT  LOCAL  DEFAULT    6 wipe_scr_start
   232: 0047c954     4 OBJECT  LOCAL  DEFAULT    6 default_main_config
   304: 00000000     0 FILE    LOCAL  DEFAULT  ABS r_main.c
   431: 00000000     0 FILE    LOCAL  DEFAULT  ABS w_main.c
   515: 00405b50   328 FUNC    GLOBAL DEFAULT    3 F_StartFinale
   544: 0043233c   708 FUNC    GLOBAL DEFAULT    3 S_StartSound
   606: 00411220    60 FUNC    GLOBAL DEFAULT    3 M_StartMessage
   680: 00431dd8    76 FUNC    GLOBAL DEFAULT    3 ST_Start
   736: 0042565c   188 FUNC    GLOBAL DEFAULT    3 P_StartButton
   766: 00472228   120 OBJECT  GLOBAL DEFAULT    5 MainMenu
   779: 004392ac    28 FUNC    GLOBAL DEFAULT    3 I_StartTic
   783: 00405ef0   188 FUNC    GLOBAL DEFAULT    3 F_StartCast
   855: 0043203c   260 FUNC    GLOBAL DEFAULT    3 S_Start
   888: 0040e0f8     8 FUNC    GLOBAL DEFAULT    3 I_StartSound
   981: 004375c4   188 FUNC    GLOBAL DEFAULT    3 WI_Start
  1082: 004031f4    56 FUNC    GLOBAL DEFAULT    3 D_StartNetGame
  1119: 00411548    64 FUNC    GLOBAL DEFAULT    3 M_StartControlPanel
  1127: 004722a0    24 OBJECT  GLOBAL DEFAULT    5 MainDef
  1177: 00400110    36 FUNC    GLOBAL DEFAULT    3 __start
  1207: 0040b138   716 FUNC    GLOBAL DEFAULT    3 HU_Start
  1261: 004329b8    28 FUNC    GLOBAL DEFAULT    3 S_StartMusic
  1356: 004392a4     8 FUNC    GLOBAL DEFAULT    3 I_StartFrame
  1442: 0047cbe8     4 OBJECT  GLOBAL DEFAULT    6 main_e
  1449: 00403164   144 FUNC    GLOBAL DEFAULT    3 D_StartGameLoop
  1452: 004750a0     0 NOTYPE  GLOBAL DEFAULT    6 __bss_start
  1460: 00439888    32 FUNC    GLOBAL DEFAULT    3 main
  1489: 004042fc    36 FUNC    GLOBAL DEFAULT    3 D_StartTitle
  1675: 0047a9c0     4 OBJECT  GLOBAL DEFAULT    6 main_loop_started
  1739: 00419718   144 FUNC    GLOBAL DEFAULT    3 EV_StartLightStrobing
  1763: 00404708  3136 FUNC    GLOBAL DEFAULT    3 D_DoomMain
  1913: 004070c0    56 FUNC    GLOBAL DEFAULT    3 wipe_StartScreen
  1924: 004b05d0     4 OBJECT  GLOBAL DEFAULT    6 mainzone
  1937: 00400b54   184 FUNC    GLOBAL DEFAULT    3 AM_Start
  1973: 00416284    48 FUNC    GLOBAL DEFAULT    3 A_StartFire
  1998: 0041041c    52 FUNC    GLOBAL DEFAULT    3 M_DrawMainMenu
root@a1f3550d-ba97-422c-b650-ab53ace966e6:/app# readelf -s doomgeneric_mips | head -20

Symbol table '.symtab' contains 2029 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND
     1: 004000d8     0 SECTION LOCAL  DEFAULT    1 .MIPS.abiflags
     2: 004000f0     0 SECTION LOCAL  DEFAULT    2 .reginfo
     3: 00400110     0 SECTION LOCAL  DEFAULT    3 .text
     4: 0043dce0     0 SECTION LOCAL  DEFAULT    4 .rodata
     5: 00466520     0 SECTION LOCAL  DEFAULT    5 .data
     6: 004750c0     0 SECTION LOCAL  DEFAULT    6 .bss
     7: 00000000     0 SECTION LOCAL  DEFAULT    7 .comment
     8: 00000000     0 SECTION LOCAL  DEFAULT    8 .pdr
     9: 00000000     0 SECTION LOCAL  DEFAULT    9 .debug_info
    10: 00000000     0 SECTION LOCAL  DEFAULT   10 .debug_abbrev
    11: 00000000     0 SECTION LOCAL  DEFAULT   11 .debug_line
    12: 00000000     0 SECTION LOCAL  DEFAULT   12 .debug_frame
    13: 00000000     0 SECTION LOCAL  DEFAULT   13 .debug_str
    14: 00000000     0 SECTION LOCAL  DEFAULT   14 .debug_addr
    15: 00000000     0 SECTION LOCAL  DEFAULT   15 .debug_line_str
    16: 00000000     0 SECTION LOCAL  DEFAULT   16 .debug_loclists
root@a1f3550d-ba97-422c-b650-ab53ace966e6:/app#
