New Terminal Output:

root@15e9ba57-5c48-4408-b1c6-a4bf29a46409:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
>
> # Read first frame as background
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
> bg_gray = cv2.GaussianBlur(bg_gray, (11, 11), 0)
>
> height = int(cap.get(cv2.CAP_PROP_FRAME_HEIGHT))  # 540
> width = int(cap.get(cv2.CAP_PROP_FRAME_WIDTH))    # 960
>
> # Define ground region - bottom portion of the frame where feet would be
> # From the data, when running, bottom_y is around 330-370
> # Let's look at a strip from y=280 to y=400 (the ground/track area)
> ground_strip_top = 280
> ground_strip_bot = 400
>
> frame_data = []
>
> cap.set(cv2.CAP_PROP_POS_FRAMES, 0)
> frame_idx = 0
>
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>     gray_blur = cv2.GaussianBlur(gray, (11, 11), 0)
>
>     diff = cv2.absdiff(bg_gray, gray_blur)
>     _, thresh = cv2.threshold(diff.astype(np.uint8), 25, 255, cv2.THRESH_BINARY)
>
>     # Morphological operations
>     kernel = cv2.getStructuringElement(cv2.MORPH_ELLIPSE, (5, 5))
>     thresh = cv2.morphologyEx(thresh, cv2.MORPH_OPEN, kernel, iterations=1)
>     thresh = cv2.dilate(thresh, kernel, iterations=1)
>
>     # Total foreground
>     total_fg = np.sum(thresh > 0)
>
>     # Foreground in ground strip
>     ground_strip = thresh[ground_strip_top:ground_strip_bot, :]
>     ground_fg = np.sum(ground_strip > 0)
>
>     # Find the lowest foreground pixel (highest y = closest to bottom)
>     fg_rows = np.where(thresh > 0)[0]
>     if len(fg_rows) > 0:
>         max_y_fg = np.max(fg_rows)
>         min_y_fg = np.min(fg_rows)
>         # Bottom 10% of foreground pixels
>         sorted_rows = np.sort(fg_rows)[::-1]  # descending
>         bottom_10pct = sorted_rows[:max(1, len(sorted_rows)//10)]
>         avg_bottom = np.mean(bottom_10pct)
>     else:
>         max_y_fg = 0
>         min_y_fg = 0
>         avg_bottom = 0
>
>     frame_data.append({
>         'frame': frame_idx,
>         'total_fg': total_fg,
>         'ground_fg': ground_fg,
>         'max_y_fg': max_y_fg,
>         'min_y_fg': min_y_fg,
>         'avg_bottom': avg_bottom
>     })
>
>     frame_idx += 1
>
> cap.release()
>
> print(f"{'Frame':>5} {'TotalFG':>8} {'GrndFG':>8} {'MaxY':>5} {'MinY':>5} {'AvgBot':>7}")
> for d in frame_data:
>     if d['total_fg'] > 100:
>         print(f"{d['frame']:>5} {d['total_fg']:>8} {d['ground_fg']:>8} {d['max_y_fg']:>5} {d['min_y_fg']:>5} {d['avg_bottom']:>7.1f}")
> PYEOF
Frame  TotalFG   GrndFG  MaxY  MinY  AvgBot
   47     1606     1077   329   239   326.7
   48     3013     1256   336    75   331.9
   49    10049     1681   352    49   336.4
   50    12969     2490   363    56   342.1
   51    11384     2222   364    53   349.0
   52    13510     2152   364    54   340.5
   53    15241     1896   362    52   327.1
   54    14539     1309   343    43   304.3
   55    11920      591   312    37   281.7
   56    12958        0   276    37   250.4
   57    11668        0   237    38   217.7
   58    10714        0   238    39   218.2
   59    11005        0   272    40   252.9
   60    11455      790   308    39   287.2
   61    11108     1533   348    40   321.3
   62    12517     2111   370    43   343.4
   63    13454     2017   370    48   342.4
   64    13847     1821   370    51   334.9
   65    10991     2007   365    50   332.8
   66    12615     2467   335    42   313.7
   67    16048     3270   345    43   320.5
   68    17048     3646   365    44   339.9
   69    17036     3346   366    60   338.3
   70    14397     2314   366    62   339.8
   71     5435     1728   366    64   353.0
   72     1795     1485   353    64   344.2
   73     1228     1108   323    64   316.7
   74      614      173   288    64   285.2
   75      120        0    79    64    77.6
   76      120        0    79    64    77.6
   77      120        0    79    64    77.6
   78      129        0    80    64    78.6
   79      129        0    80    64    78.6
   80      129        0    80    64    78.6
   81      129        0    80    64    78.6
   82      148        0    81    64    79.5
   83      138        0    81    64    79.5
   84      161        0    82    63    80.4
   85      204        0    82    25    80.1
   86      214        0    82    25    80.0
   87      214        0    82    24    80.0
   88      289        0    83    24    80.6
   89      356        0    83    14    80.3
   90     1096        0   104     0   101.8
   91     2045        0   104     0   101.8
   92     2018        0   104     0   101.8
   93     2073        0   104     0   101.8
   94     2291        0   157     0   114.7
   95     2381        0   157     0   116.1
   96     3580        0   158     0   117.4
   97     4534        0   158     0   153.4
   98     4502        0   158     0   153.4
   99     4556        0   158     0   153.4
  100     4556        0   158     0   153.4
  101     5394        0   158     0   153.7
  102     4777        0   158     0   153.1
  103     7876        0   244     0   181.2
  104     7666        0   209     0   158.1
  105     4891        0   158     0   153.4
  106     3632        0   158     0   117.4
  107     6479        0   204     0   158.8
  108     8756        0   243     0   175.0
  109     5004        0   166     0   105.8
  110    14537        0   244     0   190.1
  111    19672        0   244     0   199.3
  112    13026        0   243     0   195.7
  113    11924        0   242     0   192.7
  114     6273        0   209     0   180.9
  115     5045        0   204     2   172.8
  116     6933        0   241     2   179.9
  117     4837        0   241     4   173.2
  118     1490        0   155    13   120.0
  119     7834        0   242     0   174.4
root@15e9ba57-5c48-4408-b1c6-a4bf29a46409:/app#
