New Terminal Output:

root@1015bc2f-18d4-4ede-8487-2f0b70f0ec70:/app# ls /dev/sd* /dev/vd* /dev/xvd* /dev/nvme* 2>/dev/null
 /dev/nvme-fabrics   /dev/nvme0n1     /dev/nvme0n1p2   /dev/nvme0n1p4   /dev/nvme1     /dev/nvme1n1p1   /dev/nvme1n1p3   /dev/nvme2     /dev/nvme3
 /dev/nvme0          /dev/nvme0n1p1   /dev/nvme0n1p3   /dev/nvme0n1p5   /dev/nvme1n1   /dev/nvme1n1p2   /dev/nvme1n1p4   /dev/nvme2n1   /dev/nvme3n1
root@1015bc2f-18d4-4ede-8487-2f0b70f0ec70:/app# lsblk 2>/dev/null
NAME        MAJ:MIN RM   SIZE RO TYPE MOUNTPOINTS
nvme2n1     259:0    0     7T  0 disk
nvme0n1     259:1    0 894.3G  0 disk
├─nvme0n1p1 259:7    0   511M  0 part
├─nvme0n1p2 259:8    0     1G  0 part
├─nvme0n1p3 259:9    0 892.3G  0 part
├─nvme0n1p4 259:10   0   512M  0 part
└─nvme0n1p5 259:11   0     2M  0 part
nvme1n1     259:2    0 894.3G  0 disk
├─nvme1n1p1 259:3    0   511M  0 part
├─nvme1n1p2 259:4    0     1G  0 part
├─nvme1n1p3 259:5    0 892.3G  0 part
└─nvme1n1p4 259:6    0   512M  0 part
nvme3n1     259:12   0     7T  0 disk
root@1015bc2f-18d4-4ede-8487-2f0b70f0ec70:/app# cat /proc/partitions 2>/dev/null
major minor  #blocks  name

 259        0 7501465944 nvme2n1
 259        1  937692504 nvme0n1
 259        7     523264 nvme0n1p1
 259        8    1048576 nvme0n1p2
 259        9  935592960 nvme0n1p3
 259       10     524288 nvme0n1p4
 259       11       2031 nvme0n1p5
 259        2  937692504 nvme1n1
 259        3     523264 nvme1n1p1
 259        4    1048576 nvme1n1p2
 259        5  935592960 nvme1n1p3
 259        6     524288 nvme1n1p4
   9        2    1046528 md2
 259       12 7501465944 nvme3n1
   9        3  935460864 md3
   9        0 7501333824 md0
root@1015bc2f-18d4-4ede-8487-2f0b70f0ec70:/app#
