New Terminal Output:

root@67da611d-6f74-4e87-bee6-c0bcdb1b82a5:/app# python3 -c "
> import numpy as np
> from scipy.optimize import curve_fit
> from scipy.signal import find_peaks
>
> x_data = []
> y_data = []
> with open('/app/graphene.dat', 'r') as f:
>     for line in f:
>         line = line.strip()
>         if not line: continue
>         parts = line.split()
>         x_val = float(parts[0].replace(',', '.'))
>         y_val = float(parts[1].replace(',', '.'))
>         x_data.append(x_val)
>         y_data.append(y_val)
> x_data = np.array(x_data)
> y_data = np.array(y_data)
> sort_idx = np.argsort(x_data)
> x_data = x_data[sort_idx]
> y_data = y_data[sort_idx]
>
> # Find Rayleigh peak (max intensity)
> rayleigh_idx = np.argmax(y_data)
> rayleigh_x = x_data[rayleigh_idx]
> print(f'Rayleigh peak at x={rayleigh_x:.2f}')
>
> # Convert to Raman shift
> raman_shift = rayleigh_x - x_data
>
> # Now look for peaks in Raman shift space
> # G peak should be at ~1580 cm-1, 2D at ~2700 cm-1
> # Since x increases, raman_shift decreases (negative shifts at high x, positive at low x)
> # We want positive Raman shifts (Stokes side)
> stokes_mask = raman_shift > 0
> rs = raman_shift[stokes_mask]
> ys = y_data[stokes_mask]
>
> # Sort by Raman shift
> sort2 = np.argsort(rs)
> rs = rs[sort2]
> ys = ys[sort2]
>
> # Find peaks
> peaks, props = find_peaks(ys, height=500, prominence=200, distance=5)
> print('\nPeaks in Raman shift space:')
> for p in peaks:
>     print(f'  shift={rs[p]:.2f} cm-1, y={ys[p]:.2f}')
>
> # Look specifically at G and 2D regions
> for name, smin, smax in [('G region', 1400, 1700), ('2D region', 2500, 2900)]:
>     mask = (rs >= smin) & (rs <= smax)
>     if mask.sum() > 0:
>         r = rs[mask]
>         y = ys[mask]
>         pidx = np.argmax(y)
>         print(f'\n{name}: {mask.sum()} pts, peak at shift={r[pidx]:.2f}, y={y[pidx]:.2f}')
>     else:
>         print(f'\n{name}: no data')
> "
Rayleigh peak at x=19139.54

Peaks in Raman shift space:
  shift=2893.96 cm-1, y=18159.87
  shift=3418.26 cm-1, y=16443.83
  shift=5725.26 cm-1, y=13107.38
  shift=5948.52 cm-1, y=12832.92
