New Terminal Output:

root@a0978511-2ca2-4ef6-8380-a096d5b32273:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
> frames = []
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>     frames.append(cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY).astype(float))
> cap.release()
>
> # Use consecutive frame differencing
> print('Frame | cx    | cy    | bot | top | pixels | bot95')
> for i in range(1, len(frames)):
>     diff = np.abs(frames[i] - frames[i-1])
>     mask = (diff > 15).astype(np.uint8)
>
>     # Clean up
>     kernel = np.ones((3,3), np.uint8)
>     mask = cv2.morphologyEx(mask, cv2.MORPH_OPEN, kernel)
>     mask = cv2.morphologyEx(mask, cv2.MORPH_CLOSE, kernel)
>
>     # Only consider track area
>     mask[:80, :] = 0
>     mask[420:, :] = 0
>
>     motion_pixels = np.sum(mask)
>     if motion_pixels > 30:
>         ys, xs = np.where(mask > 0)
>         cx = np.mean(xs)
>         cy = np.mean(ys)
>         bot = np.max(ys)
>         top = np.min(ys)
>         # 95th percentile of y values (to be more robust)
>         bot95 = int(np.percentile(ys, 95))
>         print(f'{i:5d} | {cx:5.1f} | {cy:5.1f} | {bot:3d} | {top:3d} | {motion_pixels:6d} | {bot95:3d}')
> PYEOF
Frame | cx    | cy    | bot | top | pixels | bot95
    5 | 313.2 | 137.1 | 388 |  80 |   3334 | 265
    6 |  69.1 | 121.7 | 140 | 101 |    282 | 140
   33 | 330.6 | 199.4 | 344 |  81 |   1298 | 316
   47 | 947.7 | 290.2 | 328 | 229 |   1300 | 325
   48 | 928.8 | 258.8 | 335 |  80 |   4185 | 329
   49 | 918.6 | 217.2 | 358 |  80 |  10680 | 341
   50 | 903.4 | 204.4 | 360 |  80 |  15522 | 340
   51 | 876.4 | 202.3 | 358 |  80 |  16904 | 299
   52 | 832.1 | 196.4 | 359 |  80 |  17771 | 309
   53 | 790.1 | 191.3 | 360 |  80 |  19561 | 324
   54 | 751.1 | 189.6 | 359 |  80 |  20615 | 316
   55 | 702.9 | 178.4 | 341 |  80 |  18212 | 294
   56 | 654.1 | 172.1 | 310 |  80 |  17610 | 268
   57 | 612.8 | 161.0 | 274 |  80 |  16540 | 243
   58 | 567.7 | 160.2 | 239 |  80 |  14330 | 223
   59 | 516.5 | 163.3 | 270 |  80 |  13814 | 248
   60 | 471.6 | 167.7 | 308 |  80 |  13184 | 284
   61 | 438.1 | 177.8 | 346 |  80 |  14744 | 310
   62 | 394.2 | 191.7 | 366 |  80 |  14978 | 339
   63 | 355.5 | 188.7 | 365 |  80 |  16514 | 304
   64 | 314.4 | 197.1 | 366 |  80 |  17598 | 326
   65 | 278.3 | 208.4 | 366 |  80 |  17799 | 332
   66 | 230.5 | 211.9 | 363 |  80 |  17870 | 321
   67 | 185.9 | 206.7 | 347 |  80 |  19212 | 320
   68 | 144.5 | 201.2 | 363 |  80 |  21654 | 328
   69 | 101.3 | 198.1 | 356 |  80 |  22285 | 299
   70 |  61.7 | 197.1 | 363 |  80 |  19426 | 307
   71 |  43.2 | 210.9 | 364 |  80 |  13141 | 339
   72 |  34.3 | 259.8 | 364 | 116 |   5479 | 349
   73 |  43.7 | 302.1 | 352 | 240 |   2043 | 339
   74 |  30.7 | 292.8 | 322 | 264 |   1385 | 316
   75 |  10.9 | 276.7 | 288 | 264 |    420 | 286
   77 | 274.6 | 136.6 | 344 |  80 |    511 | 230
   84 | 464.3 | 158.8 | 342 |  80 |    292 | 261
   85 |  93.6 | 123.8 | 140 | 112 |     71 | 140
   87 | 345.8 | 195.8 | 276 | 108 |     39 | 276
   88 | 124.4 | 113.4 | 126 |  81 |     54 | 126
   90 | 412.5 | 164.6 | 381 |  80 |   3135 | 343
   91 | 270.7 | 111.4 | 150 |  80 |    219 | 149
  103 | 452.0 | 185.6 | 398 |  80 |   4368 | 344
  105 | 519.4 | 149.3 | 277 |  80 |   3321 | 263
  106 | 234.1 | 123.6 | 174 |  89 |    144 | 172
  107 | 358.6 | 135.1 | 318 |  80 |   4944 | 230
  108 | 450.1 | 159.6 | 361 |  80 |   7357 | 231
  109 | 480.3 | 186.1 | 419 |  80 |  31555 | 349
  110 | 472.8 | 192.0 | 419 |  80 |  34365 | 349
  111 | 478.3 | 156.9 | 238 |  80 |  14077 | 226
  112 | 300.5 | 164.2 | 383 |  80 |   8795 | 341
  113 | 436.8 | 170.7 | 398 |  80 |   8184 | 346
  114 | 460.3 | 188.1 | 417 |  80 |  29206 | 349
  115 | 454.2 | 171.0 | 388 |  80 |  18807 | 339
  116 | 394.1 | 149.8 | 396 |  80 |   9863 | 228
  117 | 400.7 | 133.9 | 344 |  80 |   1993 | 198
  118 | 479.2 | 166.8 | 419 |  80 |  38575 | 258
  119 | 490.9 | 184.9 | 419 |  80 |  49823 | 345
root@a0978511-2ca2-4ef6-8380-a096d5b32273:/app#
