New Terminal Output:

Total frames: 120
Saved all frames
Frame   0: total_diff=           0, max_diff=     0, no motion
Frame   1: total_diff=      748874, max_diff=    47, bbox=(12,19)-(311,953), height=299, width=934
Frame   2: total_diff=     1011372, max_diff=    57, bbox=(12,0)-(362,956), height=350, width=956
Frame   3: total_diff=      952818, max_diff=    50, bbox=(25,0)-(362,956), height=337, width=956
Frame   4: total_diff=     1086791, max_diff=    73, bbox=(12,0)-(362,956), height=350, width=956
Frame   5: total_diff=     2478418, max_diff=    81, bbox=(0,0)-(520,959), height=520, width=959
Frame   6: total_diff=     2237612, max_diff=    79, bbox=(0,0)-(511,959), height=511, width=959
Frame   7: total_diff=     2435271, max_diff=    93, bbox=(0,0)-(511,959), height=511, width=959
Frame   8: total_diff=     2498436, max_diff=    93, bbox=(0,0)-(513,959), height=513, width=959
Frame   9: total_diff=     2482424, max_diff=    81, bbox=(0,0)-(513,959), height=513, width=959
Frame  10: total_diff=     2498697, max_diff=    93, bbox=(0,0)-(513,959), height=513, width=959
Frame  11: total_diff=     2524784, max_diff=    93, bbox=(0,0)-(513,959), height=513, width=959
Frame  12: total_diff=     2549784, max_diff=    85, bbox=(0,0)-(513,959), height=513, width=959
Frame  13: total_diff=     2553102, max_diff=    93, bbox=(0,0)-(513,959), height=513, width=959
Frame  14: total_diff=     2581661, max_diff=    94, bbox=(0,0)-(513,959), height=513, width=959
Frame  15: total_diff=     2545497, max_diff=    94, bbox=(0,0)-(513,959), height=513, width=959
Frame  16: total_diff=     2535853, max_diff=    89, bbox=(0,0)-(513,959), height=513, width=959
Frame  17: total_diff=     2554251, max_diff=    94, bbox=(0,0)-(513,959), height=513, width=959
Frame  18: total_diff=     2526230, max_diff=    83, bbox=(0,0)-(513,959), height=513, width=959
Frame  19: total_diff=     2553065, max_diff=    85, bbox=(0,0)-(513,959), height=513, width=959
Frame  20: total_diff=     2653678, max_diff=    94, bbox=(0,0)-(513,959), height=513, width=959
Frame  21: total_diff=     2656498, max_diff=    94, bbox=(0,0)-(513,959), height=513, width=959
Frame  22: total_diff=     2661690, max_diff=    95, bbox=(0,0)-(513,959), height=513, width=959
