Current Terminal Screen:
0043d988: 00806025
0043d98c: 2d610002
0043d990: 10200010
0043d994: 00000000
0043d998: 240c0001
0043d99c: 240d0000
0043d9a0: 01801025
0043d9a4: 01602025
0043d9a8: 01402825
0043d9ac: 00603025
0043d9b0: 01a03825
0043d9b4: 01a04025
0043d9b8: 01a04825
0043d9bc: 0000000c
0043d9c0: 00401825
0043d9c4: 04610013
0043d9c8: 00000000
0043d9cc: 0810f681
0043d9d0: 00000000
0043d9d4: 240d0000
0043d9d8: 01801025
0043d9dc: 01602025
0043d9e0: 01402825
0043d9e4: 00603025
0043d9e8: 01a03825
0043d9ec: 01a04025
0043d9f0: 01a04825
0043d9f4: 0000000c
0043d9f8: 00401825
0043d9fc: 04610005
0043da00: 00000000
0043da04: 00030823
0043da08: 3c02004b
0043da0c: 2403ffff
0043da10: ac410a80
0043da14: 03e00008
0043da18: 00601025
root@feb7347d-9eaa-46c6-9044-4c8a45fe786f:/app#
