New Terminal Output:

root@5b0797f4-1d5f-44d5-be7c-07b246682558:/app# python3 << 'EOF'
> import cv2
> import numpy as np
> import os
>
> os.makedirs('/app/frames', exist_ok=True)
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
>
> # Read first frame as background
> ret, bg_frame = cap.read()
> cv2.imwrite('/app/frames/frame_000.png', bg_frame)
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>
> cap.set(cv2.CAP_PROP_POS_FRAMES, 0)
>
> # For each frame, compute diff from background and track athlete position
> frame_idx = 0
> metrics = []
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>     diff = np.abs(gray - bg_gray)
>
>     # Threshold to find athlete pixels
>     mask = (diff > 30).astype(np.uint8)
>
>     # Find bounding box of athlete
>     ys, xs = np.where(mask > 0)
>     if len(ys) > 0:
>         top = np.min(ys)
>         bottom = np.max(ys)
>         left = np.min(xs)
>         right = np.max(xs)
>         cx = (left + right) / 2
>         cy = (top + bottom) / 2
>         area = len(ys)
>         height = bottom - top
>         width = right - left
>     else:
>         top = bottom = left = right = cx = cy = 0
>         area = 0
>         height = 0
>         width = 0
>
>     metrics.append({
>         'frame': frame_idx,
>         'area': area,
>         'top': top,
>         'bottom': bottom,
>         'left': left,
>         'right': right,
>         'cx': cx,
>         'cy': cy,
>         'height': height,
>         'width': width
>     })
>
>     # Save every 5th frame and the diff
>     if frame_idx % 5 == 0:
>         cv2.imwrite(f'/app/frames/frame_{frame_idx:03d}.png', frame)
>         cv2.imwrite(f'/app/frames/diff_{frame_idx:03d}.png', (diff * 3).clip(0, 255).astype(np.uint8))
>         cv2.imwrite(f'/app/frames/mask_{frame_idx:03d}.png', mask * 255)
>
>     frame_idx += 1
>
> cap.release()
>
> # Print metrics
> print(f"{'Frame':>5} {'Area':>7} {'Top':>5} {'Bottom':>6} {'Left':>5} {'Right':>5} {'CX':>6} {'CY':>6} {'Height':>6} {'Width':>5}")
> for m in metrics:
>     print(f"{m['frame']:5d} {m['area']:7d} {m['top']:5.0f} {m['bottom']:6.0f} {m['left']:5.0f} {m['right']:5.0f} {m['cx']:6.1f} {m['cy']:6.1f} {m['height']:6.
0f} {m['width']:5.0f}")
> EOF
Frame    Area   Top Bottom  Left Right     CX     CY Height Width
    0       0     0      0     0     0    0.0    0.0      0     0
    1     444    12    311    19   953  486.0  161.5    299   934
    2    1307    12    362     0   956  478.0  187.0    350   956
    3     700    25    362     0   956  478.0  193.5    337   956
    4    2167    12    362     0   956  478.0  187.0    350   956
    5   12935     0    520     0   959  479.5  260.0    520   959
    6   10124     0    511     0   959  479.5  255.5    511   959
    7   13128     0    511     0   959  479.5  255.5    511   959
    8   14294     0    513     0   959  479.5  256.5    513   959
    9   14034     0    513     0   959  479.5  256.5    513   959
   10   14388     0    513     0   959  479.5  256.5    513   959
   11   14660     0    513     0   959  479.5  256.5    513   959
   12   15050     0    513     0   959  479.5  256.5    513   959
   13   15297     0    513     0   959  479.5  256.5    513   959
   14   15825     0    513     0   959  479.5  256.5    513   959
   15   15113     0    513     0   959  479.5  256.5    513   959
   16   15033     0    513     0   959  479.5  256.5    513   959
   17   15356     0    513     0   959  479.5  256.5    513   959
   18   14817     0    513     0   959  479.5  256.5    513   959
   19   15553     0    513     0   959  479.5  256.5    513   959
   20   17076     0    513     0   959  479.5  256.5    513   959
   21   17129     0    513     0   959  479.5  256.5    513   959
   22   17249     0    513     0   959  479.5  256.5    513   959
   23   20671     0    520     0   959  479.5  260.0    520   959
   24   20743     0    516     0   959  479.5  258.0    516   959
   25   20774     0    520     0   959  479.5  260.0    520   959
   26   21277     0    520     0   959  479.5  260.0    520   959
   27   21387     0    520     0   959  479.5  260.0    520   959
   28   21392     0    520     0   959  479.5  260.0    520   959
   29   21762     0    520     0   959  479.5  260.0    520   959
   30   21849     0    520     0   959  479.5  260.0    520   959
   31   21843     0    520     0   959  479.5  260.0    520   959
   32   21868     0    520     0   959  479.5  260.0    520   959
   33   22006     0    475     0   959  479.5  237.5    475   959
   34   23807     0    475     0   959  479.5  237.5    475   959
   35   23930     0    475     0   959  479.5  237.5    475   959
   36   24281     0    475     0   959  479.5  237.5    475   959
   37   24395     0    475     0   959  479.5  237.5    475   959
   38   22761     0    509     0   959  479.5  254.5    509   959
   39   22829     0    509     0   959  479.5  254.5    509   959
   40   22173     0    509     0   959  479.5  254.5    509   959
   41   22407     0    487     0   959  479.5  243.5    487   959
