Current Terminal Screen:
  Frame 104: cx= 422.2 cy= 162.7 top=151 bot=173 area=  444 w= 60 h= 22
  Frame 119: cx= 756.2 cy= 157.6 top=148 bot=172 area=  492 w= 58 h= 24

Found 1 sequences
  Seq 0: frames 47-74, length=27

Main sequence: frames 47-74

cy_baseline = 238.7
Frame | cy_smooth | elevation
   47  |  153.7    |   84.9
   49  |  222.4    |   16.3
   50  |  225.4    |   13.3
   51  |  253.0    |  -14.3
   52  |  226.0    |   12.7
   53  |  196.2    |   42.5
   54  |  165.6    |   73.1
   55  |  180.5    |   58.2
   56  |  178.6    |   60.1
   57  |  178.1    |   60.6
   58  |  177.7    |   61.0
   59  |  162.3    |   76.4
   60  |  196.8    |   41.9
   61  |  231.4    |    7.3
   62  |  237.1    |    1.6
   63  |  219.9    |   18.7
   64  |  215.4    |   23.3
   65  |  196.8    |   41.8
   66  |  206.5    |   32.1
   67  |  164.0    |   74.7
   68  |  180.2    |   58.4
   69  |  168.6    |   70.1
   70  |  210.1    |   28.6
   71  |  271.4    |  -32.7
   72  |  295.2    |  -56.5
   73  |  301.8    |  -63.1
   74  |  192.3    |   46.4
root@5b0797f4-1d5f-44d5-be7c-07b246682558:/app#
