Current Terminal Screen:
>     if 45 <= i <= 75:
>         print(f"  {i:3d}  | {len(ys_f):5d} | {bot95:5.1f} | {bot90:5.1f} | {cx_med:6.1f} | {cy_med:6.1f}")
>
> PYEOF
Frame | npix  | bot95 | bot90 | cx_med | cy_med
   45  |  5150 | 249.0 | 232.0 |  336.0 |  171.0
   46  |  5120 | 249.0 | 232.0 |  336.0 |  171.0
   47  |  5046 | 249.0 | 231.0 |  352.0 |  171.0
   48  |  5052 | 236.0 | 226.0 |  377.0 |  170.0
   49  |  4177 | 297.6 | 225.0 |  468.0 |  173.0
   50  |  3850 | 262.5 | 225.0 |  503.0 |  174.0
   51  |  4254 | 253.0 | 224.0 |  494.0 |  173.0
   52  |  4255 | 272.0 | 225.0 |  504.0 |  174.0
   53  |  5327 | 309.7 | 230.0 |  502.0 |  175.0
   54  |  6389 | 310.0 | 233.0 |  494.0 |  175.0
   55  |  7083 | 312.9 | 240.0 |  478.0 |  180.0
   56  |  8177 | 312.0 | 235.0 |  477.0 |  179.0
   57  |  9068 | 312.6 | 244.0 |  445.0 |  179.0
   58  |  9875 | 312.0 | 237.0 |  421.0 |  180.0
   59  | 11689 | 291.0 | 258.0 |  412.5 |  180.0
   60  | 12896 | 303.0 | 285.0 |  408.0 |  176.0
   61  | 13007 | 328.0 | 301.0 |  387.0 |  184.0
   62  | 13838 | 345.0 | 315.0 |  373.0 |  188.0
   63  | 14696 | 347.0 | 316.0 |  356.0 |  187.0
   64  | 15497 | 344.0 | 314.0 |  342.0 |  191.0
   65  | 13080 | 341.0 | 316.0 |  337.0 |  200.0
   66  | 11817 | 329.0 | 314.0 |  336.0 |  184.0
   67  | 10926 | 319.0 | 308.0 |  324.0 |  185.0
   68  |  9719 | 324.1 | 293.0 |  325.0 |  184.0
   69  |  9657 | 332.0 | 312.0 |  322.0 |  185.0
   70  |  9961 | 345.0 | 312.0 |  329.0 |  183.0
   71  |  8677 | 290.2 | 248.0 |  353.0 |  176.0
   72  |  7793 | 233.0 | 225.0 |  372.0 |  169.0
   73  |  7967 | 233.0 | 224.0 |  383.0 |  168.0
   74  |  8360 | 233.0 | 224.0 |  387.0 |  168.0
   75  |  8574 | 234.0 | 225.0 |  391.0 |  168.0
root@5b0797f4-1d5f-44d5-be7c-07b246682558:/app#
