New Terminal Output:

root@f0506736-0949-47f3-bb30-c9f891a2f184:/app# python3 -c "
> import struct
> with open('doomgeneric_mips', 'rb') as f:
>     # Read the text segment
>     f.seek(0)  # Text segment at offset 0
>     data = f.read()
>     # MIPS syscall instruction is 0x0000000c in little-endian
>     count = 0
>     for i in range(0, len(data)-3, 4):
>         word = struct.unpack_from('<I', data, i)[0]
>         if word == 0x0000000c:
>             # This is a syscall instruction
>             vaddr = 0x400000 + i  # approximate
>             print(f'syscall at file offset 0x{i:x} (approx vaddr 0x{vaddr:x})')
>             count += 1
>             if count > 20:
>                 break
> " 2>&1 | head -30
syscall at file offset 0x3a774 (approx vaddr 0x43a774)
syscall at file offset 0x3a7e0 (approx vaddr 0x43a7e0)
syscall at file offset 0x3a848 (approx vaddr 0x43a848)
syscall at file offset 0x3a8d8 (approx vaddr 0x43a8d8)
syscall at file offset 0x3aa44 (approx vaddr 0x43aa44)
syscall at file offset 0x3aae4 (approx vaddr 0x43aae4)
syscall at file offset 0x3ab3c (approx vaddr 0x43ab3c)
syscall at file offset 0x3ab90 (approx vaddr 0x43ab90)
syscall at file offset 0x3acb4 (approx vaddr 0x43acb4)
syscall at file offset 0x3adf0 (approx vaddr 0x43adf0)
syscall at file offset 0x3b360 (approx vaddr 0x43b360)
syscall at file offset 0x3b718 (approx vaddr 0x43b718)
syscall at file offset 0x3b7d4 (approx vaddr 0x43b7d4)
syscall at file offset 0x3b95c (approx vaddr 0x43b95c)
syscall at file offset 0x3ba74 (approx vaddr 0x43ba74)
syscall at file offset 0x3bb30 (approx vaddr 0x43bb30)
syscall at file offset 0x3bc70 (approx vaddr 0x43bc70)
syscall at file offset 0x3bd28 (approx vaddr 0x43bd28)
syscall at file offset 0x3c004 (approx vaddr 0x43c004)
syscall at file offset 0x3c05c (approx vaddr 0x43c05c)
syscall at file offset 0x3c19c (approx vaddr 0x43c19c)
root@f0506736-0949-47f3-bb30-c9f891a2f184:/app#
