New Terminal Output:

[1]+  Done                    python3 /app/steal.py > /tmp/steal_output.log 2>&1
  Direction 87: norm=0.051359, count=1
  Direction 88: norm=0.061318, count=1
  Direction 89: norm=0.052430, count=1
  Direction 90: norm=0.020862, count=1
  Direction 91: norm=0.014914, count=1
  Direction 92: norm=0.023138, count=1
  Direction 93: norm=0.021780, count=1
  Direction 94: norm=0.085866, count=1
  Direction 95: norm=0.045900, count=1
  Direction 96: norm=0.051219, count=1
  Direction 97: norm=0.054263, count=1
  Direction 98: norm=0.019333, count=1
  Direction 99: norm=0.046612, count=1
  Direction 100: norm=0.060446, count=1
  Direction 101: norm=0.006161, count=1
  Direction 102: norm=0.059113, count=1

Selected 20 final directions
Stolen A1 shape: (20, 10)
Saved to /app/stolen_A1.npy
root@db326051-7fb0-4308-ba81-c0b564c77486:/app# cat /tmp/steal_output.log; ps aux | grep steal
Attempt 200, found 103 unique directions
  High confidence (seen >=2 times): 29

Total unique directions found: 103
  Direction 0: norm=0.042394, count=69
  Direction 1: norm=0.022605, count=61
  Direction 2: norm=0.020761, count=71
  Direction 3: norm=0.022537, count=79
  Direction 4: norm=0.013809, count=69
  Direction 5: norm=0.063190, count=58
  Direction 6: norm=0.046150, count=65
  Direction 7: norm=0.022871, count=67
  Direction 8: norm=0.016775, count=68
  Direction 9: norm=0.035452, count=3
  Direction 10: norm=0.059890, count=56
  Direction 11: norm=0.001170, count=58
  Direction 12: norm=0.005292, count=61
  Direction 13: norm=0.008573, count=63
  Direction 14: norm=0.006134, count=56
  Direction 15: norm=0.063882, count=1
  Direction 16: norm=0.021733, count=1
  Direction 17: norm=0.016221, count=64
  Direction 18: norm=0.051756, count=67
  Direction 19: norm=0.015288, count=61
  Direction 20: norm=0.004458, count=50
  Direction 21: norm=0.036775, count=62
  Direction 22: norm=0.008246, count=60
  Direction 23: norm=0.040649, count=1
  Direction 24: norm=0.046810, count=1
  Direction 25: norm=0.011820, count=1
  Direction 26: norm=0.026662, count=1
  Direction 27: norm=0.012306, count=1
  Direction 28: norm=0.059131, count=2
  Direction 29: norm=0.058766, count=3
  Direction 30: norm=0.058886, count=1
  Direction 31: norm=0.042955, count=1
  Direction 32: norm=0.081623, count=1
  Direction 33: norm=0.067596, count=1
  Direction 34: norm=0.054956, count=1
  Direction 35: norm=0.014344, count=1
  Direction 36: norm=0.072454, count=1
  Direction 37: norm=0.030230, count=2
  Direction 38: norm=0.072478, count=2
  Direction 39: norm=0.063570, count=1
  Direction 40: norm=0.016047, count=1
  Direction 41: norm=0.014079, count=1
  Direction 42: norm=0.023095, count=1
  Direction 43: norm=0.061255, count=1
  Direction 44: norm=0.031295, count=1
  Direction 45: norm=0.045915, count=1
  Direction 46: norm=0.051768, count=1
  Direction 47: norm=0.022826, count=1
  Direction 48: norm=0.052353, count=1
  Direction 49: norm=0.008106, count=2
  Direction 50: norm=0.047735, count=1
  Direction 51: norm=0.010616, count=1
  Direction 52: norm=0.041806, count=1
  Direction 53: norm=0.047944, count=1
  Direction 54: norm=0.020198, count=1
  Direction 55: norm=0.056441, count=1
  Direction 56: norm=0.023551, count=2
  Direction 57: norm=0.016573, count=1
  Direction 58: norm=0.018651, count=1
  Direction 59: norm=0.065578, count=1
  Direction 60: norm=0.014344, count=1
  Direction 61: norm=0.057648, count=1
  Direction 62: norm=0.015833, count=1
  Direction 63: norm=0.023507, count=1
  Direction 64: norm=0.021171, count=1
  Direction 65: norm=0.016694, count=1
  Direction 66: norm=0.045074, count=1
  Direction 67: norm=0.024553, count=1
  Direction 68: norm=0.087723, count=1
  Direction 69: norm=0.006201, count=2
  Direction 70: norm=0.021922, count=1
  Direction 71: norm=0.008830, count=1
  Direction 72: norm=0.072465, count=1
  Direction 73: norm=0.059071, count=1
  Direction 74: norm=0.023427, count=1
  Direction 75: norm=0.026331, count=1
  Direction 76: norm=0.036901, count=1
  Direction 77: norm=0.015116, count=1
  Direction 78: norm=0.074787, count=2
  Direction 79: norm=0.069514, count=1
  Direction 80: norm=0.042230, count=1
  Direction 81: norm=0.056142, count=1
  Direction 82: norm=0.043612, count=1
  Direction 83: norm=0.062650, count=1
  Direction 84: norm=0.059575, count=1
  Direction 85: norm=0.029667, count=1
  Direction 86: norm=0.033414, count=1
  Direction 87: norm=0.051359, count=1
  Direction 88: norm=0.061318, count=1
  Direction 89: norm=0.052430, count=1
  Direction 90: norm=0.020862, count=1
  Direction 91: norm=0.014914, count=1
  Direction 92: norm=0.023138, count=1
  Direction 93: norm=0.021780, count=1
  Direction 94: norm=0.085866, count=1
  Direction 95: norm=0.045900, count=1
  Direction 96: norm=0.051219, count=1
  Direction 97: norm=0.054263, count=1
  Direction 98: norm=0.019333, count=1
  Direction 99: norm=0.046612, count=1
  Direction 100: norm=0.060446, count=1
  Direction 101: norm=0.006161, count=1
  Direction 102: norm=0.059113, count=1

Selected 20 final directions
Stolen A1 shape: (20, 10)
Saved to /app/stolen_A1.npy
bash: ps: command not found
root@db326051-7fb0-4308-ba81-c0b564c77486:/app#
root@db326051-7fb0-4308-ba81-c0b564c77486:/app#
