Current Terminal Screen:
  abs=20144.18  shift=-1004.6  y=15190.00
  abs=20250.67  shift=-1111.1  y=14352.19
  abs=20358.34  shift=-1218.8  y=13783.70
  abs=20467.19  shift=-1327.6  y=13238.31
  abs=20577.25  shift=-1437.7  y=12982.82
  abs=20688.54  shift=-1549.0  y=12812.78
  abs=20801.08  shift=-1661.5  y=12670.75
  abs=20914.89  shift=-1775.3  y=12557.29
  abs=21029.99  shift=-1890.4  y=12385.38
  abs=21146.40  shift=-2006.9  y=12443.70
  abs=21264.15  shift=-2124.6  y=12286.15
  abs=21383.26  shift=-2243.7  y=12430.00
  abs=21503.76  shift=-2364.2  y=12210.63
  abs=21625.66  shift=-2486.1  y=12463.45
  abs=21748.99  shift=-2609.5  y=12330.58
  abs=21873.78  shift=-2734.2  y=12597.19
  abs=22000.06  shift=-2860.5  y=12627.41
  abs=22127.84  shift=-2988.3  y=12863.08
  abs=22257.17  shift=-3117.6  y=12978.51
  abs=22388.06  shift=-3248.5  y=13250.68
  abs=22520.54  shift=-3381.0  y=13547.32
  abs=22654.65  shift=-3515.1  y=13832.51
  abs=22790.41  shift=-3650.9  y=14129.64
  abs=22927.85  shift=-3788.3  y=14385.32
  abs=23067.01  shift=-3927.5  y=14453.27
  abs=23207.92  shift=-4068.4  y=14588.58
  abs=23350.61  shift=-4211.1  y=14669.95
  abs=23495.12  shift=-4355.6  y=14590.95
  abs=23641.47  shift=-4501.9  y=14777.80
  abs=23789.72  shift=-4650.2  y=14618.11
  abs=23939.88  shift=-4800.3  y=14876.86
  abs=24092.00  shift=-4952.5  y=14746.20
  abs=24246.13  shift=-5106.6  y=15024.15
  abs=24402.29  shift=-5262.8  y=15091.12
  abs=24560.53  shift=-5421.0  y=14990.31
  abs=24720.89  shift=-5581.4  y=15111.17
  abs=24883.42  shift=-5743.9  y=15124.81
root@a573c2c6-1440-467c-b702-5d96ded989ce:/app#
