New Terminal Output:

root@d741271a-5563-41a3-9c2f-3f89cec4e36b:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
>
> # Read first frame as background
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY)
>
> # Save first frame for inspection
> cv2.imwrite('/app/frame_000.png', bg_frame)
>
> # Analyze each frame
> frame_idx = 0
> cap.set(cv2.CAP_PROP_POS_FRAMES, 0)
>
> results = []
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY)
>
>     # Compute difference from background
>     diff = cv2.absdiff(gray, bg_gray)
>     _, thresh = cv2.threshold(diff, 30, 255, cv2.THRESH_BINARY)
>
>     # Find non-zero pixels (moving object)
>     nz = np.nonzero(thresh)
>     if len(nz[0]) > 0:
>         min_y = np.min(nz[0])
>         max_y = np.max(nz[0])
>         min_x = np.min(nz[1])
>         max_x = np.max(nz[1])
>         area = len(nz[0])
>         centroid_y = np.mean(nz[0])
>         centroid_x = np.mean(nz[1])
>         results.append((frame_idx, min_y, max_y, min_x, max_x, area, centroid_y, centroid_x))
>     else:
>         results.append((frame_idx, -1, -1, -1, -1, 0, -1, -1))
>
>     # Save some frames for inspection
>     if frame_idx % 10 == 0 or frame_idx in range(120):
>         pass  # we'll save select frames
>
>     frame_idx += 1
>
> cap.release()
>
> print(f"{'Frame':>5} {'MinY':>5} {'MaxY':>5} {'MinX':>5} {'MaxX':>5} {'Area':>7} {'CentY':>7} {'CentX':>7}")
> for r in results:
>     print(f"{r[0]:5d} {r[1]:5d} {r[2]:5d} {r[3]:5d} {r[4]:5d} {r[5]:7d} {r[6]:7.1f} {r[7]:7.1f}")
> PYEOF
Frame  MinY  MaxY  MinX  MaxX    Area   CentY   CentX
    0    -1    -1    -1    -1       0    -1.0    -1.0
    1    12   311    19   953     444    91.0   419.4
    2    12   362     0   956    1307   122.4   449.1
    3    25   362     0   956     700   106.2   435.0
    4    12   362     0   956    2167   123.4   409.0
    5     0   520     0   959   12935   121.4   468.2
    6     0   511     0   959   10124   123.7   537.7
    7     0   511     0   959   13128   128.3   509.7
    8     0   513     0   959   14294   128.7   535.4
    9     0   513     0   959   14034   129.5   536.9
   10     0   513     0   959   14388   128.7   534.0
   11     0   513     0   959   14660   128.8   540.5
   12     0   513     0   959   15050   130.1   554.1
   13     0   513     0   959   15297   129.6   547.2
   14     0   513     0   959   15825   129.8   556.3
   15     0   513     0   959   15113   131.4   554.0
   16     0   513     0   959   15033   131.4   552.7
   17     0   513     0   959   15356   130.7   558.5
   18     0   513     0   959   14817   131.9   549.9
   19     0   513     0   959   15553   132.9   544.9
   20     0   513     0   959   17076   134.8   543.0
   21     0   513     0   959   17129   134.8   542.3
   22     0   513     0   959   17249   134.4   541.7
   23     0   520     0   959   20671   136.5   550.7
   24     0   516     0   959   20743   136.6   550.8
   25     0   520     0   959   20774   136.6   552.6
   26     0   520     0   959   21277   137.5   555.3
   27     0   520     0   959   21387   137.7   555.8
   28     0   520     0   959   21392   137.8   553.9
   29     0   520     0   959   21762   137.9   558.6
   30     0   520     0   959   21849   137.9   557.4
   31     0   520     0   959   21843   137.9   557.1
   32     0   520     0   959   21868   137.8   557.2
   33     0   475     0   959   22006   141.0   460.6
   34     0   475     0   959   23807   139.3   411.6
   35     0   475     0   959   23930   138.8   413.4
   36     0   475     0   959   24281   138.3   418.4
   37     0   475     0   959   24395   138.1   420.7
   38     0   509     0   959   22761   138.0   442.4
   39     0   509     0   959   22829   137.7   446.6
   40     0   509     0   959   22173   138.6   433.6
   41     0   487     0   959   22407   141.4   392.0
   42     0   487     0   959   24493   140.8   358.6
