New Terminal Output:

root@d741271a-5563-41a3-9c2f-3f89cec4e36b:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY)
>
> cap.set(cv2.CAP_PROP_POS_FRAMES, 0)
>
> frame_idx = 0
> print(f"{'Frame':>5} {'BotY':>5} {'TopY':>5} {'LeftX':>5} {'RightX':>6} {'Area':>7} {'W':>4} {'H':>4}")
>
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY)
>     diff = cv2.absdiff(gray, bg_gray)
>
>     # Higher threshold to focus on strong differences
>     _, thresh = cv2.threshold(diff, 40, 255, cv2.THRESH_BINARY)
>
>     kernel = np.ones((7, 7), np.uint8)
>     thresh = cv2.morphologyEx(thresh, cv2.MORPH_OPEN, kernel)
>     thresh = cv2.morphologyEx(thresh, cv2.MORPH_CLOSE, kernel)
>
>     contours, _ = cv2.findContours(thresh, cv2.RETR_EXTERNAL, cv2.CHAIN_APPROX_SIMPLE)
>
>     if contours:
>         # Use largest contour only
>         largest = max(contours, key=cv2.contourArea)
>         area = cv2.contourArea(largest)
>         if area > 300:
>             x, y, w, h = cv2.boundingRect(largest)
>             bot_y = y + h
>             top_y = y
>             print(f"{frame_idx:5d} {bot_y:5d} {top_y:5d} {x:5d} {x+w:6d} {area:7.0f} {w:4d} {h:4d}")
>         else:
>             print(f"{frame_idx:5d}   ---   ---   ---    --- {area:7.0f}  ---  ---")
>     else:
>         print(f"{frame_idx:5d}   ---   ---   ---    ---       0  ---  ---")
>
>     frame_idx += 1
>
> cap.release()
> PYEOF
Frame  BotY  TopY LeftX RightX    Area    W    H
    0   ---   ---   ---    ---       0  ---  ---
    1   ---   ---   ---    ---       0  ---  ---
    2   ---   ---   ---    ---       0  ---  ---
    3   ---   ---   ---    ---       0  ---  ---
    4   ---   ---   ---    ---       0  ---  ---
    5   ---   ---   ---    ---       0  ---  ---
    6   ---   ---   ---    ---       0  ---  ---
    7   ---   ---   ---    ---       0  ---  ---
    8   ---   ---   ---    ---       0  ---  ---
    9   ---   ---   ---    ---       0  ---  ---
   10   ---   ---   ---    ---       0  ---  ---
   11   ---   ---   ---    ---       0  ---  ---
   12   ---   ---   ---    ---       0  ---  ---
   13   ---   ---   ---    ---       0  ---  ---
   14   ---   ---   ---    ---       0  ---  ---
   15   ---   ---   ---    ---       0  ---  ---
   16   ---   ---   ---    ---       0  ---  ---
   17   ---   ---   ---    ---       0  ---  ---
   18   ---   ---   ---    ---       0  ---  ---
   19   ---   ---   ---    ---       0  ---  ---
   20   ---   ---   ---    ---       0  ---  ---
   21   ---   ---   ---    ---       0  ---  ---
   22   ---   ---   ---    ---       0  ---  ---
   23   ---   ---   ---    ---       0  ---  ---
   24   ---   ---   ---    ---       0  ---  ---
   25   ---   ---   ---    ---       0  ---  ---
   26   ---   ---   ---    ---       0  ---  ---
   27   ---   ---   ---    ---       0  ---  ---
   28   ---   ---   ---    ---       0  ---  ---
   29   ---   ---   ---    ---       0  ---  ---
   30   ---   ---   ---    ---       0  ---  ---
   31   ---   ---   ---    ---       0  ---  ---
   32   ---   ---   ---    ---       0  ---  ---
   33   ---   ---   ---    ---       0  ---  ---
   34   ---   ---   ---    ---       0  ---  ---
   35   ---   ---   ---    ---       0  ---  ---
   36   ---   ---   ---    ---       0  ---  ---
   37   ---   ---   ---    ---       0  ---  ---
   38   ---   ---   ---    ---       0  ---  ---
   39   ---   ---   ---    ---       0  ---  ---
   40   ---   ---   ---    ---       0  ---  ---
   41   ---   ---   ---    ---       0  ---  ---
   42   ---   ---   ---    ---       0  ---  ---
   43   ---   ---   ---    ---       0  ---  ---
   44   ---   ---   ---    ---       0  ---  ---
   45   ---   ---   ---    ---       0  ---  ---
   46   ---   ---   ---    ---       0  ---  ---
   47   327   311   922    960     391   38   16
   48   334   319   868    903     356   35   15
   49   219   179   926    960     522   34   40
   50   216   182   902    942     617   40   34
   51   319   262   820    850     832   30   57
   52   291   253   803    841     708   38   38
   53   301   255   784    818     482   34   46
   54   125   100   728    760     420   32   25
   55   ---   ---   ---    ---     299  ---  ---
   56   139    88   591    649    1373   58   51
   57   152    89   574    623    1645   49   63
   58    72    44   512    542     418   30   28
   59   129    43   461    511    1306   50   86
   60   198   153   502    524     672   22   45
   61   100    44   376    419    1024   43   56
   62   183   165   378    427     806   49   18
   63    90    51   303    342     647   39   39
   64   210   167   244    281     968   37   43
   65   216   182   192    236    1072   44   34
   66   105    46   169    210    1084   41   59
   67   114    48   126    156    1265   30   66
   68   114    49    81    134    1712   53   65
   69   277   217    53    113    1812   60   60
   70   285   218     0     71    1828   71   67
   71   ---   ---   ---    ---     291  ---  ---
   72   ---   ---   ---    ---     242  ---  ---
   73   ---   ---   ---    ---     268  ---  ---
   74   ---   ---   ---    ---      62  ---  ---
   75   ---   ---   ---    ---       0  ---  ---
   76   ---   ---   ---    ---       0  ---  ---
   77   ---   ---   ---    ---       0  ---  ---
   78   ---   ---   ---    ---       0  ---  ---
   79   ---   ---   ---    ---       0  ---  ---
   80   ---   ---   ---    ---       0  ---  ---
   81   ---   ---   ---    ---       0  ---  ---
   82   ---   ---   ---    ---       0  ---  ---
   83   ---   ---   ---    ---       0  ---  ---
   84   ---   ---   ---    ---       0  ---  ---
   85   ---   ---   ---    ---       0  ---  ---
   86   ---   ---   ---    ---       0  ---  ---
   87   ---   ---   ---    ---       0  ---  ---
   88   ---   ---   ---    ---       0  ---  ---
   89   ---   ---   ---    ---       0  ---  ---
   90   ---   ---   ---    ---       0  ---  ---
   91   ---   ---   ---    ---       0  ---  ---
   92   ---   ---   ---    ---       0  ---  ---
   93   ---   ---   ---    ---       0  ---  ---
   94   ---   ---   ---    ---       0  ---  ---
   95   ---   ---   ---    ---       0  ---  ---
   96   ---   ---   ---    ---       0  ---  ---
   97   ---   ---   ---    ---       0  ---  ---
   98   ---   ---   ---    ---       0  ---  ---
   99   ---   ---   ---    ---       0  ---  ---
  100   ---   ---   ---    ---       0  ---  ---
  101   ---   ---   ---    ---       0  ---  ---
  102   ---   ---   ---    ---       0  ---  ---
  103   ---   ---   ---    ---       0  ---  ---
  104   ---   ---   ---    ---       0  ---  ---
  105   ---   ---   ---    ---       0  ---  ---
  106   ---   ---   ---    ---       0  ---  ---
  107   ---   ---   ---    ---       0  ---  ---
  108   ---   ---   ---    ---       0  ---  ---
  109   ---   ---   ---    ---       0  ---  ---
  110   ---   ---   ---    ---       0  ---  ---
