New Terminal Output:

root@d741271a-5563-41a3-9c2f-3f89cec4e36b:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY)
>
> cap.set(cv2.CAP_PROP_POS_FRAMES, 0)
>
> frame_idx = 0
> results = []
>
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY)
>     diff = cv2.absdiff(gray, bg_gray)
>
>     # Use moderate threshold
>     _, thresh = cv2.threshold(diff, 30, 255, cv2.THRESH_BINARY)
>
>     # Morphological cleanup
>     kernel = np.ones((5, 5), np.uint8)
>     thresh = cv2.morphologyEx(thresh, cv2.MORPH_OPEN, kernel)
>     thresh = cv2.morphologyEx(thresh, cv2.MORPH_CLOSE, kernel)
>
>     # Find all foreground pixels
>     ys, xs = np.nonzero(thresh)
>
>     if len(ys) > 100:  # minimum pixel count
>         # Find centroid
>         cx = int(np.mean(xs))
>         cy = int(np.mean(ys))
>
>         # Filter to pixels within 150px of centroid horizontally
>         mask = np.abs(xs - cx) < 150
>         local_ys = ys[mask]
>         local_xs = xs[mask]
>
>         if len(local_ys) > 50:
>             # Bottom of athlete (feet) = max y in local region
>             bot_y = int(np.percentile(local_ys, 98))  # 98th percentile to avoid outliers
>             top_y = int(np.percentile(local_ys, 2))   # 2nd percentile
>             local_cx = int(np.mean(local_xs))
>             local_cy = int(np.mean(local_ys))
>             results.append((frame_idx, bot_y, top_y, local_cx, local_cy, len(local_ys)))
>         else:
>             results.append((frame_idx, None, None, None, None, 0))
>     else:
>         results.append((frame_idx, None, None, None, None, 0))
>
>     frame_idx += 1
>
> cap.release()
>
> print(f"{'Frame':>5} {'BotY':>5} {'TopY':>5} {'CentX':>6} {'CentY':>6} {'Pixels':>7}")
> for f, by, ty, cx, cy, n in results:
>     if by is not None:
>         print(f"{f:5d} {by:5d} {ty:5d} {cx:6d} {cy:6d} {n:7d}")
>     else:
>         print(f"{f:5d}   ---   ---    ---    ---       {n}")
> PYEOF
Frame  BotY  TopY  CentX  CentY  Pixels
    0   ---   ---    ---    ---       0
    1   ---   ---    ---    ---       0
    2   ---   ---    ---    ---       0
    3   ---   ---    ---    ---       0
    4   ---   ---    ---    ---       0
    5   ---   ---    ---    ---       0
    6   ---   ---    ---    ---       0
    7   ---   ---    ---    ---       0
    8   ---   ---    ---    ---       0
    9   ---   ---    ---    ---       0
   10   ---   ---    ---    ---       0
   11   ---   ---    ---    ---       0
   12   ---   ---    ---    ---       0
   13   ---   ---    ---    ---       0
   14   ---   ---    ---    ---       0
   15   ---   ---    ---    ---       0
   16   ---   ---    ---    ---       0
   17   ---   ---    ---    ---       0
   18   ---   ---    ---    ---       0
   19   ---   ---    ---    ---       0
   20   ---   ---    ---    ---       0
   21   ---   ---    ---    ---       0
   22   ---   ---    ---    ---       0
   23   ---   ---    ---    ---       0
   24   ---   ---    ---    ---       0
   25   ---   ---    ---    ---       0
   26   ---   ---    ---    ---       0
   27   ---   ---    ---    ---       0
   28   ---   ---    ---    ---       0
   29   ---   ---    ---    ---       0
   30   ---   ---    ---    ---       0
   31   ---   ---    ---    ---       0
   32   ---   ---    ---    ---       0
   33   ---   ---    ---    ---       0
   34   ---   ---    ---    ---       0
   35   ---   ---    ---    ---       0
   36   123    63     35     78     105
   37   123    63     35     78     105
   38   ---   ---    ---    ---       0
   39   ---   ---    ---    ---       0
   40   ---   ---    ---    ---       0
   41   125    63     58     96     185
   42   125    63     75    104     360
   43   125    63     75    104     360
   44   125    63     75    104     360
   45   125    63     75    104     360
   46   125    63     75    104     360
   47   ---   ---    ---    ---       0
   48   ---   ---    ---    ---       0
   49   346    59    929    183    5194
   50   356    82    892    218    6482
   51   357    75    855    228    4610
   52   354    66    818    199    6131
   53   346    62    774    179    7110
   54   324    56    727    181    6629
   55   282    47    676    172    5333
   56   243    49    622    136    6462
   57   208    50    572    140    5979
   58   220    48    523    151    4061
   59   262    50    487    148    5943
   60   297    50    459    153    6354
   61   330    50    415    172    4891
   62   353    55    372    196    5177
   63   355    57    334    194    5056
   64   345    62    283    193    6532
   65   337    61    234    195    6215
   66   314    54    197    179    7425
   67   335    59    163    178    9167
   68   355    61    119    179   11705
   69   355    67     79    190   11886
   70   351    64     43    185   10024
   71   357    62     37    233    2220
