New Terminal Output:

root@8d9cb8be-24f7-4b8b-9eb0-035afc9a85df:/app# grep -roh '\b[a-z_]*(' doomgeneric/doomgeneric/*.c 2>/dev/null | sort | uniq -c | sort -rn | head -60
   4773 (
    216 sizeof(
    112 printf(
     87 fprintf(
     63 strlen(
     55 switch(
     45 callback(
     40 arrlen(
     33 free(
     30 abs(
     27 memset(
     26 memcpy(
     22 malloc(
     19 mem_fwrite(
     19 fopen(
     18 fclose(
     17 fwrite(
     17 defined(
     16 strdup(
     16 mem_fread(
     16 exit(
     15 saveg_writep(
     15 saveg_readp(
     14 while(
     14 strcmp(
     14 fread(
     12 isspace(
     12 atoi(
     11 toupper(
     11 saveg_write_pad(
     11 saveg_write_enum(
     11 saveg_read_enum(
     10 saveg_read_pad(
     10 main(
      9 strcasecmp(
      9 saveg_write_thinker_t(
      9 saveg_read_thinker_t(
      8 sscanf(
      8 memcmp(
      7 strchr(
      7 if(
      6 tolower(
      6 strncasecmp(
      6 puts(
      6 ftell(
      6 fflush(
      5 va_start(
      5 va_end(
      5 strrchr(
      5 strncmp(
      5 routine(
      5 mem_fclose(
      5 fseek(
      5 for(
      4 vsnprintf(
      4 tcsetattr(
      4 rol(
      4 remove(
      4 mem_get_buf(
      4 mem_fopen_write(
root@8d9cb8be-24f7-4b8b-9eb0-035afc9a85df:/app# cat doomgeneric/doomgeneric/i_system.c | head -60
//
// Copyright(C) 1993-1996 Id Software, Inc.
// Copyright(C) 2005-2014 Simon Howard
//
// This program is free software; you can redistribute it and/or
// modify it under the terms of the GNU General Public License
// as published by the Free Software Foundation; either version 2
// of the License, or (at your option) any later version.
//
// This program is distributed in the hope that it will be useful,
// but WITHOUT ANY WARRANTY; without even the implied warranty of
// MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
// GNU General Public License for more details.
//
// DESCRIPTION:
//



#include <stdlib.h>
#include <stdio.h>
#include <string.h>

#include <stdarg.h>

#ifdef _WIN32
#define WIN32_LEAN_AND_MEAN
#include <windows.h>
#else
#include <unistd.h>
#endif

#ifdef ORIGCODE
#include "SDL.h"
#endif

#include "config.h"

#include "deh_str.h"
#include "doomtype.h"
#include "m_argv.h"
#include "m_config.h"
#include "m_misc.h"
#include "i_joystick.h"
#include "i_sound.h"
#include "i_timer.h"
#include "i_video.h"

#include "i_system.h"

#include "w_wad.h"
#include "z_zone.h"

#ifdef __MACOSX__
#include <CoreFoundation/CFUserNotification.h>
#endif

#define DEFAULT_RAM 6 /* MiB */
#define MIN_RAM     6  /* MiB */

root@8d9cb8be-24f7-4b8b-9eb0-035afc9a85df:/app# cat doomgeneric/doomgeneric/w_file_stdc.c
//
// Copyright(C) 1993-1996 Id Software, Inc.
// Copyright(C) 2005-2014 Simon Howard
//
// This program is free software; you can redistribute it and/or
// modify it under the terms of the GNU General Public License
// as published by the Free Software Foundation; either version 2
// of the License, or (at your option) any later version.
//
// This program is distributed in the hope that it will be useful,
// but WITHOUT ANY WARRANTY; without even the implied warranty of
// MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
// GNU General Public License for more details.
//
// DESCRIPTION:
//      WAD I/O functions.
//

#include <stdio.h>

#include "m_misc.h"
#include "w_file.h"
#include "z_zone.h"

typedef struct
{
    wad_file_t wad;
    FILE *fstream;
} stdc_wad_file_t;

extern wad_file_class_t stdc_wad_file;

static wad_file_t *W_StdC_OpenFile(char *path)
{
    stdc_wad_file_t *result;
    FILE *fstream;

    fstream = fopen(path, "rb");

    if (fstream == NULL)
    {
        return NULL;
    }

    // Create a new stdc_wad_file_t to hold the file handle.

    result = Z_Malloc(sizeof(stdc_wad_file_t), PU_STATIC, 0);
    result->wad.file_class = &stdc_wad_file;
    result->wad.mapped = NULL;
    result->wad.length = M_FileLength(fstream);
    result->fstream = fstream;

    return &result->wad;
}

static void W_StdC_CloseFile(wad_file_t *wad)
{
    stdc_wad_file_t *stdc_wad;

    stdc_wad = (stdc_wad_file_t *) wad;

    fclose(stdc_wad->fstream);
    Z_Free(stdc_wad);
}

// Read data from the specified position in the file into the
// provided buffer.  Returns the number of bytes read.

size_t W_StdC_Read(wad_file_t *wad, unsigned int offset,
                   void *buffer, size_t buffer_len)
{
    stdc_wad_file_t *stdc_wad;
    size_t result;

    stdc_wad = (stdc_wad_file_t *) wad;

    // Jump to the specified position in the file.

    fseek(stdc_wad->fstream, offset, SEEK_SET);

    // Read into the buffer.

    result = fread(buffer, 1, buffer_len, stdc_wad->fstream);

    return result;
}


wad_file_class_t stdc_wad_file =
{
    W_StdC_OpenFile,
    W_StdC_CloseFile,
    W_StdC_Read,
};


root@8d9cb8be-24f7-4b8b-9eb0-035afc9a85df:/app#
