File Read Result for '/tmp/lb_scandinavian.png':
# Analysis of the MTEB Leaderboard Screenshot

## Currently Selected Benchmark

The benchmark currently selected is **MTEB (Multilingual, v2)** — NOT the Scandinavian benchmark. The "Multilingual" button in the left sidebar is highlighted/active (shown in blue/purple).

## Is the Scandinavian Benchmark Actually Selected?

**No, the Scandinavian benchmark is NOT selected.** Despite the claim that the Scandinavian button was clicked, the screenshot clearly shows the **Multilingual** general-purpose benchmark is the active selection. The Scandinavian option would likely be found under the "Language-specific" dropdown in the sidebar, which appears collapsed.

## What the Leaderboard Table Shows

The table displays a ranking of embedding models evaluated across the MTEB Multilingual benchmark, which covers:
- **1038 languages**
- **131 tasks**
- **9 task types**
- **20 domains**

The table columns include: Rank, Model, Zero-shot, Active Parameters, Total Parameters, Embedding Dimensions, Max Tokens, Mean (T...), Mean (TaskTy...), Bitext, Classification, Clustering, and more.

## All Visible Models with Rank and Mean (Task) Scores

| Rank | Model | Mean (T...) |
|------|-------|-------------|
| 1 | harrier-oss-v1-27b | 74.27 |
| 2 | KaLM-Embedding-Gemma3-12B-2511 | 72.32 |
| 3 | llama-embed-nemotron-8b | 69.46 |
| 4 | Qwen3-Embedding-8B | 70.58 |
| 5 | gemini-embedding-001 | 68.37 |
| 6 | Qwen3-Embedding-4B | 69.45 |
| 7 | Octen-Embedding-8B | 67.84 |
| 8 | F2LLM-v2-14B | 68.74 |
| 9 | F2LLM-v2-8B | 68.09 |
| 10 | harrier-oss-v1-0.6b | 69.01 |
| 11 | Seed1.6-embedding-1215 | 70.26 |

*(There appears to be a partial 12th row cut off at the bottom of the visible table.)*

**Note:** The "Mean (T...)" column appears to be truncated and likely reads "Mean (Task)" or similar. The scores listed are from that column. There is also a "Mean (TaskTy...)" column with different values.
