File Read Result for '/tmp/lb_scandinavian2.png':
## Currently Selected Benchmark

**"Multilingual"** is the currently selected/active benchmark in the left sidebar, highlighted in purple/blue.

## Is "Scandinavian" Highlighted/Active?

**No**, "Scandinavian" is **not** highlighted/active. It appears as a regular (unselected) option under the "Language-specific" section. Only "Multilingual" has the active/highlighted purple background.

## Benchmark Description

The benchmark is **MTEB(Multilingual, v2)**. The description states:

> "The large-scale multilingual expansion of MTEB known as MMTEB, driven mainly by highly-curated community contributions covering 250+ languages."

Key statistics:
- **Number of languages**: 1038
- **Number of tasks**: 131
- **Number of task types**: 9
- **Number of domains**: 20

## Top Models in the Table

| Rank | Model | Mean (T...) | Mean (TaskTy...) |
|------|-------|-------------|------------------|
| 1 | harrier-oss-v1-27b | **74.27** | **64.20** |
| 2 | KaLM-Embedding-Gemma3-12B-2511 | **72.32** | **62.51** |
| 3 | llama-embed-nemotron-8b | **69.46** | **61.09** |
| 4 | Qwen3-Embedding-8B | **70.58** | **61.69** |
| 5 | gemini-embedding-001 | **68.37** | **59.59** |
| 6 | Qwen3-Embedding-4B | **69.45** | **60.86** |
| 7 | Octen-Embedding-8B | **67.84** | **60.28** |
| 8 | F2LLM-v2-14B | **68.74** | **59.45** |
| 9 | F2LLM-v2-8B | **68.09** | **58.99** |
| 10 | harrier-oss-v1-0.6b | **69.01** | **59.00** |
| 11 | Seed1.6-embedding-1215 | **70.26** | **61.34** |
