File Read Result for '/tmp/lb_scand_final.png':
Here is the exact listing of each model with its Rank, Model name, and Mean (Task) score as shown in the "Mean (T..." column:

| Rank | Model | Mean (Task) |
|------|-------|-------------|
| 1 | F2LLM-v2-14B | **71.10** |
| 2 | F2LLM-v2-8B | 69.94 |
| 3 | F2LLM-v2-4B | 68.46 |
| 4 | F2LLM-v2-1.7B | 67.21 |
| 5 | SFR-Embedding-2 R | 65.56 |
| 6 | gemini-embedding-001 | *(empty/blank)* |
| 7 | GritLM-7B | 64.08 |
| 8 | Qwen3-Embedding-4B | *(empty/blank)* |
| 9 | e5-mistral-7b-instruct | 62.01 |
| 10 | Linq-Embed-Mistral | *(empty/blank)* |
| 11 | F2LLM-v2-0.6B | 64.32 |
| 12 | gte-Qwen2-7B-instruct | *(empty/blank)* |

Note: Several models (ranks 6, 8, 10, and 12) have blank/missing values in the "Mean (T...)" column. The highest Mean (Task) score of **71.10** belongs to F2LLM-v2-14B at Rank 1.
