New Terminal Output:

root@dfdc7a27-066c-4d88-b000-73d95314057d:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
>
> # Read first frame as background
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY)
>
> frames_data = []
> frame_idx = 0
>
> cap.set(cv2.CAP_PROP_POS_FRAMES, 0)
> while True:
>     ret, frame = cap.read()
>     if not ret:
>         break
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY)
>     diff = cv2.absdiff(gray, bg_gray)
>     _, thresh = cv2.threshold(diff, 30, 255, cv2.THRESH_BINARY)
>
>     # Find contours of the moving object
>     contours, _ = cv2.findContours(thresh, cv2.RETR_EXTERNAL, cv2.CHAIN_APPROX_SIMPLE)
>
>     total_area = 0
>     min_y = 540
>     max_y = 0
>     cx, cy = 0, 0
>     bbox = None
>     if contours:
>         # Get largest contour
>         all_points = np.vstack(contours)
>         x, y, w, h = cv2.boundingRect(all_points)
>         total_area = cv2.countNonZero(thresh)
>         min_y = y
>         max_y = y + h
>         cx = x + w // 2
>         cy = y + h // 2
>         bbox = (x, y, w, h)
>
>     frames_data.append({
>         'frame': frame_idx,
>         'area': total_area,
>         'min_y': min_y,
>         'max_y': max_y,
>         'cx': cx,
>         'cy': cy,
>         'bbox': bbox
>     })
>     frame_idx += 1
>
> cap.release()
>
> print("Frame | Area | MinY | MaxY | CX | CY | BBox")
> for d in frames_data:
>     print(f"{d['frame']:3d} | {d['area']:6d} | {d['min_y']:3d} | {d['max_y']:3d} | {d['cx']:3d} | {d['cy']:3d} | {d['bbox']}")
> PYEOF
Frame | Area | MinY | MaxY | CX | CY | BBox
  0 |      0 | 540 |   0 |   0 |   0 | None
  1 |    444 |  12 | 312 | 486 | 162 | (19, 12, 935, 300)
  2 |   1307 |  12 | 363 | 478 | 187 | (0, 12, 957, 351)
  3 |    700 |  25 | 363 | 478 | 194 | (0, 25, 957, 338)
  4 |   2167 |  12 | 363 | 478 | 187 | (0, 12, 957, 351)
  5 |  12935 |   0 | 521 | 480 | 260 | (0, 0, 960, 521)
  6 |  10124 |   0 | 512 | 480 | 256 | (0, 0, 960, 512)
  7 |  13128 |   0 | 512 | 480 | 256 | (0, 0, 960, 512)
  8 |  14294 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
  9 |  14034 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 10 |  14388 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 11 |  14660 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 12 |  15050 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 13 |  15297 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 14 |  15825 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 15 |  15113 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
 16 |  15033 |   0 | 514 | 480 | 257 | (0, 0, 960, 514)
