Current Terminal Screen:
  0x0043a820: 0x8c8a0000
  0x0043a824: 0x240b0003
  0x0043a828: 0x240c0000
  0x0043a82c: 0x01601025
  0x0043a830: 0x01402025
  0x0043a834: 0x01802825
  0x0043a838: 0x01803025
  0x0043a83c: 0x01803825
  0x0043a840: 0x01804025
  0x0043a844: 0x01804825
  0x0043a848: 0x0000000c

syscall at vaddr 0x0043a8d8 (file offset 0x0003a8d8):
  0x0043a8b0: 0x00a05025
  0x0043a8b4: 0x8c6e0000
  0x0043a8b8: 0x240b0000
  0x0043a8bc: 0x01601025
  0x0043a8c0: 0x01c02025
  0x0043a8c4: 0x01802825
  0x0043a8c8: 0x01a03025
  0x0043a8cc: 0x01603825
  0x0043a8d0: 0x01604025
  0x0043a8d4: 0x01604825
  0x0043a8d8: 0x0000000c

syscall at vaddr 0x0043aa44 (file offset 0x0003aa44):
  0x0043aa1c: 0x8c8d0000
  0x0043aa20: 0x240e0008
  0x0043aa24: 0x24030000
  0x0043aa28: 0x01c01025
  0x0043aa2c: 0x01a02025
  0x0043aa30: 0x01802825
  0x0043aa34: 0x01603025
  0x0043aa38: 0x00603825
  0x0043aa3c: 0x00604025
  0x0043aa40: 0x00604825
  0x0043aa44: 0x0000000c
root@3ecc0b10-31b4-407d-944f-188ab0ffe934:/app#
