New Terminal Output:

root@55e3c5bd-e79d-4bf1-8ec4-72bdb9c74a37:/app# python3 << 'PYEOF'
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
> ret, bg_frame = cap.read()
> bg_gray = cv2.cvtColor(bg_frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>
> # For frames in the jump range, do detailed analysis
> # Use a higher threshold to isolate the athlete better
> print(f'{"Frame":>5} {"Pixels":>8} {"MinY":>6} {"MaxY":>6} {"MinX":>6} {"MaxX":>6} {"CentY":>8} {"CentX":>8} {"P90Y":>6} {"P10Y":>6}')
>
> for fi in range(40, 85):
>     cap.set(cv2.CAP_PROP_POS_FRAMES, fi)
>     ret, frame = cap.read()
>     if not ret:
>         break
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY).astype(np.float32)
>     diff = np.abs(gray - bg_gray)
>
>     # Use morphological operations to clean up
>     mask = (diff > 40).astype(np.uint8)
>
>     # Apply some morphological cleanup
>     kernel = np.ones((5,5), np.uint8)
>     mask = cv2.morphologyEx(mask, cv2.MORPH_OPEN, kernel)
>     mask = cv2.morphologyEx(mask, cv2.MORPH_CLOSE, kernel)
>
>     motion_pixels = np.sum(mask)
>
>     if motion_pixels > 100:
>         ys, xs = np.where(mask > 0)
>         min_y = np.min(ys)
>         max_y = np.max(ys)
>         min_x = np.min(xs)
>         max_x = np.max(xs)
>         centroid_y = np.mean(ys)
>         centroid_x = np.mean(xs)
>         p90y = np.percentile(ys, 90)  # bottom 90th percentile
>         p10y = np.percentile(ys, 10)  # top 10th percentile
>     else:
>         min_y = max_y = min_x = max_x = 0
>         centroid_y = centroid_x = p90y = p10y = 0
>
>     print(f'{fi:5d} {motion_pixels:8d} {min_y:6.0f} {max_y:6.0f} {min_x:6.0f} {max_x:6.0f} {centroid_y:8.1f} {centroid_x:8.1f} {p90y:6.1f} {p10y:6.1f}')
>
> cap.release()
> PYEOF
Frame   Pixels   MinY   MaxY   MinX   MaxX    CentY    CentX   P90Y   P10Y
   40        0      0      0      0      0      0.0      0.0    0.0    0.0
   41       65      0      0      0      0      0.0      0.0    0.0    0.0
   42       75      0      0      0      0      0.0      0.0    0.0    0.0
   43       75      0      0      0      0      0.0      0.0    0.0    0.0
   44       75      0      0      0      0      0.0      0.0    0.0    0.0
   45       75      0      0      0      0      0.0      0.0    0.0    0.0
   46       75      0      0      0      0      0.0      0.0    0.0    0.0
   47      751     63    326      0    959    277.6    850.9  324.0  245.0
   48      820     63    333      0    959    262.5    827.5  331.0  149.0
   49     3830     52    351      0    959    183.0    912.4  337.0   77.0
   50     4258     63    359      0    941    208.2    881.4  348.0   95.0
   51     2953     61    360      0    905    241.2    834.4  351.8   96.0
   52     4451     61    360      0    869    207.0    807.0  338.0   88.0
   53     4759     56    358      0    853    185.3    765.7  323.0   89.0
   54     4942     49    337      0    826    179.9    709.8  281.9   97.0
   55     3814     41    305      0    804    179.5    663.5  274.0   66.0
   56     5336     44    270      0    771    137.9    618.2  231.0   70.0
   57     4679     42    231      0    727    133.1    563.0  191.0   65.0
   58     2800     43    223      0    669    142.5    505.3  198.0   59.0
   59     4431     43    269      0    610    140.2    481.5  220.0   64.0
   60     4697     43    304      0    528    143.1    448.8  258.0   63.6
   61     3767     44    336      0    477    158.4    407.6  291.0   62.0
   62     3651     48    359      0    427    181.7    362.5  307.0   67.0
   63     3102     51    360      0    393    166.6    319.0  261.0   64.0
   64     4656     55    352      0    376    184.8    273.9  258.0   68.0
   65     4254     55    345      0    345    190.3    227.4  277.0   67.0
   66     5099     45    330      0    308    175.1    193.3  303.0   65.0
   67     6077     48    343      0    257    163.5    161.7  296.0   72.0
   68     8622     49    362      0    196    174.7    117.9  291.0   82.0
   69     9547     62    363      0    131    189.3     77.7  288.0   97.0
   70     7858     62    363      0    117    187.8     39.3  282.0   93.0
   71     1477     62    362      0     99    241.7     36.8  348.0  135.0
   72      364     63    342      0     77    283.5     59.5  336.7   66.0
   73      428     63    315      0     53    266.8     35.0  309.0   66.0
   74      262     63    283      0     21    227.6      7.9  281.0   65.0
   75       60      0      0      0      0      0.0      0.0    0.0    0.0
   76       75      0      0      0      0      0.0      0.0    0.0    0.0
   77        0      0      0      0      0      0.0      0.0    0.0    0.0
   78        0      0      0      0      0      0.0      0.0    0.0    0.0
   79        0      0      0      0      0      0.0      0.0    0.0    0.0
   80        0      0      0      0      0      0.0      0.0    0.0    0.0
   81        0      0      0      0      0      0.0      0.0    0.0    0.0
   82        0      0      0      0      0      0.0      0.0    0.0    0.0
   83        0      0      0      0      0      0.0      0.0    0.0    0.0
   84        0      0      0      0      0      0.0      0.0    0.0    0.0

