New Terminal Output:

root@fe30c015-f053-4111-816f-cabd16f6b8bc:/app# python3 << 'PYEOF'
> # GPT-2 TF variable names in alphabetical order
> # The standard OpenAI GPT-2 model has these variables:
> vars = []
> for i in range(12):
>     vars.append((f'model/h{i}/attn/c_attn/b', (3*768,)))
>     vars.append((f'model/h{i}/attn/c_attn/w', (768, 3*768)))  # note: stored as [1, E, 3E] in TF
>     vars.append((f'model/h{i}/attn/c_proj/b', (768,)))
>     vars.append((f'model/h{i}/attn/c_proj/w', (768, 768)))  # [1, E, E]
>     vars.append((f'model/h{i}/ln_1/b', (768,)))
>     vars.append((f'model/h{i}/ln_1/g', (768,)))
>     vars.append((f'model/h{i}/ln_2/b', (768,)))
>     vars.append((f'model/h{i}/ln_2/g', (768,)))
>     vars.append((f'model/h{i}/mlp/c_fc/b', (4*768,)))
>     vars.append((f'model/h{i}/mlp/c_fc/w', (768, 4*768)))  # [1, E, 4E]
>     vars.append((f'model/h{i}/mlp/c_proj/b', (768,)))
>     vars.append((f'model/h{i}/mlp/c_proj/w', (4*768, 768)))  # [1, 4E, E]
>
> vars.append(('model/ln_f/b', (768,)))
> vars.append(('model/ln_f/g', (768,)))
> vars.append(('model/wpe', (1024, 768)))
> vars.append(('model/wte', (50257, 768)))
>
> # Sort alphabetically
> vars.sort(key=lambda x: x[0])
>
> total = 0
> for name, shape in vars:
>     size = 1
>     for s in shape:
>         size *= s
>     print(f'{name}: shape={shape} size={size} offset={total}')
>     total += size
>
> print(f'\nTotal: {total}')
> print(f'Expected: 124439808')
> print(f'Match: {total == 124439808}')
> PYEOF
model/h0/attn/c_attn/b: shape=(2304,) size=2304 offset=0
model/h0/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=2304
model/h0/attn/c_proj/b: shape=(768,) size=768 offset=1771776
model/h0/attn/c_proj/w: shape=(768, 768) size=589824 offset=1772544
model/h0/ln_1/b: shape=(768,) size=768 offset=2362368
model/h0/ln_1/g: shape=(768,) size=768 offset=2363136
model/h0/ln_2/b: shape=(768,) size=768 offset=2363904
model/h0/ln_2/g: shape=(768,) size=768 offset=2364672
model/h0/mlp/c_fc/b: shape=(3072,) size=3072 offset=2365440
model/h0/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=2368512
model/h0/mlp/c_proj/b: shape=(768,) size=768 offset=4727808
model/h0/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=4728576
model/h1/attn/c_attn/b: shape=(2304,) size=2304 offset=7087872
model/h1/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=7090176
model/h1/attn/c_proj/b: shape=(768,) size=768 offset=8859648
model/h1/attn/c_proj/w: shape=(768, 768) size=589824 offset=8860416
model/h1/ln_1/b: shape=(768,) size=768 offset=9450240
model/h1/ln_1/g: shape=(768,) size=768 offset=9451008
model/h1/ln_2/b: shape=(768,) size=768 offset=9451776
model/h1/ln_2/g: shape=(768,) size=768 offset=9452544
model/h1/mlp/c_fc/b: shape=(3072,) size=3072 offset=9453312
model/h1/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=9456384
model/h1/mlp/c_proj/b: shape=(768,) size=768 offset=11815680
model/h1/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=11816448
model/h10/attn/c_attn/b: shape=(2304,) size=2304 offset=14175744
model/h10/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=14178048
model/h10/attn/c_proj/b: shape=(768,) size=768 offset=15947520
model/h10/attn/c_proj/w: shape=(768, 768) size=589824 offset=15948288
model/h10/ln_1/b: shape=(768,) size=768 offset=16538112
model/h10/ln_1/g: shape=(768,) size=768 offset=16538880
model/h10/ln_2/b: shape=(768,) size=768 offset=16539648
model/h10/ln_2/g: shape=(768,) size=768 offset=16540416
model/h10/mlp/c_fc/b: shape=(3072,) size=3072 offset=16541184
model/h10/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=16544256
model/h10/mlp/c_proj/b: shape=(768,) size=768 offset=18903552
model/h10/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=18904320
model/h11/attn/c_attn/b: shape=(2304,) size=2304 offset=21263616
model/h11/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=21265920
model/h11/attn/c_proj/b: shape=(768,) size=768 offset=23035392
model/h11/attn/c_proj/w: shape=(768, 768) size=589824 offset=23036160
model/h11/ln_1/b: shape=(768,) size=768 offset=23625984
model/h11/ln_1/g: shape=(768,) size=768 offset=23626752
model/h11/ln_2/b: shape=(768,) size=768 offset=23627520
model/h11/ln_2/g: shape=(768,) size=768 offset=23628288
model/h11/mlp/c_fc/b: shape=(3072,) size=3072 offset=23629056
model/h11/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=23632128
model/h11/mlp/c_proj/b: shape=(768,) size=768 offset=25991424
model/h11/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=25992192
model/h2/attn/c_attn/b: shape=(2304,) size=2304 offset=28351488
model/h2/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=28353792
model/h2/attn/c_proj/b: shape=(768,) size=768 offset=30123264
model/h2/attn/c_proj/w: shape=(768, 768) size=589824 offset=30124032
model/h2/ln_1/b: shape=(768,) size=768 offset=30713856
model/h2/ln_1/g: shape=(768,) size=768 offset=30714624
model/h2/ln_2/b: shape=(768,) size=768 offset=30715392
model/h2/ln_2/g: shape=(768,) size=768 offset=30716160
model/h2/mlp/c_fc/b: shape=(3072,) size=3072 offset=30716928
model/h2/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=30720000
model/h2/mlp/c_proj/b: shape=(768,) size=768 offset=33079296
model/h2/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=33080064
model/h3/attn/c_attn/b: shape=(2304,) size=2304 offset=35439360
model/h3/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=35441664
model/h3/attn/c_proj/b: shape=(768,) size=768 offset=37211136
model/h3/attn/c_proj/w: shape=(768, 768) size=589824 offset=37211904
model/h3/ln_1/b: shape=(768,) size=768 offset=37801728
model/h3/ln_1/g: shape=(768,) size=768 offset=37802496
model/h3/ln_2/b: shape=(768,) size=768 offset=37803264
model/h3/ln_2/g: shape=(768,) size=768 offset=37804032
model/h3/mlp/c_fc/b: shape=(3072,) size=3072 offset=37804800
model/h3/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=37807872
model/h3/mlp/c_proj/b: shape=(768,) size=768 offset=40167168
model/h3/mlp/c_proj/w: shape=(3072, 768) size=2359296 offset=40167936
model/h4/attn/c_attn/b: shape=(2304,) size=2304 offset=42527232
model/h4/attn/c_attn/w: shape=(768, 2304) size=1769472 offset=42529536
model/h4/attn/c_proj/b: shape=(768,) size=768 offset=44299008
model/h4/attn/c_proj/w: shape=(768, 768) size=589824 offset=44299776
model/h4/ln_1/b: shape=(768,) size=768 offset=44889600
model/h4/ln_1/g: shape=(768,) size=768 offset=44890368
model/h4/ln_2/b: shape=(768,) size=768 offset=44891136
model/h4/ln_2/g: shape=(768,) size=768 offset=44891904
model/h4/mlp/c_fc/b: shape=(3072,) size=3072 offset=44892672
model/h4/mlp/c_fc/w: shape=(768, 3072) size=2359296 offset=44895744
model/h4/mlp/c_proj/b: shape=(768,) size=768 offset=47255040
