New Terminal Output:

root@6afab76a-b79d-4a52-a429-98c27e08fe27:/app# python3 << 'PYEOF'
> import numpy as np
> from scipy.optimize import curve_fit
> from scipy.interpolate import interp1d
> import json
>
> # Read data
> data = []
> with open('/app/graphene.dat', 'r') as f:
>     for line in f:
>         line = line.strip().replace('\r', '')
>         if not line: continue
>         parts = line.split('\t')
>         x = float(parts[0].replace(',', '.'))
>         y = float(parts[1].replace(',', '.'))
>         data.append((x, y))
>
> data.sort(key=lambda t: t[0])
> xall = np.array([d[0] for d in data])
> yall = np.array([d[1] for d in data])
>
> # Convert to Raman shift using the laser peak
> laser_idx = np.argmax(yall)
> laser_wn = xall[laser_idx]  # 19139.54 cm^-1
>
> # Raman shift = laser_wn - x
> raman_shift_all = laser_wn - xall
>
> # For Stokes side: x < laser_wn, so raman_shift > 0
> # Sort by increasing Raman shift
> rs_all = raman_shift_all[::-1]
> ys_all = yall[::-1]
>
> # Focus on the Raman shift range 1000-3500 cm^-1 (covers both G and 2D)
> mask = (rs_all > 1000) & (rs_all < 3500)
> rs = rs_all[mask]
> ys = ys_all[mask]
> print(f'Data in shift range 1000-3500: {len(rs)} points')
> for i in range(len(rs)):
>     print(f'  shift={rs[i]:.2f}, y={ys[i]:.2f}')
>
> # There are very few points. Let me try to fit with wider ranges.
> # G peak region: shift 1000-2000
> # 2D peak region: shift 2000-3500
>
> print(f'\n--- Wider range for context ---')
> mask2 = (rs_all > 500) & (rs_all < 5000)
> rs2 = rs_all[mask2]
> ys2 = ys_all[mask2]
> print(f'Data in shift range 500-5000: {len(rs2)} points')
> for i in range(len(rs2)):
>     print(f'  shift={rs2[i]:.2f}, y={ys2[i]:.2f}')
>
> PYEOF
Data in shift range 1000-3500: 34 points
  shift=1076.93, y=24222.52
  shift=1161.05, y=23027.69
  shift=1244.35, y=22176.00
  shift=1326.86, y=21422.02
  shift=1408.59, y=20814.98
  shift=1489.54, y=20340.78
  shift=1569.72, y=19755.67
  shift=1649.16, y=19327.43
  shift=1727.85, y=19004.15
  shift=1805.81, y=18560.41
  shift=1883.06, y=18199.37
  shift=1959.58, y=17693.50
  shift=2035.41, y=17686.76
  shift=2110.55, y=17167.58
  shift=2185.00, y=17175.14
  shift=2258.78, y=16878.42
  shift=2331.90, y=16736.04
  shift=2404.36, y=16592.63
  shift=2476.18, y=16411.40
  shift=2547.35, y=16486.89
  shift=2617.90, y=16553.63
  shift=2687.83, y=16639.86
  shift=2757.14, y=17254.78
  shift=2825.85, y=17835.38
  shift=2893.96, y=18159.87
  shift=2961.48, y=18120.49
  shift=3028.42, y=17840.74
  shift=3094.79, y=17319.64
  shift=3160.59, y=17042.07
  shift=3225.83, y=16744.25
  shift=3290.52, y=16397.31
  shift=3354.66, y=16191.24
  shift=3418.26, y=16443.83
  shift=3481.34, y=16216.61

--- Wider range for context ---
Data in shift range 500-5000: 66 points
  shift=554.61, y=35830.54
  shift=643.82, y=32580.49
  shift=732.16, y=30376.53
  shift=819.63, y=28061.59
  shift=906.24, y=26464.24
  shift=992.00, y=25202.87
  shift=1076.93, y=24222.52
  shift=1161.05, y=23027.69
  shift=1244.35, y=22176.00
  shift=1326.86, y=21422.02
  shift=1408.59, y=20814.98
  shift=1489.54, y=20340.78
  shift=1569.72, y=19755.67
  shift=1649.16, y=19327.43
  shift=1727.85, y=19004.15
  shift=1805.81, y=18560.41
  shift=1883.06, y=18199.37
  shift=1959.58, y=17693.50
  shift=2035.41, y=17686.76
  shift=2110.55, y=17167.58
  shift=2185.00, y=17175.14
  shift=2258.78, y=16878.42
  shift=2331.90, y=16736.04
  shift=2404.36, y=16592.63
  shift=2476.18, y=16411.40
  shift=2547.35, y=16486.89
  shift=2617.90, y=16553.63
  shift=2687.83, y=16639.86
  shift=2757.14, y=17254.78
  shift=2825.85, y=17835.38
  shift=2893.96, y=18159.87
  shift=2961.48, y=18120.49
  shift=3028.42, y=17840.74
  shift=3094.79, y=17319.64
  shift=3160.59, y=17042.07
  shift=3225.83, y=16744.25
  shift=3290.52, y=16397.31
  shift=3354.66, y=16191.24
  shift=3418.26, y=16443.83
  shift=3481.34, y=16216.61
  shift=3543.88, y=16108.91
  shift=3605.91, y=15941.28
  shift=3667.43, y=15904.63
  shift=3728.44, y=15637.79
  shift=3788.95, y=15594.83
  shift=3848.97, y=15510.36
  shift=3908.49, y=15515.04
  shift=3967.54, y=15274.72
  shift=4026.11, y=15243.17
  shift=4084.22, y=15405.05
  shift=4141.85, y=15106.42
  shift=4199.03, y=15022.15
  shift=4255.76, y=14862.75
  shift=4312.03, y=15014.57
  shift=4367.87, y=14737.88
  shift=4423.26, y=14697.77
  shift=4478.23, y=14497.03
  shift=4532.76, y=14494.54
  shift=4586.88, y=14310.78
  shift=4640.57, y=14189.87
  shift=4693.86, y=13948.70
  shift=4746.73, y=13898.28
  shift=4799.20, y=13935.49
  shift=4851.28, y=13752.72
  shift=4902.96, y=13654.04
  shift=4954.24, y=13661.90
root@6afab76a-b79d-4a52-a429-98c27e08fe27:/app#
