New Terminal Output:

First frame dtype: uint8
Total frames analyzed: 119

Frame, TotalArea, LargestArea, X, Y, W, H, CX, CY, MinY, MaxY
(1, np.int64(444), 3.0, 408, 95, 2, 5, np.float64(419.35135135135135), np.float64(91.01576576576576), np.int64(12), np.int64(311))
(2, np.int64(1307), 11.5, 520, 187, 2, 17, np.float64(449.06503442999235), np.float64(122.4460596786534), np.int64(12), np.int64(362))
(3, np.int64(700), 3.0, 408, 95, 2, 5, np.float64(435.0128571428571), np.float64(106.15571428571428), np.int64(25), np.int64(362))
(4, np.int64(2167), 11.5, 520, 187, 2, 17, np.float64(409.0115366866636), np.float64(123.43562528841717), np.int64(12), np.int64(362))
(5, np.int64(12935), 243.0, 328, 111, 31, 23, np.float64(468.2274449168921), np.float64(121.35291843834557), np.int64(0), np.int64(520))
(6, np.int64(10124), 243.0, 328, 111, 31, 23, np.float64(537.6558672461477), np.float64(123.6772026866851), np.int64(0), np.int64(511))
(7, np.int64(13128), 235.5, 328, 111, 31, 29, np.float64(509.69226081657524), np.float64(128.2927330895795), np.int64(0), np.int64(511))
(8, np.int64(14294), 235.5, 328, 111, 31, 29, np.float64(535.4007275780048), np.float64(128.65300125926962), np.int64(0), np.int64(513))
(9, np.int64(14034), 235.5, 328, 111, 31, 29, np.float64(536.9213339033776), np.float64(129.4646572609377), np.int64(0), np.int64(513))
(10, np.int64(14388), 235.5, 328, 111, 31, 29, np.float64(534.0338476508201), np.float64(128.660897970531), np.int64(0), np.int64(513))
(11, np.int64(14660), 235.5, 328, 111, 31, 29, np.float64(540.450613915416), np.float64(128.79147339699864), np.int64(0), np.int64(513))
(12, np.int64(15050), 235.5, 328, 111, 31, 29, np.float64(554.089634551495), np.float64(130.10019933554818), np.int64(0), np.int64(513))
(13, np.int64(15297), 235.5, 328, 111, 31, 29, np.float64(547.1528404262274), np.float64(129.63090802118063), np.int64(0), np.int64(513))
(14, np.int64(15825), 235.5, 328, 111, 31, 29, np.float64(556.2643285939969), np.float64(129.7688467614534), np.int64(0), np.int64(513))
(15, np.int64(15113), 161.0, 329, 111, 16, 23, np.float64(554.0197842916695), np.float64(131.43068881095746), np.int64(0), np.int64(513))
(16, np.int64(15033), 161.0, 329, 111, 16, 23, np.float64(552.736313443757), np.float64(131.41209339453204), np.int64(0), np.int64(513))
(17, np.int64(15356), 161.0, 329, 111, 16, 23, np.float64(558.5099635321699), np.float64(130.69601458713205), np.int64(0), np.int64(513))
(18, np.int64(14817), 161.0, 329, 111, 16, 23, np.float64(549.9261658905311), np.float64(131.8825673213201), np.int64(0), np.int64(513))
(19, np.int64(15553), 155.5, 329, 111, 16, 23, np.float64(544.9117212113418), np.float64(132.8736578152125), np.int64(0), np.int64(513))
(20, np.int64(17076), 156.0, 329, 111, 16, 23, np.float64(542.9983017100024), np.float64(134.822733661279), np.int64(0), np.int64(513))
(21, np.int64(17129), 156.0, 329, 111, 16, 23, np.float64(542.260435518711), np.float64(134.7815400782299), np.int64(0), np.int64(513))
(22, np.int64(17249), 156.0, 329, 111, 16, 23, np.float64(541.67377819004), np.float64(134.43463389181983), np.int64(0), np.int64(513))
(23, np.int64(20671), 248.5, 329, 111, 30, 30, np.float64(550.6630545208262), np.float64(136.47404576459775), np.int64(0), np.int64(520))
(24, np.int64(20743), 248.5, 329, 111, 30, 30, np.float64(550.8476112423468), np.float64(136.58120811840138), np.int64(0), np.int64(516))
(25, np.int64(20774), 248.5, 329, 111, 30, 30, np.float64(552.6343024935015), np.float64(136.57884856070086), np.int64(0), np.int64(520))
(26, np.int64(21277), 319.0, 328, 111, 31, 30, np.float64(555.2959533768858), np.float64(137.54970155567045), np.int64(0), np.int64(520))
(27, np.int64(21387), 319.0, 328, 111, 31, 30, np.float64(555.849488006733), np.float64(137.71393837377846), np.int64(0), np.int64(520))
(28, np.int64(21392), 319.0, 328, 111, 31, 30, np.float64(553.895428197457), np.float64(137.8484947643979), np.int64(0), np.int64(520))
(29, np.int64(21762), 319.0, 328, 111, 31, 30, np.float64(558.5947063688999), np.float64(137.85869864902122), np.int64(0), np.int64(520))
(30, np.int64(21849), 300.0, 328, 111, 31, 30, np.float64(557.364456039178), np.float64(137.86022243580942), np.int64(0), np.int64(520))
(31, np.int64(21843), 300.0, 328, 111, 31, 30, np.float64(557.1328114270018), np.float64(137.93004623906972), np.int64(0), np.int64(520))
(32, np.int64(21868), 300.0, 328, 111, 31, 30, np.float64(557.1936162429121), np.float64(137.7998445216755), np.int64(0), np.int64(520))
(33, np.int64(22006), 680.0, 6, 112, 81, 17, np.float64(460.56452785603926), np.float64(141.01549577387985), np.int64(0), np.int64(475))
(34, np.int64(23807), 1797.0, 6, 105, 93, 49, np.float64(411.6087705296761), np.float64(139.2720628386609), np.int64(0), np.int64(475))
(35, np.int64(23930), 1887.5, 6, 105, 93, 49, np.float64(413.4351859590472), np.float64(138.78462181362306), np.int64(0), np.int64(475))
(36, np.int64(24281), 1871.5, 6, 105, 93, 49, np.float64(418.44079733124664), np.float64(138.2506486553272), np.int64(0), np.int64(475))
(37, np.int64(24395), 1872.5, 6, 105, 93, 49, np.float64(420.68686206189795), np.float64(138.08075425292068), np.int64(0), np.int64(475))
(38, np.int64(22761), 1779.0, 6, 105, 93, 49, np.float64(442.3809586573525), np.float64(138.00944598216248), np.int64(0), np.int64(509))
(39, np.int64(22829), 1779.0, 6, 105, 93, 49, np.float64(446.5572736431732), np.float64(137.68837881641772), np.int64(0), np.int64(509))
(40, np.int64(22173), 1775.5, 6, 112, 82, 42, np.float64(433.63545753844767), np.float64(138.64835610878094), np.int64(0), np.int64(509))
(41, np.int64(22407), 2108.0, 6, 105, 97, 50, np.float64(391.9812558575445), np.float64(141.36345784799394), np.int64(0), np.int64(487))
(42, np.int64(24493), 4433.5, 6, 105, 143, 50, np.float64(358.58771894010533), np.float64(140.82480708773934), np.int64(0), np.int64(487))
(43, np.int64(24565), 4433.5, 6, 105, 143, 50, np.float64(358.46464481986567), np.float64(140.6246285365357), np.int64(0), np.int64(487))
(44, np.int64(24666), 4434.0, 6, 105, 143, 50, np.float64(357.98629692694396), np.float64(140.65109867834266), np.int64(0), np.int64(487))
(45, np.int64(24439), 4406.0, 6, 105, 143, 50, np.float64(358.3934694545603), np.float64(140.61839682474732), np.int64(0), np.int64(487))
(46, np.int64(24408), 4400.5, 6, 105, 143, 50, np.float64(358.8162078007211), np.float64(140.69440347427073), np.int64(0), np.int64(487))
(47, np.int64(25528), 4375.0, 6, 105, 143, 50, np.float64(385.3398229395174), np.float64(147.25830460670636), np.int64(0), np.int64(487))
(48, np.int64(26411), 4373.0, 6, 105, 143, 50, np.float64(402.3771155957745), np.float64(148.70535004354247), np.int64(0), np.int64(487))
(49, np.int64(31534), 3978.0, 6, 105, 143, 50, np.float64(481.7034629289021), np.float64(151.59465973235237), np.int64(0), np.int64(487))
(50, np.int64(34018), 4513.5, 6, 105, 143, 50, np.float64(492.0204009641954), np.float64(156.96834029043447), np.int64(0), np.int64(487))
(51, np.int64(35030), 4368.0, 6, 105, 143, 50, np.float64(478.6128746788467), np.float64(155.5429631744219), np.int64(0), np.int64(487))
(52, np.int64(37314), 4663.5, 6, 105, 143, 50, np.float64(481.66178914080507), np.float64(152.62255453717103), np.int64(0), np.int64(487))
(53, np.int64(42575), 5002.0, 0, 100, 149, 55, np.float64(476.3609864944216), np.float64(150.63356429829713), np.int64(0), np.int64(515))
(54, np.int64(47034), 5103.0, 0, 91, 156, 64, np.float64(465.3111578857847), np.float64(147.6851851851852), np.int64(0), np.int64(515))
(55, np.int64(46139), 5983.0, 523, 87, 224, 149, np.float64(451.45165694965215), np.float64(146.23695788812068), np.int64(0), np.int64(515))
(56, np.int64(46407), 7677.5, 555, 38, 142, 187, np.float64(444.7326265434094), np.float64(143.39170814747774), np.int64(0), np.int64(515))
(57, np.int64(45565), 10372.5, 371, 9, 289, 221, np.float64(426.99828815977173), np.float64(142.52553495007132), np.int64(0), np.int64(515))
(58, np.int64(44466), 5879.0, 387, 88, 230, 149, np.float64(415.38757702514283), np.float64(143.28030405253452), np.int64(0), np.int64(515))
(59, np.int64(44652), 8420.0, 371, 48, 166, 192, np.float64(409.50772641762967), np.float64(143.69490728298845), np.int64(0), np.int64(515))
