Current Terminal Screen:
                0x004b0a80                errno
root@a65af2ca-4f01-4581-9574-cb704c161c4c:/app# python3 -c "
> import struct
> f = open('doomgeneric_mips', 'rb')
> data = f.read()
> f.close()
>
> # Check first few instructions at entry point 0x400110
> # LOAD segment 0: offset 0x0, vaddr 0x400000
> entry_offset = 0x110  # 0x400110 - 0x400000
> for i in range(20):
>     off = entry_offset + i*4
>     instr = struct.unpack('<I', data[off:off+4])[0]
>     print(f'0x{0x400110+i*4:08x}: 0x{instr:08x}')
> "
0x00400110: 0x27bdffe8
0x00400114: 0xafbf0014
0x00400118: 0x24040000
0x0040011c: 0x0c10e558
0x00400120: 0x24050000
0x00400124: 0x0c100fbc
0x00400128: 0x00000000
0x0040012c: 0x08100049
0x00400130: 0x00000000
0x00400134: 0x00000000
0x00400138: 0x00000000
0x0040013c: 0x00000000
0x00400140: 0x03e00008
0x00400144: 0x00000000
0x00400148: 0x00000000
0x0040014c: 0x00000000
0x00400150: 0x27bdffe0
0x00400154: 0xafbf001c
0x00400158: 0xafb20018
0x0040015c: 0xafb10014
root@a65af2ca-4f01-4581-9574-cb704c161c4c:/app#
