New Terminal Output:
root@d2b3fb64-9a73-4775-8bf4-ec6f1224f025:/app# export PAGER=cat GIT_PAGER=cat MANPAGER=cat LESS='-F -X'
root@d2b3fb64-9a73-4775-8bf4-ec6f1224f025:/app# python3 -c "
> import cv2
> import numpy as np
>
> cap = cv2.VideoCapture('/app/example_video.mp4')
> print('FPS:', cap.get(cv2.CAP_PROP_FPS))
> print('Frame count:', int(cap.get(cv2.CAP_PROP_FRAME_COUNT)))
> print('Width:', int(cap.get(cv2.CAP_PROP_FRAME_WIDTH)))
> print('Height:', int(cap.get(cv2.CAP_PROP_FRAME_HEIGHT)))
>
> # Read first frame as background
> ret, bg = cap.read()
> if ret:
>     bg_gray = cv2.cvtColor(bg, cv2.COLOR_BGR2GRAY)
>     print('First frame shape:', bg.shape)
>     cv2.imwrite('/app/frame_000.png', bg)
>
> # Sample frames throughout the video
> total = int(cap.get(cv2.CAP_PROP_FRAME_COUNT))
> for i in range(1, total):
>     ret, frame = cap.read()
>     if not ret:
>         break
>     if i % 10 == 0 or i < 5:
>         cv2.imwrite(f'/app/frame_{i:03d}.png', frame)
>
>     # Compute difference from background
>     gray = cv2.cvtColor(frame, cv2.COLOR_BGR2GRAY)
>     diff = cv2.absdiff(bg_gray, gray)
>     # Threshold
>     _, thresh = cv2.threshold(diff, 30, 255, cv2.THRESH_BINARY)
>     motion = np.sum(thresh > 0)
>
>     # Find bounding box of motion
>     coords = np.where(thresh > 0)
>     if len(coords[0]) > 0:
>         y_min, y_max = coords[0].min(), coords[0].max()
>         x_min, x_max = coords[1].min(), coords[1].max()
>         print(f'Frame {i}: motion_pixels={motion}, bbox=({x_min},{y_min})-({x_max},{y_max}), bottom_y={y_max}')
>     else:
>         print(f'Frame {i}: no motion')
>
> cap.release()
> "
FPS: 30.0
Frame count: 120
Width: 960
Height: 540
First frame shape: (540, 960, 3)
Frame 1: motion_pixels=444, bbox=(19,12)-(953,311), bottom_y=311
Frame 2: motion_pixels=1307, bbox=(0,12)-(956,362), bottom_y=362
Frame 3: motion_pixels=700, bbox=(0,25)-(956,362), bottom_y=362
Frame 4: motion_pixels=2167, bbox=(0,12)-(956,362), bottom_y=362
Frame 5: motion_pixels=12935, bbox=(0,0)-(959,520), bottom_y=520
Frame 6: motion_pixels=10124, bbox=(0,0)-(959,511), bottom_y=511
