Current Terminal Screen:
  x=17256.49  y=18199.4
  x=17333.73  y=18560.4
  x=17411.69  y=19004.1
  x=17490.38  y=19327.4
  x=17569.82  y=19755.7
  x=17650.01  y=20340.8
  x=17730.96  y=20815.0
  x=17812.68  y=21422.0
  x=17895.19  y=22176.0
  x=17978.50  y=23027.7
  x=18062.61  y=24222.5
  x=18147.54  y=25202.9
  x=18233.31  y=26464.2
  x=18319.92  y=28061.6
  x=18407.38  y=30376.5
  x=18495.72  y=32580.5
  x=18584.94  y=35830.5
  x=18675.05  y=40100.9
  x=18766.08  y=46110.7
  x=18858.02  y=54280.9
  x=18950.91  y=65451.7
  x=19044.74  y=78843.4
  x=19139.54  y=79400.1
  x=19235.33  y=78815.2
  x=19332.11  y=79083.3
  x=19429.90  y=78849.1
  x=19528.72  y=67902.9
  x=19628.59  y=46667.6
  x=19729.51  y=32649.6
  x=19831.52  y=24480.4
  x=19934.62  y=19658.8
  x=20038.83  y=17059.4
  x=20144.18  y=15190.0
  x=20250.67  y=14352.2
  x=20358.34  y=13783.7
  x=20467.19  y=13238.3
Saved spectrum5.png
root@32c0f03c-a0c2-4867-bfcf-55590dc92a71:/app#
