New Terminal Output:

root@32c0f03c-a0c2-4867-bfcf-55590dc92a71:/app# python3 << 'PYEOF'
> import numpy as np
>
> wavenumbers = []
> intensities = []
> with open('/app/graphene.dat', 'r') as f:
>     for line in f:
>         line = line.strip()
>         if not line:
>             continue
>         parts = line.split()
>         x = float(parts[0].replace(',', '.'))
>         y = float(parts[1].replace(',', '.'))
>         wavenumbers.append(x)
>         intensities.append(y)
>
> wavenumbers = np.array(wavenumbers)
> intensities = np.array(intensities)
>
> sort_idx = np.argsort(wavenumbers)
> wavenumbers = wavenumbers[sort_idx]
> intensities = intensities[sort_idx]
>
> # Bin the data and show average intensity per region
> print('=== Intensity profile (binned) ===')
> for start in range(1600, 48000, 1000):
>     end = start + 1000
>     mask = (wavenumbers >= start) & (wavenumbers < end)
>     if mask.sum() > 0:
>         avg_int = intensities[mask].mean()
>         max_int = intensities[mask].max()
>         n = mask.sum()
>         print(f'{start:6d}-{end:6d}: n={n:4d}, avg={avg_int:10.1f}, max={max_int:10.1f}')
>
> # Look at the region around 15000-20000 more carefully
> print('\n=== Detailed around 15000-20000 ===')
> for start in range(15000, 20500, 500):
>     end = start + 500
>     mask = (wavenumbers >= start) & (wavenumbers < end)
>     if mask.sum() > 0:
>         avg_int = intensities[mask].mean()
>         max_int = intensities[mask].max()
>         peak_x = wavenumbers[mask][np.argmax(intensities[mask])]
>         n = mask.sum()
>         print(f'{start:6d}-{end:6d}: n={n:4d}, avg={avg_int:10.1f}, max={max_int:10.1f} at x={peak_x:.1f}')
> PYEOF
=== Intensity profile (binned) ===
  1600-  2600: n=1804, avg=    2672.2, max=    6474.3
  2600-  3600: n= 624, avg=     629.8, max=    1551.1
  3600-  4600: n= 307, avg=    3035.5, max=   12920.9
  4600-  5600: n= 183, avg=    3838.0, max=    4766.4
  5600-  6600: n= 121, avg=    6126.2, max=   13777.7
  6600-  7600: n=  87, avg=    6821.1, max=    7459.1
  7600-  8600: n=  65, avg=    7896.3, max=    8490.9
  8600-  9600: n=  50, avg=    8964.3, max=    9753.8
  9600- 10600: n=  40, avg=   14603.5, max=   18805.2
 10600- 11600: n=  33, avg=   12862.8, max=   18754.7
 11600- 12600: n=  27, avg=   12293.0, max=   12660.2
 12600- 13600: n=  24, avg=   12667.6, max=   13107.4
 13600- 14600: n=  19, avg=   13560.6, max=   14310.8
 14600- 15600: n=  18, avg=   15253.8, max=   16108.9
 15600- 16600: n=  15, avg=   17016.4, max=   18159.9
 16600- 17600: n=  13, avg=   17783.7, max=   19755.7
 17600- 18600: n=  12, avg=   25876.7, max=   35830.5
 18600- 19600: n=  10, avg=   66883.8, max=   79400.1
 19600- 20600: n=  10, avg=   21006.3, max=   46667.6
 20600- 21600: n=   8, avg=   12474.6, max=   12812.8
 21600- 22600: n=   8, avg=   12832.3, max=   13547.3
 22600- 23600: n=   7, avg=   14378.6, max=   14670.0
 23600- 24600: n=   7, avg=   14874.9, max=   15091.1
 24600- 25600: n=   6, avg=   15270.7, max=   15587.1
 25600- 26600: n=   5, avg=   15822.7, max=   16288.8
 26600- 27600: n=   5, avg=   16302.2, max=   16505.5
 27600- 28600: n=   5, avg=   16852.6, max=   17100.6
 28600- 29600: n=   5, avg=   17358.4, max=   17541.1
 29600- 30600: n=   4, avg=   18042.1, max=   18252.9
 30600- 31600: n=   4, avg=   18752.3, max=   19007.3
 31600- 32600: n=   3, avg=   19951.1, max=   20339.9
 32600- 33600: n=   4, avg=   20976.1, max=   21252.7
 33600- 34600: n=   3, avg=   20246.7, max=   20523.2
 34600- 35600: n=   3, avg=   19781.1, max=   19895.8
 35600- 36600: n=   3, avg=   19600.6, max=   19684.2
 36600- 37600: n=   2, avg=   19629.0, max=   19652.3
 37600- 38600: n=   3, avg=   19543.8, max=   19568.9
 38600- 39600: n=   2, avg=   19441.9, max=   19538.8
 39600- 40600: n=   3, avg=   19624.1, max=   19704.1
 40600- 41600: n=   2, avg=   19519.9, max=   19626.2
 41600- 42600: n=   2, avg=   19562.5, max=   19764.9
 42600- 43600: n=   2, avg=   19745.6, max=   19812.9
 43600- 44600: n=   2, avg=   19629.5, max=   19752.4
 44600- 45600: n=   2, avg=   19337.4, max=   19501.5
 45600- 46600: n=   2, avg=   19172.0, max=   19266.1
 46600- 47600: n=   1, avg=   19261.5, max=   19261.5

=== Detailed around 15000-20000 ===
 15000- 15500: n=   8, avg=   15510.7, max=   15904.6 at x=15472.1
 15500- 16000: n=   8, avg=   16385.7, max=   17042.1 at x=15979.0
 16000- 16500: n=   7, avg=   17595.8, max=   18159.9 at x=16245.6
 16500- 17000: n=   7, avg=   16690.6, max=   17175.1 at x=16954.5
 17000- 17500: n=   7, avg=   18234.2, max=   19327.4 at x=17490.4
 17500- 18000: n=   6, avg=   21256.2, max=   23027.7 at x=17978.5
 18000- 18500: n=   6, avg=   27818.0, max=   32580.5 at x=18495.7
 18500- 19000: n=   5, avg=   48354.9, max=   65451.7 at x=18950.9
 19000- 19500: n=   5, avg=   78998.2, max=   79400.1 at x=19139.5
 19500- 20000: n=   5, avg=   38271.9, max=   67902.9 at x=19528.7
 20000- 20500: n=   5, avg=   14724.7, max=   17059.4 at x=20038.8
root@32c0f03c-a0c2-4867-bfcf-55590dc92a71:/app#
