Current Terminal Screen:
>     start = m.start()
>     end = min(len(text), start + 600)
>     chunk = text[start:end]
>     if 'button_MTEB' in chunk or 'benchmark' in chunk.lower():
>         # Extract value and classes
>         value_match = re.search(r'"value":"([^"]+)"', chunk)
>         classes_match = re.search(r'"elem_classes":\[([^\]]+)\]', chunk)
>         key_match = re.search(r'"key":"([^"]+)"', chunk)
>         if value_match:
>             value = value_match.group(1)
>             classes = classes_match.group(1) if classes_match else 'none'
>             key = key_match.group(1) if key_match else 'none'
>             print(f'Button: {value} | Classes: {classes} | Key: {key}')
> PYEOF
Button: Multilingual | Classes: "text-white" | Key: 0_button_MTEB(Multilingual, v2)
Button: English | Classes: "text-white" | Key: 1_button_MTEB(eng, v2)
Button: Human Benchmark | Classes: "text-white" | Key: 2_button_HUME(v1)
Button: Code | Classes: "text-white" | Key: 9_button_MTEB(Code, v1)
Button: Legal | Classes: "text-white" | Key: 10_button_MTEB(Law, v1)
Button: Medical | Classes: "text-white" | Key: 11_button_MTEB(Medical, v1)
Button: European | Classes: "text-white" | Key: 13_button_MTEB(Europe, v1)
Button: Indic | Classes: "text-white" | Key: 14_button_MTEB(Indic, v1)
Button: Scandinavian | Classes: "text-white" | Key: 15_button_MTEB(Scandinavian, v1)
Button: Chinese | Classes: "text-white" | Key: 16_button_MTEB(cmn, v1)
Button: German | Classes: "text-white" | Key: 17_button_MTEB(deu, v1)
Button: French | Classes: "text-white" | Key: 18_button_MTEB(fra, v1)
Button: Korean | Classes: "text-white" | Key: 20_button_MTEB(kor, v1)
Button: Dutch | Classes: "text-white" | Key: 21_button_MTEB(nld, v1)
Button: Polish | Classes: "text-white" | Key: 22_button_MTEB(pol, v1)
Button: Russian | Classes: "text-white" | Key: 23_button_MTEB(rus, v1.1)
Button: Thai | Classes: "text-white" | Key: 24_button_MTEB(tha, v1)
Button: Farsi | Classes: "text-white" | Key: 25_button_MTEB(fas, v2)
Button: English Legacy | Classes: "text-white" | Key: 27_button_MTEB(eng, v1)
Button: Farsi Legacy | Classes: "text-white" | Key: 28_button_MTEB(fas, v1)
Button: Russian legacy | Classes: "text-white" | Key: 29_button_MTEB(rus, v1)
Button: Japanese Legacy | Classes: "text-white" | Key: 30_button_MTEB(jpn, v1)
Button: Reasoning as retrieval | Classes: "text-white" | Key: 53_button_RAR-b
root@1b011509-eba3-4b94-9e13-1e60307b1b48:/app#
