New Terminal Output:

root@2543ef49-52d4-48c9-acfd-21464032cce3:/app# Found 2630 candidate gradient differences
Found 269 unique directions (clusters)
Cluster sizes: [132, 128, 121, 121, 120, 118, 117, 116, 113, 110, 107, 105, 105, 104, 100, 100, 98, 98, 97, 92, 7, 6, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4,
4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Stolen A1 shape: (269, 10)
Saved stolen A1 to /app/stolen_A1.npy

True A1 shape: (20, 10)
  Stolen row 0 -> True row 4, cos_sim = 0.999995
  Stolen row 1 -> True row 14, cos_sim = 0.999995
  Stolen row 2 -> True row 3, cos_sim = 0.570907
  Stolen row 3 -> True row 8, cos_sim = 0.999996
  Stolen row 4 -> True row 10, cos_sim = 0.975834
  Stolen row 5 -> True row 17, cos_sim = 0.999996
  Stolen row 6 -> True row 15, cos_sim = 1.000000
  Stolen row 7 -> True row 11, cos_sim = 1.000000
  Stolen row 8 -> True row 0, cos_sim = 0.999999
  Stolen row 9 -> True row 18, cos_sim = 0.685374
  Stolen row 10 -> True row 13, cos_sim = 0.848474
  Stolen row 11 -> True row 7, cos_sim = 1.000000
  Stolen row 12 -> True row 9, cos_sim = 1.000000
  Stolen row 13 -> True row 5, cos_sim = 1.000000
  Stolen row 14 -> True row 12, cos_sim = 0.999999
  Stolen row 15 -> True row 10, cos_sim = 0.999993
  Stolen row 16 -> True row 16, cos_sim = 0.914176
  Stolen row 17 -> True row 2, cos_sim = 0.929620
  Stolen row 18 -> True row 1, cos_sim = 0.860447
  Stolen row 19 -> True row 11, cos_sim = 0.954390
  Stolen row 20 -> True row 3, cos_sim = 1.000000
  Stolen row 21 -> True row 13, cos_sim = 1.000000
  Stolen row 22 -> True row 18, cos_sim = 1.000000
  Stolen row 23 -> True row 4, cos_sim = 0.940465
  Stolen row 24 -> True row 16, cos_sim = 0.999997
  Stolen row 25 -> True row 17, cos_sim = 0.845662
  Stolen row 26 -> True row 19, cos_sim = 1.000000
  Stolen row 27 -> True row 6, cos_sim = 1.000000
  Stolen row 28 -> True row 10, cos_sim = 0.756494
  Stolen row 29 -> True row 18, cos_sim = 0.820753
  Stolen row 30 -> True row 2, cos_sim = 1.000000
  Stolen row 31 -> True row 4, cos_sim = 0.861077
  Stolen row 32 -> True row 14, cos_sim = 0.919635
  Stolen row 33 -> True row 16, cos_sim = 0.988330
  Stolen row 34 -> True row 18, cos_sim = 0.950088
  Stolen row 35 -> True row 4, cos_sim = 0.944090
  Stolen row 36 -> True row 1, cos_sim = 0.999999
  Stolen row 37 -> True row 0, cos_sim = 0.937424
  Stolen row 38 -> True row 17, cos_sim = 0.954266
  Stolen row 39 -> True row 2, cos_sim = 0.580745
  Stolen row 40 -> True row 12, cos_sim = 0.938167
  Stolen row 41 -> True row 17, cos_sim = 0.627144
  Stolen row 42 -> True row 12, cos_sim = 0.920023
  Stolen row 43 -> True row 15, cos_sim = 0.818130
  Stolen row 44 -> True row 2, cos_sim = 0.939847
  Stolen row 45 -> True row 1, cos_sim = 0.866358
  Stolen row 46 -> True row 8, cos_sim = 0.980373
  Stolen row 47 -> True row 18, cos_sim = 0.784358
  Stolen row 48 -> True row 4, cos_sim = 0.661737
  Stolen row 49 -> True row 10, cos_sim = 0.965522
  Stolen row 50 -> True row 14, cos_sim = 0.979857
  Stolen row 51 -> True row 17, cos_sim = 0.951563
  Stolen row 52 -> True row 17, cos_sim = 0.956421
  Stolen row 53 -> True row 4, cos_sim = 0.925979
  Stolen row 54 -> True row 8, cos_sim = 0.966180
  Stolen row 55 -> True row 16, cos_sim = 0.828956
  Stolen row 56 -> True row 11, cos_sim = 0.973316
  Stolen row 57 -> True row 14, cos_sim = 0.947733
  Stolen row 58 -> True row 16, cos_sim = 0.967181
  Stolen row 59 -> True row 4, cos_sim = 0.867904
  Stolen row 60 -> True row 15, cos_sim = 0.754631
