New Terminal Output:

Frame | TopY | BottomY | BboxY | BboxH | CX  | CY  | GroundPx
   47 |  242 |     328 |   238 |    95 |  944 |  297 |        0
   48 |  147 |     335 |   143 |   197 |  916 |  252 |        0
   49 |   50 |     353 |    46 |   312 |  911 |  234 |       59
   50 |   59 |     361 |    69 |   297 |  888 |  213 |      558
   51 |   55 |     363 |    51 |   317 |  859 |  216 |      580
   52 |   56 |     363 |    52 |   316 |  820 |  215 |      406
   53 |   54 |     361 |    50 |   316 |  772 |  192 |      193
   54 |   45 |     341 |    41 |   305 |  741 |  222 |        0
   55 |   39 |     309 |    35 |   279 |  725 |  208 |        0
   56 |   39 |     273 |    35 |   243 |  703 |  332 |        0
   57 |   40 |     233 |    36 |   202 |  554 |  153 |        0
   58 |   40 |     230 |    36 |   199 |  521 |  151 |        0
   59 |   41 |     271 |    37 |   239 |  494 |  165 |        0
   60 |   40 |     306 |    36 |   275 |  455 |  163 |        0
   61 |   41 |     339 |    37 |   307 |  412 |  169 |        0
   62 |   44 |     368 |    40 |   333 |  373 |  190 |      437
   63 |   48 |     368 |    44 |   329 |  333 |  167 |      480
   64 |   52 |     367 |    48 |   324 |  297 |  175 |      261
   65 |   51 |     361 |    47 |   319 |  248 |  194 |       94
   66 |   42 |     333 |    38 |   300 |  211 |  178 |        0
   67 |   43 |     344 |    39 |   310 |  169 |  192 |        0
   68 |   45 |     364 |    41 |   328 |  123 |  200 |      631
   69 |   60 |     365 |    56 |   314 |   80 |  213 |      654
   70 |   63 |     365 |    59 |   311 |   43 |  210 |      461
   71 |  123 |     364 |   119 |   250 |   36 |  296 |      237
   72 |  248 |     351 |   268 |    88 |   46 |  309 |       10
   73 |   68 |     321 |   280 |    46 |   35 |  299 |        0
   74 |   67 |     285 |   261 |    29 |   11 |  275 |        0
root@d378751b-6e3a-4706-8d9c-f63db41237c5:/app#
